Wall time,Step,Value
1574895349.796211,5,370.0
1574895355.1759658,6,390.0
1574895387.6243536,11,431.0
1574895407.2489834,14,472.0
1574895412.392912,15,311.0
1574895428.2738607,18,358.0
1574895434.420737,19,434.0
1574895441.0324962,20,456.0
1574895465.8415747,24,517.0
1574895536.875727,36,278.0
1574895557.6669126,40,297.0
1574895568.6168604,42,354.0
1574895581.6272318,44,479.0
1574895586.5961235,45,307.0
1574895599.8453636,47,523.0
1574895612.1796749,49,416.0
1574895636.108632,53,345.0
1574895642.7628634,54,443.0
1574895648.5537066,55,362.0
1574895654.331705,56,371.0
1574895660.6864097,57,444.0
1574895697.9641907,63,417.0
1574895707.5372946,65,305.0
1574895713.4354904,66,385.0
1574895720.897277,67,519.0
1574895729.7666547,68,579.0
1574895748.12154,71,457.0
1574895755.802608,72,519.0
1574895762.9627008,73,375.0
1574895769.5612767,74,455.0
1574895808.170981,79,562.0
1574895843.003982,84,485.0
1574895866.7464569,87,605.0
1574895875.5850375,88,680.0
1574895918.9311037,94,482.0
1574895979.6599846,102,476.0
1574896000.8313394,105,554.0
1574896010.6316862,106,687.0
1574896062.3938668,113,470.0
1574896084.6249254,116,536.0
1574896103.2406292,118,716.0
1574896171.0284705,125,739.0
1574896179.4805849,126,683.0
1574896210.5754476,129,726.0
1574896221.2048101,130,810.0
1574896303.8084729,137,846.0
1574896326.519091,139,845.0
1574896356.0373971,141,951.0
1574896370.3029237,142,1060.0
1574896386.5780065,143,1173.0
1574896514.046117,150,1602.0
1574896628.349319,155,1556.0
1574896677.415294,157,1247.0
1574896699.9216926,158,1573.0
1574896793.239125,162,1705.0
1574896853.8866086,165,995.0
1574896897.7610247,167,1507.0
1574896921.7122347,168,1670.0
1574896984.3605342,171,1350.0
1574897132.8131986,177,1633.0
1574897155.440052,178,1553.0
1574897191.5702744,180,987.0
1574897240.2688012,183,848.0
1574897278.9557424,185,1061.0
1574897298.389216,186,1306.0
1574897325.7262185,188,784.0
1574897363.323313,190,1314.0
1574897382.7895532,191,1186.0
1574897530.2987754,198,868.0
1574897696.1437955,206,1388.0
1574897711.5888088,207,1045.0
1574897736.9790099,208,1588.0
1574897829.390841,212,1322.0
1574898047.5784817,222,1596.0
1574898074.3119302,223,1824.0
1574898124.4407775,225,1408.0
1574898229.8140047,229,1695.0
1574898302.9225514,232,1573.0
1574898330.610348,233,1733.0
1574898355.6957474,234,1722.0
1574898449.3317966,237,2213.0
1574898709.9429774,247,2072.0
1574898760.4204118,249,1513.0
1574898919.6656435,255,1865.0
1574899006.5590456,258,2379.0
1574899061.8930166,260,1956.0
1574899091.587893,261,1967.0
1574899145.8863623,263,1910.0
1574899240.5061288,267,1058.0
1574899339.3483312,271,1845.0
1574899397.6522858,273,2076.0
1574899557.0101714,278,1941.0
1574899726.4494505,284,1778.0
1574899913.3941016,291,1325.0
1574899936.1320257,292,1419.0
1574900076.4995873,297,1374.0
1574900099.391135,298,1546.0
1574900215.0348692,302,1742.0
1574900239.2571404,303,1610.0
1574900317.7965117,307,1528.0
1574900342.9399092,308,1595.0
1574900384.527366,310,1093.0
1574900434.4572585,313,1117.0
1574900535.7340648,318,1326.0
1574900561.2529287,319,1713.0
1574900590.6268332,320,1931.0
1574900634.7006059,322,1289.0
1574900701.6622598,325,1370.0
1574900725.3113089,326,1498.0
1574900751.4194524,327,1663.0
1574900824.8603826,330,1412.0
1574901036.6570594,339,1799.0
1574901082.436966,341,1414.0
1574901146.0369656,344,1508.0
1574901163.1971471,345,1087.0
1574901207.663398,347,1237.0
1574901230.2382762,348,1421.0
1574901346.0082517,353,1632.0
1574901375.8109488,354,1874.0
1574901523.1201508,360,1598.0
1574901597.4073882,363,1355.0
1574901709.327479,367,1811.0
1574901796.8354056,371,1697.0
1574901849.1460366,373,1455.0
1574901949.771318,377,1386.0
1574901968.9335926,378,1283.0
1574901983.3168328,379,978.0
1574902023.7823365,381,1278.0
1574902147.030743,386,1852.0
1574902178.648501,387,2018.0
1574902309.8371825,391,2422.0
1574902338.822302,392,2051.0
1574902363.4913511,393,1752.0
1574902729.6257703,408,1258.0
1574902873.7541885,415,1231.0
1574902895.8671155,416,1383.0
1574903035.2134244,421,1671.0
1574903063.07218,422,1686.0
1574903099.3085115,424,1164.0
1574903143.8545728,426,1373.0
1574903222.7463048,430,1522.0
1574903488.7669625,439,2418.0
1574903539.8767276,441,1228.0
1574903563.9933827,442,1401.0
1574903657.3845649,445,1455.0
1574903819.9884708,451,1766.0
1574904040.6556938,459,1683.0
1574904065.1946845,460,1551.0
1574904145.1372724,463,1698.0
1574904173.83788,464,1832.0
1574904264.478927,467,1632.0
1574904292.1454964,468,1565.0
1574904403.7430067,473,1512.0
1574904427.0552433,474,1305.0
1574904725.6335926,485,1484.0
1574904799.2002876,488,1576.0
1574904822.686317,489,1420.0
1574904875.6025963,491,1663.0
1574904934.4978197,493,1937.0
1574905014.0466173,496,1265.0
1574905295.8894823,507,1611.0
1574905391.3111825,511,1753.0
1574905417.806509,512,1680.0
1574905469.5672457,514,1864.0
1574905564.5529006,517,1494.0
1574905616.2510955,519,1215.0
1574905753.4425273,524,1706.0
1574905782.7256653,525,2013.0
1574905952.6992135,531,1668.0
1574906008.0157475,533,1808.0
1574906033.1823606,534,1579.0
1574906091.7927377,536,1840.0
1574906108.757026,537,1143.0
1574906139.472448,538,1953.0
1574906191.0796373,540,1769.0
1574906253.4209976,542,1740.0
1574906376.507087,547,1724.0
1574906401.6864536,548,1786.0
1574906421.5704935,549,1240.0
1574906467.3885398,551,1605.0
1574906629.6643333,557,1525.0
1574906676.8170218,559,905.0
1574906768.1306832,563,1215.0
1574906788.8532224,564,1203.0
1574906816.7927969,565,1589.0
1574906903.258637,569,833.0
1574907001.7957063,573,1537.0
1574907024.4754648,574,1426.0
1574907095.5408583,577,1339.0
1574907140.5971181,579,1563.0
1574907158.0234742,580,1093.0
1574907179.8449726,581,1116.0
1574907203.3997724,582,1528.0
1574907226.677095,583,1334.0
1574907250.4970472,584,1299.0
1574907296.946565,586,1525.0
1574907324.9592319,587,1596.0
1574907457.858075,592,1679.0
1574907480.8897529,593,1384.0
1574907560.6990492,596,1736.0
1574907585.4178896,597,1509.0
1574907652.8596978,600,1100.0
1574907700.9516027,602,1454.0
1574907848.1579742,608,1591.0
1574907898.5029626,610,1673.0
1574908020.6398315,615,1076.0
1574908132.3158207,619,1770.0
1574908155.231719,620,1600.0
1574908208.2065003,622,1960.0
1574908287.5431654,625,1361.0
1574908561.3689368,634,2351.0
1574908742.415188,641,919.0
1574908767.71403,642,1561.0
1574908817.7801235,644,1162.0
1574908835.2178664,645,838.0
1574908857.6169732,646,1432.0
1574908880.5267687,647,1420.0
1574908921.0865705,649,1504.0
1574908995.040969,652,1692.0
1574909095.6277878,656,1527.0
1574909121.2673006,657,1711.0
1574909218.176466,661,1961.0
1574909296.2724948,664,1616.0
1574909384.5073838,668,1626.0
1574909459.0344348,671,1659.0
1574909487.2835314,672,1825.0
1574909515.5131614,673,1609.0
1574909547.5844066,674,2091.0
