Wall time,Step,Value
1574935207.862145,5,318.0
1574935278.2612555,18,357.0
1574935308.802681,24,319.0
1574935395.0034692,40,254.0
1574935405.035677,42,346.0
1574935420.075028,45,278.0
1574935460.179153,53,331.0
1574935476.2182405,56,269.0
1574935554.1954727,71,265.0
1574935571.2524831,74,298.0
1574935688.3627877,94,417.0
1574935745.7672384,102,502.0
1574935773.1103604,105,472.0
1574935781.2809236,106,488.0
1574935858.9268346,113,589.0
1574936054.29649,126,822.0
1574936262.3148065,139,897.0
1574936442.184907,150,875.0
1574936523.2658622,155,965.0
1574936582.6437619,158,1222.0
1574936735.5913298,167,1158.0
1574936754.638426,168,1034.0
1574936938.2222867,178,963.0
1574937023.6453557,183,1002.0
1574937059.8383274,185,956.0
1574937084.3352697,186,1282.0
1574937194.8340206,190,1253.0
1574937402.0709305,198,1682.0
1574937616.011249,206,1406.0
1574937646.404639,207,1785.0
1574937771.883092,212,1413.0
1574937983.589917,223,839.0
1574938081.6014519,229,788.0
1574938160.1903663,234,1026.0
1574938457.186547,249,665.0
1574938554.930794,255,568.0
1574938614.1419833,260,685.0
1574938732.382279,267,888.0
1574938802.5703232,271,573.0
1574938821.357505,273,472.0
1574939030.971088,292,842.0
1574939086.104587,297,577.0
1574939097.2749488,298,613.0
1574939151.6651073,303,624.0
1574939203.5214138,308,757.0
1574939222.6676173,310,554.0
1574939308.9951773,318,654.0
1574939319.1877623,319,608.0
1574939446.1079805,330,571.0
1574939540.6820607,339,431.0
1574939633.8244658,347,537.0
1574939809.448996,363,476.0
1574939849.6304407,367,630.0
1574939948.2829237,377,486.0
1574940430.0509858,421,556.0
1574940439.4401662,422,445.0
1574940519.6274123,430,567.0
1574940605.5335243,439,655.0
1574940628.597701,441,855.0
1574940638.5283034,442,636.0
1574940676.3438954,445,605.0
1574940744.4150434,451,556.0
1574940845.0491142,460,662.0
1574940874.615436,463,504.0
1574940887.5138488,464,708.0
1574941004.8602042,474,810.0
1574941267.2881222,491,843.0
1574941291.9403841,493,588.0
1574941501.960137,512,776.0
1574941522.3210285,514,630.0
1574941552.0744066,517,529.0
1574941637.533269,525,752.0
1574941702.488023,531,681.0
1574941733.529375,533,1075.0
1574941769.9897416,536,627.0
1574941829.4405813,542,612.0
1574941881.7050862,547,669.0
1574941992.2407348,557,588.0
1574942051.7336302,563,581.0
1574942118.3803382,569,486.0
1574942157.651612,573,560.0
1574942220.2581568,579,532.0
1574942241.1081326,581,505.0
1574942273.140598,584,543.0
1574942294.6604002,586,532.0
1574942304.079176,587,500.0
1574942357.9862998,592,485.0
1574942370.7973528,593,612.0
1574942470.6908782,602,341.0
1574942556.2800596,610,611.0
1574942607.2095754,615,590.0
1574942659.074376,620,723.0
1574942678.0207164,622,514.0
1574942817.1871781,634,739.0
1574942889.1296282,641,490.0
1574942899.3817844,642,532.0
1574942919.2093008,644,514.0
1574942948.3081074,647,610.0
1574942973.0536036,649,727.0
1574943096.5890477,661,627.0
1574943132.211125,664,985.0
1574943170.1797414,668,783.0
1574943199.3106663,671,849.0
1574943230.1593466,674,832.0
1574943270.7770774,678,916.0
1574943280.8741035,679,839.0
1574943320.1590376,683,588.0
1574943369.2646797,688,486.0
1574943482.755221,699,532.0
1574943550.7611277,706,589.0
1574943643.2690752,714,991.0
1574943688.7900739,718,685.0
1574943724.9740288,721,747.0
1574943735.224033,722,713.0
1574943745.0651278,723,660.0
1574943822.936337,730,609.0
1574943938.2146652,739,702.0
1574943979.2506986,743,439.0
1574944020.5071802,747,449.0
1574944067.0483317,751,713.0
1574944079.1107364,752,665.0
1574944126.3565273,756,687.0
1574944231.569126,765,557.0
1574944272.0127773,769,647.0
1574944281.9301937,770,649.0
1574944291.9830298,771,590.0
1574944316.3163235,773,654.0
1574944325.7197483,774,480.0
1574944388.6073651,780,710.0
1574944426.873285,784,440.0
1574944436.7855148,785,403.0
1574944459.1694598,787,511.0
1574944515.5407786,792,441.0
1574944525.6145062,793,465.0
1574944535.005019,794,358.0
1574944580.404212,798,627.0
1574944619.391567,802,547.0
1574944671.3560996,807,493.0
1574944681.3191316,808,453.0
1574944692.5413227,809,548.0
1574944930.9125135,832,863.0
1574944970.4954915,836,718.0
1574944991.0323598,838,718.0
1574945039.655395,843,589.0
