Wall time,Step,Value
1575108567.2911851,5,-21.0
1575108575.4049783,6,-20.0
1575108610.6088562,11,-20.0
1575108632.1509922,14,-20.0
1575108639.6508915,15,-20.0
1575108662.6885252,18,-20.0
1575108669.9320278,19,-21.0
1575108677.4299655,20,-20.0
1575108713.5278928,24,-18.0
1575108838.9041405,36,-19.0
1575108887.5121317,40,-21.0
1575108915.8494375,42,-17.0
1575108943.488163,44,-19.0
1575108954.902653,45,-19.0
1575108982.9636192,47,-20.0
1575109078.8283596,53,-15.0
1575109094.8714135,54,-19.0
1575109112.0824885,55,-16.0
1575109127.9335554,56,-15.0
1575109141.7525234,57,-18.0
1575109288.8521776,65,-14.0
1575109353.125123,68,-12.0
1575109407.7126234,71,-18.0
1575109429.2685816,72,-14.0
1575109450.5599067,73,-16.0
1575109471.2698932,74,-16.0
1575109596.804686,79,-13.0
1575109798.1258256,87,-6.0
1575109820.5813482,88,-6.0
1575109979.2909517,94,3.0
1575110182.8203595,102,15.0
1575110242.1443613,105,16.0
1575110274.411002,106,4.0
1575110446.0774562,113,14.0
1575110504.923166,116,16.0
1575110543.5268478,118,17.0
1575110709.9731486,126,14.0
1575110763.546319,129,14.0
1575110779.4837737,130,18.0
1575110944.2326863,139,18.0
1575110980.7981427,141,17.0
1575110996.0568228,142,20.0
1575111019.092754,143,17.0
1575111140.1298974,150,15.0
1575111218.5658064,155,18.0
1575111250.2243617,157,15.0
1575111266.8091955,158,16.0
1575111340.088411,162,16.0
1575111422.2610347,167,18.0
1575111442.1865275,168,12.0
1575111491.3189416,171,21.0
1575111587.2942364,177,17.0
1575111601.656951,178,20.0
1575111637.7701719,180,20.0
1575111684.1579325,183,17.0
1575111715.817798,185,20.0
1575111729.562386,186,21.0
1575111762.01023,188,20.0
1575111794.4624832,190,18.0
1575111808.5316064,191,21.0
1575111933.8890018,198,18.0
1575112055.6141894,206,19.0
1575112069.3137112,207,21.0
1575112085.7355082,208,18.0
1575112154.1980078,212,21.0
1575112304.5725195,222,18.0
1575112319.582887,223,19.0
1575112350.6256263,225,18.0
1575112416.7472482,229,20.0
1575112467.0291092,232,19.0
1575112480.6189494,233,21.0
1575112494.1320138,234,21.0
1575112539.6794872,237,20.0
1575112725.5828762,249,18.0
1575112815.9469652,255,21.0
1575112860.4640558,258,21.0
1575112889.796218,260,20.0
1575112903.3448226,261,21.0
1575112934.3084018,263,19.0
1575112993.062842,267,19.0
1575113050.5425904,271,16.0
1575113085.0255747,273,21.0
1575113163.5201862,278,20.0
1575113370.2191906,292,21.0
1575113452.9245515,297,20.0
1575113467.2990599,298,20.0
1575113528.3959508,302,20.0
1575113543.1043077,303,20.0
1575113610.410929,307,21.0
1575113624.4977248,308,21.0
1575113652.4945748,310,21.0
