Wall time,Step,Value
1574976985.079977,5,333.0
1574977059.0416143,15,405.0
1574977122.6336317,18,522.0
1574977249.780531,24,339.0
1574977690.290211,40,780.0
1574977750.9728642,42,620.0
1574977805.0832531,44,454.0
1574977835.7575984,45,580.0
1574977905.3768797,47,645.0
1574978063.6387854,53,696.0
1574978098.6583226,56,759.0
1574978499.51167,65,889.0
1574978809.051338,71,906.0
1574978868.7483833,72,1152.0
1574978920.0283387,73,1001.0
1574978965.8846107,74,824.0
1574979148.2287364,79,1082.0
1574979559.4943037,87,1342.0
1574979982.410366,94,1361.0
1574980237.1182077,102,1251.0
1574980349.0572069,105,930.0
1574980387.5937765,106,833.0
1574980718.4060006,113,771.0
1574980969.0774791,118,771.0
1574981290.9804704,126,919.0
1574981396.2377615,130,1508.0
1574981765.1932878,139,940.0
1574982189.2270908,150,1195.0
1574982357.4314196,155,964.0
1574982391.8345788,158,643.0
1574982701.6913533,167,671.0
1574982747.143169,168,898.0
1574983140.761945,178,776.0
1574983330.5992134,183,967.0
1574983411.6657465,185,949.0
1574983422.6439025,186,584.0
1574983464.8117945,190,699.0
1574983762.8466787,198,976.0
1574984066.6947682,206,851.0
1574984105.3263762,207,834.0
1574984139.3270433,208,978.0
1574984277.0457864,212,660.0
1574984533.0128722,223,721.0
1574984757.9169037,229,996.0
1574984930.848486,234,1248.0
1574985053.475244,237,795.0
1574985469.3239357,249,763.0
1574985581.196843,255,1074.0
1574985699.900782,260,958.0
1574985802.5352988,263,658.0
1574985933.020253,267,1040.0
1574986080.3850758,271,632.0
1574986168.5764306,273,1449.0
1574986680.4531024,292,975.0
1574986734.4632015,297,885.0
1574986745.3961842,298,987.0
1574986904.032708,303,849.0
1574987074.4927433,308,1419.0
1574987140.8627162,310,432.0
1574987447.646859,318,442.0
1574987483.4620926,319,435.0
1574987692.0131404,325,833.0
1574987728.4494097,326,694.0
1574987752.5113075,327,781.0
1574987784.7640707,330,313.0
1574988030.4635844,339,248.0
1574988312.9369698,347,1433.0
1574988841.753314,363,560.0
1574988885.609369,367,964.0
1574989081.2139506,373,895.0
1574989209.8347876,377,1078.0
1574989274.9013553,379,887.0
1574989688.9044027,391,1236.0
1574989726.2278507,392,1283.0
1574990027.396489,408,1143.0
1574990455.176143,421,1265.0
1574990489.1557317,422,1412.0
1574990560.8092313,424,1151.0
1574990771.0957503,430,1295.0
1574991036.9090276,439,953.0
1574991056.8741763,441,1099.0
1574991066.468177,442,1077.0
1574991140.409898,445,978.0
1574991356.5577142,451,1162.0
1574991651.4956481,460,1216.0
1574991754.7344248,463,1279.0
1574991793.1285245,464,1409.0
1574992096.0823338,473,1131.0
1574992106.786056,474,1131.0
1574992432.7436934,489,1173.0
1574992503.848906,491,1363.0
1574992566.1995482,493,1239.0
1574993061.732393,507,1587.0
1574993208.247291,512,1305.0
1574993228.6929924,514,1262.0
1574993265.7329173,517,1018.0
1574993531.0097237,525,1227.0
1574993738.626631,531,937.0
1574993818.5891614,533,1282.0
1574993922.6363506,536,1450.0
1574994124.4337404,542,1139.0
1574994270.394041,547,637.0
1574994477.606943,557,745.0
1574994554.411391,559,980.0
1574994691.5800555,563,824.0
1574994945.356163,569,1160.0
1574995081.422185,573,1195.0
1574995115.1342776,574,748.0
1574995308.3666859,579,568.0
1574995353.5126965,581,370.0
1574995363.1669958,582,443.0
1574995383.2455847,584,550.0
1574995402.85484,586,259.0
1574995416.6266286,587,429.0
1574995611.142219,592,552.0
1574995643.9729214,593,1093.0
1574995968.0888722,602,867.0
1574996192.0430348,608,816.0
1574996258.2575793,610,1212.0
1574996421.933317,615,1404.0
1574996475.610131,620,549.0
1574996539.6967046,622,397.0
1574996941.8902278,634,378.0
1574997223.7662156,641,944.0
1574997255.484107,642,647.0
1574997322.9504182,644,1338.0
1574997357.579104,645,1097.0
1574997391.9491625,646,301.0
1574997429.65554,647,834.0
1574997490.3719735,649,845.0
1574997520.0389867,652,583.0
1574997599.1635396,656,1121.0
1574997803.61059,661,1116.0
1574997903.8386185,664,460.0
1574998045.157701,668,495.0
1574998145.4660308,671,1163.0
1574998259.6000397,674,926.0
1574998401.691816,678,1309.0
1574998434.228499,679,1083.0
1574998563.4684951,683,1759.0
1574998612.8761168,688,1034.0
1574998622.6531086,689,556.0
1574998778.1105628,696,803.0
1574998868.4840906,699,874.0
1574999035.4815128,703,548.0
1574999149.2484248,706,806.0
1574999322.809671,710,985.0
1574999467.321134,714,693.0
1574999609.9763217,718,637.0
1574999673.5933754,721,998.0
1574999684.2644067,722,881.0
1574999694.2320404,723,466.0
1574999878.524672,730,731.0
1575000067.882675,736,572.0
1575000153.6583095,738,705.0
1575000187.0491796,739,1255.0
1575000350.2808964,743,514.0
1575000503.107568,747,1431.0
1575000613.1472034,750,611.0
1575000648.0386198,751,562.0
1575000688.257341,752,966.0
1575000756.6365542,756,965.0
1575000980.0272846,765,996.0
1575001146.3663752,769,1013.0
1575001193.1322796,770,812.0
1575001225.6368515,771,359.0
1575001288.964772,773,1315.0
1575001321.2486138,774,351.0
1575001546.7877345,780,960.0
1575001681.0657504,784,734.0
1575001715.5549798,785,1197.0
1575001783.9290888,787,1557.0
1575001824.930674,789,907.0
1575001859.5640216,792,526.0
1575001871.2239854,793,653.0
1575001898.9219263,794,323.0
1575001934.1724403,795,595.0
1575002039.0210562,798,512.0
1575002184.2911632,802,954.0
1575002355.6627746,807,938.0
1575002393.2552102,808,354.0
1575002423.4438326,809,784.0
1575002635.7936316,815,1333.0
1575002860.5965261,821,621.0
1575002913.9328866,825,1173.0
1575002953.0833323,828,1552.0
1575003108.506819,832,291.0
1575003249.734927,836,819.0
1575003328.6971197,838,669.0
1575003508.3940783,843,650.0
1575004214.285556,867,1280.0
1575004284.3054533,869,1375.0
1575004318.2020192,870,191.0
1575004460.469428,874,395.0
1575004534.9118025,876,771.0
1575004668.512391,880,897.0
1575004741.4846787,882,420.0
1575005027.4316552,890,1622.0
1575005089.5085886,896,1184.0
1575005207.178737,900,449.0
1575005456.5551424,907,644.0
1575005493.9926763,908,1070.0
1575005526.8770366,909,1131.0
1575005566.3383956,910,1371.0
1575005747.6386435,915,1054.0
1575005821.8326275,917,744.0
1575005931.7286859,920,1399.0
1575005962.8685763,921,1295.0
1575006030.761871,923,1265.0
1575006155.8874688,931,513.0
1575006177.4805598,932,161.0
1575006275.1105807,935,309.0
1575006531.9715729,942,1203.0
1575006653.1200871,945,88.0
1575006980.5591185,954,422.0
1575007048.8701072,956,1073.0
1575007121.738179,958,671.0
1575007186.6593513,961,661.0
1575007196.7994714,962,614.0
1575007248.368661,966,196.0
1575007410.2701852,971,975.0
1575007443.3354855,972,664.0
1575007595.3311746,976,1133.0
1575007635.6571362,977,1330.0
1575007678.250123,978,1555.0
1575007712.7082148,979,884.0
1575007863.5652688,983,1391.0
1575007899.2447762,984,1485.0
1575008004.9355776,987,1096.0
1575008041.7141974,988,1059.0
1575008264.6717,996,905.0
1575008316.6649213,1000,1239.0
1575008385.3147418,1002,1397.0
1575008459.459818,1004,1471.0
1575008495.33724,1005,735.0
1575008783.903046,1013,1080.0
1575008826.4511967,1014,950.0
1575008939.0375123,1017,1484.0
1575009237.9028156,1025,959.0
1575009303.7414317,1027,1185.0
1575009345.5071537,1031,876.0
1575009357.187574,1032,1064.0
1575009533.084151,1037,1174.0
1575009802.4334707,1044,883.0
1575010202.4078915,1055,337.0
1575010285.0590668,1057,1221.0
1575010403.7637203,1063,413.0
1575010436.0575426,1064,559.0
1575010507.4364398,1066,865.0
1575010595.836561,1068,1247.0
1575010752.5873594,1072,234.0
1575010905.2056503,1076,356.0
1575010978.3974104,1078,1296.0
1575011145.057409,1083,1178.0
1575011180.6640322,1084,830.0
1575011229.2855623,1085,1220.0
1575011450.5181406,1093,1064.0
1575011606.860933,1099,1335.0
1575011768.0214686,1103,815.0
1575011801.4005454,1104,757.0
1575011843.9112818,1105,1076.0
1575012189.5983138,1114,1317.0
1575012373.7047243,1119,1507.0
1575012500.2907605,1125,962.0
1575012729.371582,1133,1281.0
1575012808.0159955,1135,1085.0
1575013523.853987,1155,910.0
1575013534.6635776,1156,494.0
1575013574.121526,1160,1019.0
1575013597.4915645,1161,693.0
1575013633.1270497,1162,615.0
1575014243.692084,1180,316.0
1575014452.5820992,1185,467.0
1575014608.4181924,1192,1342.0
1575014618.03708,1193,1217.0
1575014743.1063764,1199,519.0
1575014814.382272,1201,1426.0
1575014984.0479188,1206,329.0
1575015047.8870409,1208,371.0
1575015111.546049,1210,655.0
1575015281.4322848,1214,1155.0
1575015791.3035746,1232,803.0
1575015867.399829,1234,618.0
1575015946.0189407,1236,169.0
1575016223.2404833,1244,126.0
1575016349.9093392,1247,638.0
1575016590.414109,1253,519.0
1575016664.5656066,1255,414.0
1575016727.2073479,1257,359.0
1575016738.9902618,1258,258.0
1575016773.6443222,1261,160.0
1575016795.125463,1263,130.0
1575016827.9214463,1266,1067.0
1575016906.4851913,1274,321.0
1575016980.0579891,1281,1359.0
1575017044.6818523,1287,754.0
1575017087.4358237,1291,950.0
1575017097.925237,1292,815.0
1575017110.5571458,1293,558.0
1575017124.295236,1294,1323.0
1575017193.0262635,1300,1560.0
1575017291.731076,1310,685.0
1575017313.3419526,1312,1029.0
1575017343.4523876,1315,792.0
1575017352.7480578,1316,126.0
1575017382.4800396,1319,1095.0
1575017442.860813,1325,543.0
1575017462.3129134,1327,356.0
1575017494.5019972,1330,509.0
1575017525.170285,1333,783.0
1575017553.818423,1336,229.0
1575017564.345734,1337,266.0
1575017751.9979932,1355,1284.0
1575017870.1995125,1366,881.0
1575017910.0129232,1370,488.0
1575018051.527157,1384,202.0
1575018064.719816,1385,483.0
1575018098.5227308,1388,626.0
1575018108.9586701,1389,288.0
1575018131.887558,1391,405.0
