Wall time,Step,Value
1576759933.280165,0,955.0
1576759936.1108954,1,749.0
1576759938.823187,2,809.0
1576759942.074935,3,939.0
1576759945.219881,4,809.0
1576759949.817578,5,1112.0
1576759953.8178744,6,976.0
1576759957.0622325,7,777.0
1576759960.9771495,8,955.0
1576759964.7424467,9,916.0
1576759968.0527847,10,806.0
1576759973.443907,11,1306.0
1576759976.8331358,12,811.0
1576759980.6628857,13,899.0
1576759983.9829905,14,777.0
1576759987.7546024,15,898.0
1576759991.5487509,16,905.0
1576759994.8503025,17,796.0
1576759998.4402938,18,867.0
1576760001.5399914,19,749.0
1576760005.4954305,20,959.0
1576760008.5997612,21,749.0
1576760012.5976307,22,964.0
1576760016.4436057,23,927.0
1576760019.5500507,24,749.0
1576760023.58758,25,971.0
1576760027.7574313,26,995.0
1576760031.5816813,27,907.0
1576760036.363921,28,1137.0
1576760039.8651772,29,828.0
1576760043.560651,30,873.0
1576760048.7829633,31,1248.0
1576760053.7685435,32,1193.0
1576760057.1518128,33,811.0
1576760061.5058932,34,1043.0
1576760065.8223696,35,1027.0
1576760069.239335,36,809.0
1576760072.9611485,37,883.0
1576760077.50151,38,1077.0
1576760081.222438,39,883.0
1576760084.763488,40,829.0
1576760088.572088,41,899.0
1576760092.756745,42,985.0
1576760096.8786716,43,959.0
1576760101.0101717,44,968.0
1576760104.7164845,45,871.0
1576760108.8501492,46,973.0
1576760112.63723,47,898.0
1576760116.7540312,48,977.0
1576760121.4843378,49,1118.0
1576760125.1678784,50,869.0
1576760129.237292,51,959.0
1576760132.6909583,52,811.0
1576760136.7127273,53,948.0
1576760140.5461178,54,897.0
1576760145.6057,55,1184.0
1576760149.9992044,56,1025.0
1576760154.1075041,57,947.0
1576760157.8463314,58,869.0
1576760161.945098,59,949.0
1576760166.5310905,60,1063.0
1576760170.5525835,61,936.0
1576760175.33221,62,1121.0
1576760180.3010845,63,1167.0
1576760183.5207322,64,749.0
1576760188.365972,65,1130.0
1576760193.4989312,66,1191.0
1576760198.136083,67,1074.0
1576760201.9826148,68,887.0
1576760205.9391003,69,899.0
1576760209.6069744,70,839.0
1576760214.787997,71,1181.0
1576760218.9862416,72,959.0
1576760224.5312057,73,1271.0
1576760229.0420015,74,1039.0
1576760232.9848297,75,918.0
1576760238.1805344,76,1202.0
1576760243.743651,77,1287.0
1576760248.7382286,78,1158.0
1576760254.1265907,79,1245.0
1576760258.48008,80,1008.0
1576760262.5401464,81,931.0
1576760266.7631652,82,961.0
1576760271.468366,83,1073.0
1576760276.5667665,84,1171.0
1576760280.7475007,85,949.0
1576760287.0738103,86,1428.0
1576760292.1977916,87,1160.0
1576760297.963402,88,1327.0
1576760302.611527,89,1058.0
1576760307.226798,90,1053.0
1576760312.0382807,91,1097.0
1576760317.7372015,92,1300.0
1576760323.0809116,93,1206.0
1576760327.8353372,94,1074.0
1576760332.035209,95,951.0
1576760336.8032722,96,1077.0
1576760343.1930676,97,1447.0
1576760349.4018636,98,1413.0
1576760355.5410488,99,1394.0
1576760361.6651156,100,1387.0
1576760367.838962,101,1405.0
1576760375.8652782,102,1820.0
1576760381.5437093,103,1266.0
1576760386.7706506,104,1175.0
1576760391.6331918,105,1089.0
1576760399.7436812,106,1834.0
1576760408.7631893,107,2056.0
1576760415.0529587,108,1422.0
1576760422.3909447,109,1662.0
1576760428.727996,110,1426.0
1576760435.12071,111,1417.0
1576760440.7645562,112,1259.0
1576760450.265627,113,2120.0
1576760461.296898,114,2484.0
1576760470.5508301,115,2082.0
1576760483.1737616,116,2836.0
1576760495.4156158,117,2728.0
1576760507.22015,118,2627.0
1576760515.994483,119,1968.0
1576760526.0567374,120,2263.0
