Wall time,Step,Value
1576759933.2799618,0,-20.0
1576759936.1107438,1,-21.0
1576759938.8230367,2,-21.0
1576759942.0747764,3,-21.0
1576759945.2197285,4,-21.0
1576759949.817317,5,-21.0
1576759953.81771,6,-20.0
1576759957.0620832,7,-21.0
1576759960.9769988,8,-21.0
1576759964.7422936,9,-20.0
1576759968.0526292,10,-21.0
1576759973.443754,11,-20.0
1576759976.832986,12,-21.0
1576759980.6627383,13,-21.0
1576759983.9828382,14,-21.0
1576759987.754446,15,-21.0
1576759991.5485191,16,-20.0
1576759994.8501475,17,-21.0
1576759998.44013,18,-21.0
1576760001.5398405,19,-21.0
1576760005.49528,20,-21.0
1576760008.5996137,21,-21.0
1576760012.5974813,22,-20.0
1576760016.443452,23,-21.0
1576760019.5499005,24,-21.0
1576760023.5874212,25,-19.0
1576760027.7572773,26,-20.0
1576760031.5815322,27,-20.0
1576760036.3637679,28,-20.0
1576760039.8650277,29,-21.0
1576760043.5604985,30,-20.0
1576760048.7827158,31,-19.0
1576760053.76838,32,-19.0
1576760057.1516635,33,-21.0
1576760061.5057418,34,-19.0
1576760065.822217,35,-19.0
1576760069.2391849,36,-21.0
1576760072.9609983,37,-20.0
1576760077.5013518,38,-21.0
1576760081.2222857,39,-20.0
1576760084.7633312,40,-20.0
1576760088.5719352,41,-21.0
1576760092.756593,42,-21.0
1576760096.8785186,43,-21.0
1576760101.01002,44,-20.0
1576760104.7163248,45,-21.0
1576760108.849909,46,-20.0
1576760112.6370707,47,-21.0
1576760116.7538788,48,-21.0
1576760121.4841871,49,-19.0
1576760125.1677318,50,-21.0
1576760129.2371423,51,-21.0
1576760132.6908076,52,-21.0
1576760136.7125766,53,-20.0
1576760140.545967,54,-21.0
1576760145.6055498,55,-19.0
1576760149.999055,56,-19.0
1576760154.1073465,57,-21.0
1576760157.8461766,58,-21.0
1576760161.9449484,59,-21.0
1576760166.5308514,60,-20.0
1576760170.5524223,61,-20.0
1576760175.3320572,62,-19.0
1576760180.3009346,63,-18.0
1576760183.520583,64,-21.0
1576760188.3658233,65,-20.0
1576760193.4987755,66,-21.0
1576760198.1359365,67,-18.0
1576760201.9824612,68,-20.0
1576760205.938949,69,-21.0
1576760209.6068194,70,-21.0
1576760214.7878458,71,-19.0
1576760218.98609,72,-21.0
1576760224.5310564,73,-19.0
1576760229.0417535,74,-21.0
1576760232.9846776,75,-21.0
1576760238.180369,76,-21.0
1576760243.743496,77,-19.0
1576760248.7380738,78,-21.0
1576760254.1264367,79,-20.0
1576760258.4799278,80,-21.0
1576760262.539998,81,-21.0
1576760266.7630155,82,-21.0
1576760271.4682107,83,-20.0
1576760276.5666144,84,-21.0
1576760280.7473438,85,-20.0
1576760287.0735605,86,-19.0
1576760292.1976304,87,-21.0
1576760297.9632545,88,-20.0
1576760302.6113734,89,-21.0
1576760307.226647,90,-21.0
1576760312.0381308,91,-21.0
1576760317.7370474,92,-20.0
1576760323.0807633,93,-20.0
1576760327.8351898,94,-21.0
1576760332.0350587,95,-21.0
1576760336.8031244,96,-21.0
1576760343.1928298,97,-20.0
1576760349.4017048,98,-19.0
1576760355.5408955,99,-18.0
1576760361.664965,100,-20.0
1576760367.8388083,101,-20.0
1576760375.8651297,102,-13.0
1576760381.5435555,103,-19.0
1576760386.7705,104,-20.0
1576760391.633033,105,-20.0
1576760399.7434402,106,-16.0
1576760408.7630355,107,-19.0
1576760415.0528095,108,-20.0
1576760422.3907952,109,-19.0
1576760428.7278447,110,-18.0
1576760435.1205578,111,-20.0
1576760440.7644012,112,-20.0
1576760450.2654777,113,-19.0
1576760461.2966518,114,-11.0
1576760470.5506768,115,-18.0
1576760483.1736104,116,-15.0
1576760495.4154613,117,-13.0
1576760507.219907,118,-14.0
1576760515.994316,119,-20.0
1576760526.0565813,120,-17.0
1576760536.645463,121,-18.0
1576760549.0846035,122,-15.0
1576760560.2159808,123,-18.0
1576760569.23881,124,-19.0
1576760581.3189337,125,-15.0
1576760593.606408,126,-12.0
1576760602.8579872,127,-19.0
1576760614.5400825,128,-14.0
1576760627.7348878,129,-16.0
1576760644.5403357,130,-8.0
1576760655.6386783,131,-18.0
1576760671.8993382,132,-14.0
1576760684.097629,133,-14.0
1576760703.3469503,134,-8.0
1576760717.372327,135,-13.0
1576760733.640174,136,-14.0
1576760748.1282604,137,-12.0
1576760762.4733095,138,-16.0
1576760776.645855,139,-11.0
1576760788.4199734,140,-14.0
1576760801.0349405,141,-15.0
1576760816.0671492,142,-13.0
1576760833.379815,143,-15.0
1576760851.8211536,144,-12.0
1576760865.3917847,145,-20.0
1576760877.8498447,146,-17.0
1576760893.4078138,147,-13.0
1576760909.0059533,148,-16.0
1576760925.3264627,149,-13.0
1576760939.747752,150,-16.0
1576760952.5253308,151,-16.0
1576760967.0470202,152,-12.0
1576760981.9123304,153,-14.0
1576760992.8184123,154,-12.0
1576761009.4040084,155,-8.0
1576761024.2518632,156,-13.0
1576761039.8159254,157,-13.0
1576761052.2110245,158,-15.0
1576761066.1942146,159,-13.0
1576761080.3786497,160,-11.0
1576761091.0390704,161,-17.0
1576761102.7675946,162,-13.0
1576761119.0841475,163,-6.0
1576761136.115216,164,-8.0
1576761152.4903905,165,-10.0
1576761167.8444836,166,-15.0
1576761185.361241,167,-4.0
1576761201.4620924,168,-4.0
1576761218.111083,169,-8.0
1576761232.0846097,170,-8.0
1576761245.5678527,171,10.0
1576761259.3615339,172,8.0
1576761273.9544375,173,-2.0
