Wall time,Step,Value
1576759948.592999,0,-20.0
1576759953.6312537,1,-21.0
1576759960.9136767,2,-20.0
1576759966.6709323,3,-20.0
1576759972.309588,4,-21.0
1576759977.7009344,5,-21.0
1576759984.1235516,6,-21.0
1576759991.5320463,7,-20.0
1576759998.2268083,8,-21.0
1576760003.6224396,9,-21.0
1576760009.3807101,10,-21.0
1576760015.5041237,11,-20.0
1576760020.9540358,12,-21.0
1576760027.2823427,13,-21.0
1576760033.948569,14,-20.0
1576760040.7343369,15,-20.0
1576760047.22696,16,-20.0
1576760053.0497248,17,-21.0
1576760060.079226,18,-20.0
1576760066.6173246,19,-20.0
1576760072.9489224,20,-21.0
1576760079.2431383,21,-21.0
1576760085.9048781,22,-21.0
1576760092.460592,23,-21.0
1576760100.5702868,24,-19.0
1576760108.5007324,25,-21.0
1576760114.1354237,26,-21.0
1576760121.5657701,27,-21.0
1576760128.9440603,28,-19.0
1576760135.307561,29,-20.0
1576760141.540518,30,-21.0
1576760146.9813516,31,-21.0
1576760152.8991866,32,-21.0
1576760159.0228825,33,-21.0
1576760166.71548,34,-19.0
1576760172.6243124,35,-21.0
1576760179.5945215,36,-19.0
1576760186.681212,37,-19.0
1576760192.912441,38,-20.0
1576760198.3367856,39,-21.0
1576760204.2430992,40,-21.0
1576760211.3384864,41,-20.0
1576760217.0121126,42,-21.0
1576760225.223231,43,-19.0
1576760231.5523734,44,-21.0
1576760240.8579583,45,-18.0
1576760247.100213,46,-21.0
1576760255.8771262,47,-19.0
1576760262.3375819,48,-21.0
1576760268.6981602,49,-20.0
1576760274.9243772,50,-21.0
1576760281.8084762,51,-21.0
1576760289.6485868,52,-21.0
1576760295.2602167,53,-21.0
1576760304.9083009,54,-16.0
1576760312.1892104,55,-21.0
1576760318.7924392,56,-21.0
1576760325.1825178,57,-21.0
1576760331.1800508,58,-21.0
1576760337.3703635,59,-21.0
1576760344.233877,60,-21.0
1576760349.786352,61,-21.0
1576760356.9518974,62,-21.0
1576760363.5708995,63,-21.0
1576760370.021104,64,-21.0
1576760376.4055483,65,-20.0
1576760383.6013308,66,-20.0
1576760390.287841,67,-21.0
1576760396.9903493,68,-21.0
1576760403.0290158,69,-21.0
1576760411.4947376,70,-20.0
1576760418.7335076,71,-20.0
1576760427.3386478,72,-19.0
1576760435.5404065,73,-20.0
1576760444.6841912,74,-20.0
1576760451.9326644,75,-20.0
1576760462.9491906,76,-19.0
1576760469.907712,77,-21.0
1576760478.665729,78,-18.0
1576760485.8933003,79,-21.0
1576760493.8190138,80,-20.0
1576760502.5949285,81,-20.0
1576760511.5918434,82,-21.0
1576760522.181119,83,-21.0
1576760528.4245253,84,-21.0
1576760535.8267927,85,-21.0
1576760546.7106273,86,-16.0
1576760553.9987445,87,-19.0
1576760563.5593069,88,-21.0
1576760572.4592087,89,-20.0
1576760579.9966218,90,-21.0
1576760587.3108745,91,-21.0
1576760596.1146054,92,-19.0
1576760602.75949,93,-20.0
1576760609.4900513,94,-20.0
1576760620.446372,95,-20.0
1576760628.687412,96,-21.0
1576760638.6219027,97,-20.0
1576760646.5153103,98,-21.0
1576760654.2153199,99,-21.0
1576760661.876486,100,-20.0
1576760671.5288792,101,-18.0
1576760678.8366473,102,-21.0
1576760687.6497018,103,-20.0
1576760697.6178248,104,-21.0
1576760707.1246297,105,-20.0
1576760715.8969097,106,-19.0
