Wall time,Step,Value
1577364335.4289463,0,-21.0
1577364816.1066926,5,-20.0
1577365355.2525136,10,-21.0
1577365826.8283834,15,-21.0
1577366364.7033381,20,-21.0
1577366904.774441,25,-20.0
1577367436.9138553,30,-21.0
1577367914.3989987,35,-21.0
1577368436.3674743,40,-20.0
1577369001.3946571,45,-20.0
1577369480.075391,50,-20.0
1577370030.2230587,55,-21.0
1577370546.8872387,60,-19.0
1577371165.278023,65,-21.0
1577371730.4984663,70,-18.0
1577372264.9370403,75,-19.0
1577372844.2147672,80,-20.0
1577373432.885802,85,-19.0
1577374184.591254,90,-19.0
1577374869.7420921,95,-21.0
1577375554.7565625,100,-19.0
1577376446.043683,105,-17.0
1577377198.5129566,110,-19.0
1577377828.9295933,115,-19.0
1577378425.417156,120,-11.0
1577379104.8928397,125,-17.0
1577379806.7611496,130,-17.0
1577380554.6893935,135,-18.0
1577381368.9027069,140,-12.0
1577382339.255178,145,-18.0
1577383175.6085703,150,-16.0
1577384117.943351,155,-17.0
1577385167.2402737,160,-14.0
1577386199.8478734,165,-17.0
1577387240.8201723,170,-5.0
1577388540.1223443,175,-6.0
1577389818.8151772,180,-2.0
1577391323.226483,185,-3.0
1577391851.1607473,190,-2.0
1577392006.879223,195,12.0
1577392157.4349313,200,10.0
1577392324.6839597,205,13.0
1577392487.493294,210,12.0
1577392589.4186068,215,11.0
1577392730.001598,220,16.0
1577392856.6229255,225,6.0
1577392983.1698675,230,14.0
1577393096.3257537,235,-14.0
1577393210.8260798,240,6.0
1577393324.82708,245,9.0
1577393436.4194973,250,4.0
1577393541.0105746,255,17.0
1577393613.4885623,260,18.0
1577393707.7355275,265,12.0
1577393833.6889272,270,19.0
1577393926.8893983,275,17.0
1577394043.0007875,280,20.0
1577394103.4456947,285,21.0
1577394161.1886725,290,19.0
1577394231.5637379,295,11.0
1577394305.6538696,300,21.0
1577394370.3219385,305,17.0
1577394434.6040618,310,20.0
1577394495.6691415,315,20.0
1577394553.7926152,320,21.0
1577394615.158907,325,18.0
1577394677.824108,330,20.0
1577394739.0420673,335,19.0
1577394795.8963664,340,21.0
1577394860.3669753,345,18.0
1577394904.0459056,350,20.0
1577394961.497848,355,20.0
1577395057.5055227,360,16.0
1577395115.2179477,365,21.0
1577395174.663204,370,20.0
1577395233.0419226,375,20.0
1577395294.1619139,380,21.0
1577395350.1141365,385,20.0
1577395407.302316,390,21.0
1577395451.9728997,395,21.0
1577395510.3015878,400,19.0
1577395570.4828587,405,17.0
1577395637.0629702,410,18.0
1577395730.1688414,415,18.0
1577395794.1328557,420,19.0
1577395861.414725,425,18.0
1577395923.5522377,430,20.0
1577395987.270089,435,19.0
1577396045.5584712,440,21.0
1577396104.0947394,445,17.0
1577396165.2421887,450,20.0
1577396223.0269084,455,20.0
1577396283.810096,460,18.0
1577396342.4084303,465,13.0
1577396429.18795,470,20.0
1577396492.0366292,475,16.0
1577396556.7391593,480,19.0
1577396599.4105,485,21.0
1577396689.168785,490,21.0
1577396751.9777555,495,18.0
1577396815.905144,500,19.0
1577396871.1610973,505,21.0
1577396933.677635,510,21.0
1577396978.8926728,515,20.0
1577397037.3864415,520,18.0
1577397094.9509873,525,21.0
1577397150.7041702,530,21.0
1577397215.029025,535,20.0
1577397282.3353536,540,19.0
1577397339.0921068,545,20.0
1577397394.657641,550,20.0
1577397450.596557,555,20.0
1577397495.974889,560,21.0
1577397554.2067485,565,21.0
1577397619.8148913,570,15.0
1577397681.667667,575,13.0
1577397764.9621775,580,15.0
1577397824.2816212,585,20.0
1577397879.8711188,590,20.0
1577397934.547844,595,21.0
1577397991.502687,600,21.0
1577398048.2260227,605,18.0
1577398109.018109,610,20.0
1577398150.2747412,615,21.0
1577398207.2925887,620,21.0
1577398269.4260864,625,18.0
1577398326.0385873,630,21.0
1577398385.1314476,635,13.0
1577398451.6661434,640,19.0
1577398515.7794898,645,21.0
1577398573.117696,650,21.0
1577398633.2171643,655,21.0
1577398693.2764785,660,21.0
1577398767.2334764,665,4.0
1577398829.451882,670,15.0
1577398886.5087023,675,21.0
1577398943.3536005,680,20.0
1577398987.8659334,685,21.0
1577399045.5197315,690,21.0
1577399107.6916213,695,21.0
1577399162.5565715,700,21.0
1577399217.4064445,705,21.0
1577399274.4557176,710,19.0
1577399328.9160876,715,21.0
1577399374.4057739,720,16.0
1577399432.4625273,725,21.0
1577399490.8492837,730,21.0
1577399548.4248118,735,18.0
1577399604.6878254,740,21.0
1577399666.3364913,745,20.0
1577399757.4232187,750,9.0
1577400016.7674606,755,21.0
1577400237.101865,760,21.0
1577400360.9511912,765,21.0
1577400421.7939544,770,21.0
1577400487.739985,775,16.0
1577400553.2946017,780,21.0
1577400716.9879582,785,21.0
1577400984.0361485,790,21.0
1577401129.868751,795,17.0
1577401434.9243727,800,18.0
1577401898.323169,805,18.0
1577402199.725241,810,19.0
1577402246.8424244,815,21.0
1577402508.7303772,820,21.0
1577402949.3395548,825,19.0
1577403353.01746,830,21.0
1577403803.0046713,835,17.0
1577404272.3172388,840,21.0
1577404702.4170055,845,21.0
1577405176.0007627,850,19.0
1577405636.0746863,855,19.0
1577406077.0732002,860,21.0
1577406576.743599,865,20.0
1577407052.7106454,870,21.0
1577407517.7877336,875,21.0
1577408005.7283406,880,16.0
1577408485.8098972,885,21.0
1577409118.9830902,890,15.0
1577409720.1532414,895,19.0
1577410214.8791313,900,21.0
1577410710.5533235,905,21.0
1577411181.079271,910,20.0
1577411634.86527,915,20.0
1577412117.7007744,920,21.0
1577412714.6604517,925,16.0
1577413208.4371603,930,21.0
1577413714.4549289,935,19.0
1577414224.3430421,940,18.0
1577414758.6876457,945,20.0
1577415284.8314965,950,18.0
1577415793.5456774,955,18.0
1577415997.7731524,960,21.0
1577416338.430072,965,17.0
1577416928.847217,970,20.0
1577417416.763326,975,21.0
1577417798.2635326,980,8.0
1577417924.6873617,985,20.0
1577418453.776595,990,20.0
1577418926.9255185,995,20.0
1577419462.3542845,1000,20.0
1577419967.7180367,1005,20.0
1577420433.0507805,1010,21.0
1577420922.2062876,1015,17.0
1577421405.3424702,1020,21.0
1577421976.2156205,1025,15.0
1577422520.2548327,1030,19.0
1577423001.456633,1035,21.0
1577423523.8381894,1040,18.0
1577424018.545272,1045,19.0
1577424521.2089777,1050,21.0
1577425054.0145721,1055,12.0
1577425580.1478426,1060,16.0
1577426088.921893,1065,21.0
1577426577.094514,1070,21.0
1577427170.118261,1075,20.0
1577427632.7990668,1080,21.0
1577428087.7939148,1085,21.0
1577428685.068566,1090,1.0
1577429209.1188018,1095,21.0
1577429715.4280977,1100,21.0
1577430176.4477432,1105,15.0
1577430376.2355537,1110,21.0
1577430485.2613018,1115,21.0
1577430553.9274104,1120,15.0
1577430715.8433752,1125,21.0
1577431222.1975782,1130,20.0
1577431697.571367,1135,19.0
1577432144.1727924,1140,21.0
1577432653.203645,1145,21.0
1577433075.318499,1150,21.0
1577433547.876941,1155,17.0
1577434143.0666864,1160,-1.0
1577434696.5874574,1165,21.0
1577435295.5185597,1170,21.0
1577435740.9633043,1175,21.0
1577436294.000168,1180,18.0
1577436690.8953044,1185,20.0
1577436753.924479,1190,17.0
1577437018.7101736,1195,19.0
1577437507.5053296,1200,18.0
1577438023.9028995,1205,18.0
1577438099.0630345,1210,21.0
1577438158.957396,1215,21.0
1577438216.162101,1220,20.0
1577438272.2546043,1225,21.0
1577438336.0277553,1230,17.0
1577438378.374697,1235,18.0
1577438439.2321866,1240,19.0
1577438494.1692207,1245,21.0
1577438550.276308,1250,18.0
1577438605.9796813,1255,19.0
1577438664.1684916,1260,18.0
1577438720.3586226,1265,21.0
1577438780.442746,1270,18.0
1577438841.4921799,1275,16.0
1577438906.2946928,1280,14.0
1577438951.6789575,1285,20.0
1577439019.3824804,1290,21.0
1577439118.3299637,1295,15.0
1577439180.7667706,1300,21.0
1577439224.1092918,1305,14.0
1577439283.8698459,1310,15.0
1577439335.1746204,1315,10.0
1577439395.7491872,1320,20.0
1577439447.5705993,1325,21.0
1577439518.2915432,1330,13.0
1577439590.9034095,1335,19.0
1577439654.1694598,1340,20.0
1577439711.523992,1345,21.0
1577439771.212915,1350,19.0
1577439830.247106,1355,20.0
1577439894.942817,1360,20.0
1577439958.7053256,1365,13.0
1577440018.5817516,1370,19.0
1577440076.3953562,1375,21.0
1577440139.9700053,1380,17.0
1577440230.9390032,1385,20.0
1577440288.6905217,1390,14.0
1577440332.173416,1395,18.0
1577440388.9629865,1400,20.0
1577440463.1753333,1405,14.0
1577440522.1103835,1410,21.0
1577440597.7334206,1415,17.0
1577440661.4795034,1420,21.0
1577440720.6302893,1425,17.0
1577440776.0727007,1430,21.0
1577440836.4755707,1435,18.0
1577440898.7471976,1440,21.0
1577440957.957235,1445,21.0
1577441017.1651845,1450,21.0
1577441073.0829577,1455,21.0
1577441137.1918864,1460,19.0
1577441184.4281695,1465,19.0
1577441242.2344956,1470,20.0
1577441299.5268104,1475,18.0
1577441357.1724226,1480,20.0
1577441426.8442748,1485,20.0
1577441484.9778523,1490,21.0
1577441546.974518,1495,16.0
1577441603.392137,1500,19.0
1577441665.556619,1505,15.0
1577441726.4181092,1510,20.0
1577441770.883002,1515,21.0
1577441827.5008957,1520,19.0
1577441885.026633,1525,21.0
1577441944.7009563,1530,19.0
1577442004.4110086,1535,21.0
1577442062.071288,1540,20.0
1577442117.477596,1545,21.0
1577442176.5778697,1550,17.0
1577442237.590222,1555,10.0
1577442280.2252874,1560,19.0
1577442338.9216857,1565,19.0
1577442400.3965957,1570,20.0
1577442455.4297595,1575,20.0
1577442515.2827272,1580,16.0
1577442575.2738817,1585,17.0
1577442637.2762468,1590,17.0
1577442694.753642,1595,20.0
1577442746.5321681,1600,21.0
1577442787.5931435,1605,21.0
1577442846.7086148,1610,21.0
1577442904.5942767,1615,21.0
1577442960.9174495,1620,21.0
1577443023.729292,1625,21.0
1577443086.293915,1630,21.0
1577443141.1720207,1635,21.0
1577443195.5331774,1640,21.0
1577443239.3180897,1645,18.0
1577443298.4177737,1650,20.0
1577443360.8307006,1655,21.0
1577443415.6757996,1660,21.0
1577443473.9627235,1665,21.0
1577443530.2966564,1670,21.0
1577443587.1565528,1675,21.0
1577443641.6406252,1680,21.0
1577443699.5942361,1685,20.0
1577443743.9093394,1690,20.0
1577443797.8803806,1695,21.0
1577443853.8551707,1700,21.0
1577443912.7255447,1705,20.0
1577443970.5696507,1710,21.0
1577444026.2069843,1715,21.0
1577444081.5426123,1720,19.0
1577444122.2699113,1725,21.0
1577444177.614748,1730,20.0
1577444237.3065383,1735,21.0
1577444296.2513762,1740,17.0
1577444351.3007283,1745,21.0
1577444409.2471051,1750,18.0
1577444465.913388,1755,20.0
1577444525.844731,1760,19.0
1577444571.0064273,1765,17.0
1577444628.6984448,1770,20.0
1577444695.0371184,1775,19.0
1577444759.0106204,1780,20.0
1577444820.0742788,1785,19.0
1577444874.9420266,1790,21.0
1577444931.2872555,1795,19.0
1577444983.692252,1800,18.0
1577445045.5064697,1805,21.0
1577445101.1744125,1810,21.0
1577445159.3790362,1815,20.0
1577445204.2174327,1820,21.0
1577445271.0641,1825,19.0
1577445328.3778398,1830,21.0
1577445392.441535,1835,16.0
1577445449.0065265,1840,20.0
1577445514.8973331,1845,19.0
1577445575.7039506,1850,20.0
1577445636.8511057,1855,21.0
1577445698.415442,1860,20.0
1577445759.8394368,1865,21.0
1577445818.8787136,1870,21.0
1577445878.3592873,1875,14.0
1577445934.0590773,1880,21.0
1577445978.2689433,1885,20.0
1577446034.3900518,1890,20.0
1577446093.6692355,1895,19.0
1577446153.7097092,1900,21.0
1577446209.2290106,1905,20.0
1577446266.2857568,1910,17.0
1577446328.3382049,1915,21.0
1577446386.5114918,1920,21.0
1577446441.5493784,1925,21.0
1577446486.8673692,1930,16.0
1577446542.0899823,1935,21.0
1577446601.1338289,1940,10.0
1577446658.6917582,1945,21.0
1577446715.4186656,1950,21.0
1577446773.6306977,1955,20.0
1577446829.8271382,1960,18.0
1577446870.898747,1965,21.0
1577446926.30892,1970,20.0
1577446986.1166854,1975,17.0
1577447047.0270722,1980,19.0
1577447103.7107878,1985,18.0
1577447158.6688077,1990,21.0
1577447215.1740203,1995,21.0
1577447257.709089,2000,19.0
1577447315.536438,2005,21.0
1577447376.1197412,2010,21.0
1577447433.5801415,2015,19.0
1577447489.1491444,2020,19.0
1577447559.569671,2025,15.0
1577447620.190665,2030,21.0
1577447676.653212,2035,18.0
1577447732.3603148,2040,20.0
1577447791.7695527,2045,20.0
1577447852.6135063,2050,21.0
1577447946.0479307,2055,15.0
1577448003.3909013,2060,21.0
1577448045.8875546,2065,21.0
1577448101.3895059,2070,19.0
1577448164.2876232,2075,21.0
1577448221.352977,2080,21.0
1577448277.24267,2085,19.0
1577448335.7994316,2090,20.0
1577448392.4086623,2095,21.0
1577448447.4133644,2100,21.0
1577448489.9665523,2105,21.0
1577448545.9673789,2110,19.0
1577448603.453504,2115,21.0
1577448667.3877373,2120,21.0
1577448727.5849314,2125,20.0
1577448784.609948,2130,19.0
1577448845.0621712,2135,20.0
1577448903.0470428,2140,18.0
1577448965.3996398,2145,21.0
1577449006.2111926,2150,21.0
1577449062.4052644,2155,21.0
1577449121.879085,2160,21.0
1577449177.1285172,2165,21.0
1577449233.776205,2170,20.0
1577449294.1538913,2175,20.0
1577449351.8604865,2180,20.0
1577449413.5388675,2185,17.0
1577449472.4407341,2190,17.0
1577449541.6304965,2195,12.0
1577449630.002439,2200,18.0
1577449691.6438916,2205,16.0
1577449749.1286247,2210,18.0
1577449793.1521096,2215,18.0
1577449860.391865,2220,15.0
1577449918.1420627,2225,19.0
1577449974.3347979,2230,21.0
1577450033.6356401,2235,20.0
1577450090.5351503,2240,20.0
1577450147.3265054,2245,19.0
1577450205.292481,2250,21.0
1577450261.513353,2255,21.0
1577450305.0844429,2260,20.0
1577450361.2213995,2265,21.0
1577450418.2874713,2270,19.0
1577450475.587618,2275,19.0
