Wall time,Step,Value
1577364597.9187047,0,-21.0
1577364875.0404909,5,-20.0
1577365166.4600077,10,-21.0
1577365477.4751675,15,-20.0
1577365755.4659507,20,-20.0
1577366062.5822222,25,-21.0
1577366346.8975708,30,-20.0
1577366629.8045123,35,-21.0
1577366961.113498,40,-21.0
1577367279.2936206,45,-20.0
1577367590.26881,50,-21.0
1577367887.1970243,55,-21.0
1577368153.3851333,60,-20.0
1577368499.5936518,65,-21.0
1577368822.4255414,70,-18.0
1577369210.8601928,75,-20.0
1577369587.8113549,80,-20.0
1577370018.102887,85,-21.0
1577370444.850772,90,-21.0
1577370865.3600187,95,-21.0
1577371343.2097318,100,-21.0
1577371879.2422636,105,-17.0
1577372525.5558627,110,-15.0
1577373141.945295,115,-21.0
1577373836.1304164,120,-16.0
1577374599.7776384,125,-18.0
1577375342.05709,130,-20.0
1577376103.2698658,135,-16.0
1577377038.7121499,140,-17.0
1577377769.9287984,145,-14.0
1577378579.0467815,150,-15.0
1577379363.1343966,155,-15.0
1577380282.567325,160,-17.0
1577381246.087346,165,-13.0
1577382143.8701923,170,-9.0
1577383142.3300004,175,-15.0
1577383877.0990229,180,-17.0
1577384800.881504,185,-14.0
1577386052.3014052,190,-13.0
1577387898.303964,195,-4.0
1577389584.7570243,200,-12.0
1577391015.3251235,205,-8.0
1577391841.770395,210,-6.0
1577392137.424334,215,-7.0
1577392497.6377647,220,-8.0
1577392701.5916944,225,-19.0
1577393319.0902596,230,8.0
1577393759.4110641,235,-5.0
1577394506.4594285,240,-1.0
1577395027.3803806,245,13.0
1577395246.6693537,250,14.0
1577395460.9789126,255,17.0
1577395646.978492,260,14.0
1577395967.141748,265,13.0
1577396167.2689023,270,4.0
1577396330.950502,275,12.0
1577396478.3069222,280,-5.0
1577396678.3473878,285,21.0
1577396867.8499637,290,14.0
1577397050.3088756,295,14.0
1577397183.053449,300,9.0
1577397375.9469557,305,11.0
1577397569.9914632,310,16.0
1577397708.0754836,315,14.0
1577397921.7071629,320,16.0
1577398069.4825957,325,2.0
1577398257.6653535,330,10.0
1577398462.2452784,335,5.0
1577398592.3780105,340,18.0
1577398753.8452916,345,16.0
1577398885.831472,350,14.0
1577399020.5655093,355,18.0
1577399352.1760733,360,18.0
1577399498.0726333,365,15.0
1577399657.3733385,370,8.0
1577399795.6122892,375,11.0
1577399977.3026063,380,21.0
1577400112.1176503,385,14.0
1577400250.6676252,390,19.0
1577400406.509484,395,15.0
1577400515.1003141,400,19.0
1577400619.9999452,405,16.0
1577400792.5462196,410,10.0
1577400910.5328436,415,2.0
1577401063.4696822,420,21.0
1577401174.5341663,425,21.0
1577401312.6928377,430,13.0
1577401409.894874,435,20.0
1577401509.8192503,440,21.0
1577401614.6256835,445,21.0
1577401725.7637565,450,17.0
1577401833.4997404,455,18.0
1577401939.2512627,460,20.0
1577402044.492448,465,21.0
1577402172.585589,470,3.0
1577402269.124953,475,20.0
1577402369.8782992,480,20.0
1577402471.669694,485,17.0
1577402566.42551,490,21.0
1577402668.4022517,495,12.0
1577402757.8675609,500,13.0
1577402852.4654393,505,21.0
1577402951.77759,510,21.0
1577403051.3283908,515,21.0
1577403150.2939475,520,20.0
1577403251.7377138,525,15.0
1577403338.5810516,530,20.0
1577403427.8923059,535,21.0
1577403534.0768564,540,21.0
1577403635.2480824,545,19.0
1577403730.4019947,550,-11.0
1577403824.4302466,555,20.0
1577403897.5872157,560,-15.0
1577403997.416113,565,19.0
1577404074.9094126,570,-17.0
1577404145.7184837,575,-19.0
1577404237.2054143,580,21.0
1577404329.693661,585,21.0
1577404439.7566268,590,19.0
1577404537.9500072,595,21.0
1577404641.0939126,600,16.0
1577404737.0297122,605,21.0
1577404831.9984994,610,20.0
1577404928.7598588,615,21.0
1577405022.2817442,620,7.0
1577405110.6390185,625,-20.0
1577405193.4821754,630,21.0
1577405286.6873536,635,21.0
1577405385.2007966,640,19.0
1577405501.1605248,645,6.0
1577405624.7651231,650,15.0
1577405771.0891256,655,20.0
1577405890.6094677,660,20.0
1577406008.329012,665,21.0
1577406135.1088202,670,17.0
1577406255.245931,675,20.0
1577406382.3950748,680,16.0
1577406514.838234,685,12.0
1577406649.160893,690,21.0
1577406765.4762657,695,21.0
1577406880.9369097,700,21.0
1577406995.7600167,705,21.0
1577407130.3433623,710,19.0
1577407254.5308769,715,21.0
1577407378.5226102,720,12.0
1577407500.5870256,725,21.0
1577407617.8787138,730,21.0
1577407745.6068819,735,19.0
1577407872.9908793,740,21.0
1577407992.8872497,745,16.0
1577408108.8927145,750,20.0
1577408220.068583,755,20.0
1577408328.9344106,760,20.0
1577408443.309825,765,20.0
1577408553.6120722,770,20.0
1577408667.7527075,775,19.0
1577408776.7051272,780,20.0
1577408892.7081027,785,19.0
1577409005.7080293,790,20.0
1577409113.5387828,795,19.0
1577409237.4623055,800,13.0
1577409354.3315346,805,20.0
1577409483.0728247,810,20.0
1577409598.5585952,815,20.0
1577409708.9439595,820,21.0
1577409826.572917,825,21.0
1577409942.590477,830,21.0
1577410062.381436,835,19.0
