Wall time,Step,Value
1576759946.2809205,0,1074.0
1576759950.89029,1,929.0
1576759954.4815335,2,749.0
1576759959.358753,3,1020.0
1576759963.1205125,4,777.0
1576759968.4340823,5,1088.0
1576759972.4770877,6,837.0
1576759976.705041,7,871.0
1576759980.9533813,8,872.0
1576759985.3672788,9,910.0
1576759989.6919124,10,874.0
1576759993.8831909,11,858.0
1576759997.5813842,12,749.0
1576760002.5896237,13,1021.0
1576760007.8768978,14,1091.0
1576760011.6426136,15,777.0
1576760016.105671,16,924.0
1576760020.9030254,17,991.0
1576760025.8169298,18,1011.0
1576760030.378852,19,934.0
1576760034.9524722,20,932.0
1576760039.2401083,21,869.0
1576760043.5938673,22,889.0
1576760048.64343,23,1027.0
1576760052.7346427,24,829.0
1576760056.822011,25,830.0
1576760061.5525813,26,967.0
1576760065.5006456,27,810.0
1576760069.9679565,28,915.0
1576760074.7844977,29,982.0
1576760079.0851705,30,873.0
1576760083.2027135,31,837.0
1576760087.1757197,32,809.0
1576760091.4404104,33,869.0
1576760096.3825922,34,1006.0
1576760101.3676956,35,1000.0
1576760105.4109602,36,811.0
1576760109.1522398,37,749.0
1576760113.5060012,38,871.0
1576760118.092943,39,920.0
1576760123.0155873,40,992.0
1576760127.317282,41,870.0
1576760131.3361974,42,811.0
1576760135.3375401,43,809.0
1576760140.1123827,44,968.0
1576760145.3692925,45,1071.0
1576760150.772617,46,1096.0
1576760155.105482,47,871.0
1576760159.5099504,48,887.0
1576760163.8750827,49,871.0
1576760168.129489,50,849.0
1576760172.4409797,51,856.0
1576760176.3533206,52,777.0
1576760180.7841716,53,887.0
1576760185.4203334,54,932.0
1576760190.338009,55,991.0
1576760194.3345554,56,809.0
1576760198.806573,57,902.0
1576760204.3901267,58,1129.0
1576760210.9223835,59,1314.0
1576760216.433134,60,1099.0
1576760220.785687,61,855.0
1576760225.4046762,62,906.0
1576760229.3526094,63,777.0
1576760233.5636122,64,828.0
1576760237.9540591,65,873.0
1576760243.7222118,66,1160.0
1576760248.4550245,67,950.0
1576760253.194153,68,952.0
1576760258.11057,69,985.0
1576760262.8312159,70,949.0
1576760269.3915954,71,1311.0
1576760275.070508,72,1118.0
1576760280.722702,73,1107.0
1576760286.040849,74,1043.0
1576760291.8484259,75,1154.0
1576760296.798276,76,988.0
1576760301.9297063,77,1024.0
1576760307.3670657,78,1089.0
1576760312.7272754,79,1068.0
1576760317.3130143,80,915.0
1576760322.1686494,81,957.0
1576760328.4113436,82,1230.0
1576760334.154842,83,1125.0
1576760339.142053,84,977.0
1576760345.5729556,85,1275.0
1576760352.2561984,86,1332.0
1576760357.3895304,87,1021.0
1576760363.9591506,88,1309.0
1576760369.187324,89,1039.0
1576760376.360562,90,1415.0
1576760384.0406733,91,1497.0
1576760388.3690941,92,837.0
1576760393.7308433,93,1049.0
1576760399.5136285,94,1142.0
1576760407.7996984,95,1641.0
1576760415.4211438,96,1503.0
1576760423.427701,97,1581.0
1576760432.6810489,98,1812.0
1576760439.7867873,99,1375.0
1576760449.8563995,100,1979.0
1576760459.04636,101,1807.0
1576760467.7002842,102,1707.0
1576760478.0629847,103,2043.0
1576760485.8264828,104,1501.0
1576760496.5750496,105,2085.0
1576760506.654058,106,1972.0
1576760513.542113,107,1350.0
1576760525.7012932,108,2395.0
1576760534.8953571,109,1787.0
1576760545.5355215,110,2070.0
1576760556.5725648,111,2152.0
1576760564.9465475,112,1638.0
1576760576.8450193,113,2344.0
1576760587.0687582,114,1996.0
1576760598.467603,115,2225.0
1576760607.2270136,116,1699.0
1576760618.8557248,117,2273.0
1576760630.4994645,118,2283.0
1576760642.739171,119,2385.0
1576760653.0921588,120,2006.0
1576760666.7642102,121,2651.0
1576760677.3692575,122,2068.0
1576760690.6165807,123,2583.0
1576760704.4833477,124,2694.0
1576760717.0382338,125,2412.0
1576760727.3225718,126,1987.0
1576760735.1891785,127,1522.0
1576760749.0579553,128,2705.0
1576760763.2867773,129,2760.0
1576760778.9994802,130,3038.0
1576760797.0193465,131,3501.0
1576760814.7535677,132,3425.0
1576760829.0481324,133,2752.0
1576760843.2151082,134,2747.0
1576760859.5580714,135,3184.0
1576760875.2237558,136,3022.0
1576760890.744797,137,2996.0
1576760906.6883376,138,3088.0
1576760920.5931597,139,2695.0
1576760936.3392937,140,3033.0
1576760954.8101053,141,3580.0
1576760972.897524,142,3511.0
1576760990.342307,143,3346.0
1576761003.4213026,144,2510.0
1576761021.1096714,145,3440.0
1576761042.2128086,146,4066.0
1576761059.6822305,147,3357.0
1576761077.9097302,148,3540.0
1576761095.9764147,149,3465.0
