Wall time,Step,Value
1576759948.5931668,0,887.0
1576759953.631507,1,749.0
1576759960.9138253,2,1066.0
1576759966.671075,3,829.0
1576759972.3098283,4,809.0
1576759977.7010882,5,777.0
1576759984.1236985,6,922.0
1576759991.532188,7,1055.0
1576759998.2269516,8,931.0
1576760003.6226768,9,749.0
1576760009.3808732,10,809.0
1576760015.5042663,11,855.0
1576760020.9541793,12,777.0
1576760027.2824967,13,897.0
1576760033.9487143,14,947.0
1576760040.7344923,15,951.0
1576760047.227103,16,905.0
1576760053.049869,17,809.0
1576760060.0794652,18,977.0
1576760066.6174753,19,904.0
1576760072.949081,20,871.0
1576760079.243288,21,871.0
1576760085.905019,22,925.0
1576760092.4607353,23,919.0
1576760100.5704293,24,1132.0
1576760108.5008748,25,1096.0
1576760114.1356106,26,777.0
1576760121.565991,27,1035.0
1576760128.9442103,28,1019.0
1576760135.3077023,29,872.0
1576760141.5406604,30,856.0
1576760146.9815025,31,749.0
1576760152.8993306,32,809.0
1576760159.0230248,33,839.0
1576760166.715625,34,1063.0
1576760172.6244595,35,811.0
1576760179.5947704,36,965.0
1576760186.6813548,37,983.0
1576760192.9125915,38,864.0
1576760198.336934,39,749.0
1576760204.2432435,40,809.0
1576760211.3386357,41,965.0
1576760217.012254,42,768.0
1576760225.2233746,43,1114.0
1576760231.5525274,44,857.0
1576760240.8582017,45,1280.0
1576760247.100369,46,853.0
1576760255.877272,47,1208.0
1576760262.337727,48,888.0
1576760268.6983063,49,872.0
1576760274.924532,50,844.0
1576760281.8086236,51,928.0
1576760289.6487312,52,1037.0
1576760295.2604647,53,749.0
1576760304.9084456,54,1308.0
1576760312.1893575,55,994.0
1576760318.7925894,56,901.0
1576760325.182665,57,869.0
1576760331.1801946,58,809.0
1576760337.3705204,59,837.0
1576760344.234021,60,929.0
1576760349.7865863,61,749.0
1576760356.952055,62,959.0
1576760363.5710478,63,888.0
1576760370.02125,64,871.0
1576760376.4056997,65,856.0
1576760383.6014776,66,977.0
1576760390.2879848,67,901.0
1576760396.990499,68,897.0
1576760403.0291634,69,809.0
1576760411.4949899,70,1142.0
1576760418.7336552,71,975.0
1576760427.3387966,72,1162.0
1576760435.5405612,73,1099.0
1576760444.684336,74,1221.0
1576760451.9328084,75,963.0
1576760462.9493327,76,1481.0
1576760469.9079607,77,931.0
1576760478.6658754,78,1185.0
1576760485.8934464,79,978.0
1576760493.819156,80,1072.0
1576760502.5950782,81,1179.0
1576760511.5919883,82,1193.0
1576760522.1812692,83,1405.0
1576760528.4247692,84,827.0
1576760535.826943,85,994.0
1576760546.7107708,86,1476.0
1576760553.9988887,87,983.0
1576760563.5594504,88,1280.0
1576760572.4593542,89,1182.0
1576760579.996762,90,991.0
1576760587.3111289,91,961.0
1576760596.1147518,92,1170.0
1576760602.7596374,93,883.0
1576760609.490197,94,904.0
1576760620.446526,95,1471.0
1576760628.687562,96,1098.0
1576760638.622047,97,1318.0
1576760646.5155594,98,1052.0
1576760654.2154813,99,1017.0
1576760661.8766308,100,1012.0
1576760671.5290253,101,1284.0
1576760678.8367898,102,969.0
1576760687.6498444,103,1168.0
1576760697.617967,104,1321.0
1576760707.1248753,105,1268.0
1576760715.897054,106,1169.0
1576760723.813806,107,1063.0
1576760736.039659,108,1621.0
1576760746.4323123,109,1364.0
1576760757.3424802,110,1435.0
1576760769.3442156,111,1596.0
1576760780.063549,112,1431.0
1576760793.9243047,113,1852.0
1576760804.3327653,114,1366.0
1576760815.5889387,115,1473.0
1576760826.7006605,116,1459.0
1576760838.236266,117,1537.0
1576760849.1490874,118,1445.0
1576760859.5035524,119,1369.0
1576760873.2352245,120,1815.0
1576760885.572517,121,1622.0
1576760899.1446335,122,1785.0
1576760913.3254054,123,1879.0
1576760923.5469673,124,1337.0
1576760938.4204273,125,1973.0
1576760953.9283261,126,2050.0
1576760965.7672305,127,1540.0
1576760981.6546855,128,2086.0
1576760994.6758072,129,1718.0
1576761012.9905536,130,2426.0
1576761028.8541486,131,2083.0
1576761045.8457134,132,2216.0
1576761061.4762392,133,2053.0
1576761079.8185434,134,2406.0
1576761098.1632047,135,2427.0
1576761120.802703,136,2972.0
1576761139.9790714,137,2502.0
1576761159.4631894,138,2574.0
1576761179.5901754,139,2646.0
1576761193.940329,140,1853.0
1576761209.0431933,141,1969.0
1576761225.145512,142,2120.0
1576761248.1335282,143,3013.0
1576761269.6732626,144,2811.0
1576761285.5440886,145,2062.0
1576761304.3794177,146,2466.0
1576761324.885577,147,2698.0
1576761346.910689,148,2875.0
1576761369.0071797,149,2868.0
1576761398.392921,150,3890.0
1576761425.2604656,151,3493.0
1576761454.8744757,152,3889.0
1576761470.3802097,153,2017.0
1576761499.4085543,154,3795.0
1576761522.1544223,155,2966.0
1576761548.199754,156,3398.0
1576761567.0390162,157,2458.0
1576761585.0369031,158,2330.0
1576761608.2976623,159,3033.0
1576761631.6694934,160,3078.0
1576761655.4850302,161,3090.0
1576761679.3935075,162,3118.0
1576761702.4848874,163,3019.0
1576761727.7424266,164,3287.0
1576761752.3885322,165,3212.0
1576761778.3238487,166,3377.0
1576761807.3528569,167,3793.0
1576761826.543124,168,2476.0
1576761845.2702138,169,2440.0
1576761862.0814476,170,2195.0
1576761884.993381,171,2974.0
