Wall time,Step,Value
1576759946.2807472,0,-18.0
1576759950.8900316,1,-21.0
1576759954.4813893,2,-21.0
1576759959.3586125,3,-21.0
1576759963.1203685,4,-21.0
1576759968.4338331,5,-20.0
1576759972.4769275,6,-21.0
1576759976.7048922,7,-21.0
1576759980.9532337,8,-20.0
1576759985.3671381,9,-21.0
1576759989.6917527,10,-20.0
1576759993.883047,11,-21.0
1576759997.5812414,12,-21.0
1576760002.589375,13,-20.0
1576760007.8767323,14,-19.0
1576760011.6424685,15,-21.0
1576760016.105522,16,-20.0
1576760020.9028745,17,-21.0
1576760025.8167794,18,-19.0
1576760030.3786905,19,-20.0
1576760034.9523308,20,-20.0
1576760039.2399628,21,-21.0
1576760043.593719,22,-21.0
1576760048.6432858,23,-20.0
1576760052.734501,24,-20.0
1576760056.8218024,25,-21.0
1576760061.552396,26,-20.0
1576760065.5004866,27,-21.0
1576760069.9678073,28,-20.0
1576760074.7843463,29,-19.0
1576760079.085028,30,-20.0
1576760083.2025716,31,-21.0
1576760087.1755774,32,-21.0
1576760091.440268,33,-21.0
1576760096.3824487,34,-21.0
1576760101.367555,35,-19.0
1576760105.4108088,36,-21.0
1576760109.152098,37,-21.0
1576760113.5058553,38,-21.0
1576760118.092699,39,-21.0
1576760123.0154293,40,-21.0
1576760127.3171372,41,-21.0
1576760131.3360493,42,-21.0
1576760135.3373957,43,-21.0
1576760140.112237,44,-20.0
1576760145.3691506,45,-19.0
1576760150.7724698,46,-21.0
1576760155.1053383,47,-21.0
1576760159.5098028,48,-20.0
1576760163.8749404,49,-21.0
1576760168.129347,50,-21.0
1576760172.4408305,51,-21.0
1576760176.353112,52,-21.0
1576760180.7840216,53,-20.0
1576760185.420176,54,-20.0
1576760190.337864,55,-21.0
1576760194.3344123,56,-21.0
1576760198.8064313,57,-20.0
1576760204.3899698,58,-20.0
1576760210.922241,59,-17.0
1576760216.4329848,60,-20.0
1576760220.7855444,61,-20.0
1576760225.4045343,62,-20.0
1576760229.3524659,63,-21.0
1576760233.5633724,64,-21.0
1576760237.9538968,65,-21.0
1576760243.7220702,66,-19.0
1576760248.4548805,67,-21.0
1576760253.194006,68,-21.0
1576760258.110427,69,-21.0
1576760262.8310728,70,-20.0
1576760269.3914495,71,-19.0
1576760275.0703638,72,-19.0
1576760280.7225568,73,-20.0
1576760286.0406992,74,-21.0
1576760291.8481853,75,-20.0
1576760296.7981355,76,-20.0
1576760301.9295592,77,-21.0
1576760307.366923,78,-20.0
1576760312.7271307,79,-20.0
1576760317.3128707,80,-20.0
1576760322.1685069,81,-21.0
1576760328.4112003,82,-19.0
1576760334.1546938,83,-21.0
1576760339.1419113,84,-21.0
1576760345.5726979,85,-20.0
1576760352.2560537,86,-19.0
1576760357.389387,87,-21.0
1576760363.9590063,88,-20.0
1576760369.187181,89,-20.0
1576760376.3604207,90,-20.0
1576760384.0405307,91,-18.0
1576760388.3689523,92,-21.0
1576760393.730695,93,-21.0
1576760399.5133832,94,-20.0
1576760407.7995517,95,-17.0
1576760415.4209964,96,-21.0
1576760423.4275575,97,-20.0
1576760432.680906,98,-19.0
1576760439.786645,99,-20.0
1576760449.8561652,100,-15.0
1576760459.0462031,101,-18.0
1576760467.7001405,102,-20.0
1576760478.062835,103,-19.0
1576760485.8263369,104,-21.0
1576760496.5749066,105,-15.0
1576760506.653818,106,-20.0
1576760513.5419502,107,-20.0
1576760525.701145,108,-15.0
1576760534.8952115,109,-18.0
1576760545.5353727,110,-18.0
1576760556.5724213,111,-18.0
1576760564.9462924,112,-20.0
1576760576.844875,113,-14.0
1576760587.0686147,114,-18.0
1576760598.4674582,115,-17.0
1576760607.2268686,116,-18.0
1576760618.8554778,117,-16.0
1576760630.4993215,118,-19.0
1576760642.739022,119,-16.0
1576760653.0920162,120,-19.0
1576760666.763974,121,-18.0
1576760677.3690915,122,-17.0
1576760690.6164384,123,-13.0
1576760704.483204,124,-15.0
1576760717.0380871,125,-16.0
1576760727.3223264,126,-20.0
1576760735.189029,127,-21.0
1576760749.057805,128,-19.0
1576760763.286626,129,-19.0
1576760778.999262,130,-15.0
1576760797.019202,131,-14.0
1576760814.7534232,132,-17.0
1576760829.047894,133,-15.0
1576760843.2149487,134,-16.0
1576760859.557929,135,-15.0
1576760875.2236097,136,-19.0
1576760890.7445478,137,-17.0
1576760906.688194,138,-15.0
1576760920.5930142,139,-16.0
1576760936.3390598,140,-19.0
1576760954.8099468,141,-15.0
1576760972.8973813,142,-14.0
1576760990.3420706,143,-13.0
1576761003.4211354,144,-16.0
1576761021.1095262,145,-18.0
1576761042.2126687,146,-13.0
1576761059.6819897,147,-13.0
1576761077.909585,148,-12.0
1576761095.9762714,149,-15.0
1576761112.5936418,150,-16.0
1576761136.4072866,151,-9.0
1576761151.951375,152,-17.0
1576761176.3169198,153,-11.0
1576761195.7215204,154,-15.0
1576761219.3052893,155,-12.0
1576761240.7050612,156,-12.0
1576761262.114804,157,-10.0
1576761275.2506175,158,-18.0
1576761294.1583576,159,-8.0
1576761309.5839424,160,-14.0
1576761329.2733572,161,-12.0
1576761343.8375263,162,-16.0
1576761362.4209154,163,-11.0
1576761377.3309643,164,-16.0
1576761398.9994037,165,-9.0
1576761418.004511,166,-12.0
1576761433.9166882,167,-16.0
1576761462.6185148,168,-7.0
1576761478.31083,169,-16.0
1576761494.611315,170,-15.0
1576761516.9635258,171,-12.0
1576761532.1384826,172,-15.0
1576761549.016048,173,-11.0
1576761572.602088,174,-6.0
1576761590.138722,175,-14.0
1576761613.2537177,176,-11.0
1576761631.7786922,177,-11.0
1576761647.6769147,178,-14.0
1576761663.554139,179,-17.0
1576761683.183386,180,-12.0
1576761703.9812956,181,-11.0
1576761722.4767377,182,-10.0
1576761738.5722501,183,-14.0
1576761754.2283118,184,-14.0
1576761774.3572254,185,-16.0
1576761797.6283836,186,-15.0
1576761815.0033982,187,-17.0
1576761835.4155967,188,-15.0
1576761856.788512,189,-17.0
1576761880.68125,190,-14.0
1576761908.4049916,191,-13.0
1576761935.0132723,192,-15.0
1576761968.3888752,193,-8.0
1576761996.9300003,194,-14.0
1576762020.0393336,195,-19.0
1576762045.8553412,196,-14.0
1576762075.9999592,197,-16.0
1576762105.3849792,198,-15.0
1576762138.744136,199,-14.0
1576762174.3970191,200,-4.0
1576762194.5831323,201,-19.0
1576762226.123445,202,-13.0
1576762257.9288955,203,-13.0
1576762276.7014456,204,-19.0
1576762300.5152502,205,-17.0
1576762326.0953293,206,-14.0
1576762362.9337058,207,-11.0
1576762381.376502,208,-16.0
1576762401.7896945,209,-18.0
1576762431.0308166,210,-13.0
1576762460.9026778,211,-14.0
1576762504.0006773,212,-5.0
1576762537.6386678,213,-11.0
1576762565.5994637,214,-16.0
1576762593.6978114,215,-14.0
1576762625.710304,216,-10.0
1576762647.3098981,217,-19.0
1576762686.7345586,218,-6.0
1576762717.269219,219,-12.0
1576762763.4614804,220,-13.0
1576762808.9222171,221,-12.0
1576762848.7809029,222,-13.0
1576762895.5774126,223,-9.0
1576762926.0948715,224,-16.0
1576762969.926382,225,-7.0
1576763013.3499722,226,-9.0
1576763054.2516546,227,-10.0
1576763084.2268422,228,-13.0
1576763129.3699293,229,-8.0
1576763156.5026295,230,-14.0
1576763201.9775946,231,-5.0
1576763259.8453925,232,-9.0
1576763296.945153,233,-16.0
1576763333.0732496,234,-13.0
1576763380.4795346,235,-2.0
1576763426.8353627,236,-9.0
1576763465.8582876,237,6.0
1576763503.970334,238,-4.0
1576763545.7217886,239,3.0
1576763580.658178,240,-10.0
1576763628.058746,241,-5.0
1576763661.2842078,242,-3.0
1576763693.6227956,243,-5.0
1576763730.2312841,244,-6.0
1576763766.504597,245,2.0
1576763803.0923529,246,-4.0
1576763840.713228,247,-2.0
1576763866.353783,248,-5.0
1576763898.579353,249,-1.0
1576763930.3668194,250,2.0
1576763959.449608,251,12.0
1576763990.0213256,252,3.0
1576764023.5525537,253,8.0
1576764048.9900913,254,9.0
1576764071.4648845,255,14.0
1576764100.4904885,256,2.0
1576764123.5874088,257,14.0
1576764145.9739811,258,18.0
1576764170.9624398,259,15.0
1576764207.6372273,260,1.0
1576764243.9540648,261,-6.0
1576764269.0273721,262,13.0
1576764298.840016,263,14.0
1576764321.2609034,264,12.0
1576764345.3800955,265,14.0
1576764376.1450763,266,8.0
1576764405.7735784,267,4.0
1576764429.6228747,268,7.0
1576764444.1696508,269,20.0
1576764462.957104,270,17.0
1576764483.8096447,271,10.0
1576764512.477716,272,-3.0
1576764540.6028478,273,8.0
1576764571.4427328,274,4.0
1576764590.8304753,275,18.0
1576764612.234623,276,17.0
1576764635.3253868,277,16.0
1576764656.1328113,278,17.0
1576764680.989031,279,14.0
1576764705.766201,280,13.0
1576764734.8499832,281,5.0
1576764758.3551967,282,12.0
1576764781.2846107,283,13.0
1576764814.9941287,284,7.0
1576764835.3109922,285,12.0
1576764863.3198626,286,3.0
1576764887.8315048,287,15.0
1576764909.912881,288,14.0
1576764928.2924657,289,12.0
1576764944.5841165,290,19.0
1576764967.251049,291,14.0
1576764999.946006,292,4.0
1576765029.6031632,293,9.0
1576765055.4452162,294,7.0
1576765089.7117028,295,-2.0
1576765121.7505963,296,8.0
1576765144.061829,297,12.0
1576765168.3793945,298,14.0
1576765188.4805737,299,17.0
1576765208.8164086,300,10.0
1576765228.4111757,301,14.0
1576765249.936036,302,13.0
1576765265.122323,303,17.0
1576765280.2783282,304,17.0
1576765302.5523365,305,9.0
1576765332.4649255,306,5.0
1576765365.8863142,307,4.0
1576765397.3914568,308,2.0
1576765416.4986935,309,14.0
1576765446.7091992,310,-4.0
1576765481.8174758,311,5.0
1576765510.1393015,312,7.0
1576765544.21558,313,4.0
1576765566.7595236,314,9.0
1576765591.108612,315,12.0
1576765616.6785054,316,7.0
1576765655.7088115,317,-1.0
1576765680.8105266,318,14.0
1576765710.0170143,319,10.0
1576765732.0889077,320,12.0
1576765749.6624563,321,17.0
1576765772.7324219,322,11.0
1576765794.1920807,323,11.0
1576765818.3741198,324,9.0
1576765844.7643414,325,7.0
1576765878.7874334,326,2.0
1576765917.466745,327,4.0
1576765942.399705,328,14.0
1576765972.515246,329,2.0
1576766000.9922822,330,7.0
