Wall time,Step,Value
1577364228.33853,0,-21.0
1577364244.295232,5,-20.0
1577364266.2203252,10,-21.0
1577364280.403246,15,-21.0
1577364296.4392278,20,-21.0
1577364318.7955534,25,-20.0
1577364333.0608773,30,-20.0
1577364354.5579982,35,-21.0
1577364370.8030064,40,-19.0
1577364395.2078314,45,-21.0
1577364411.4192345,50,-21.0
1577364433.7841418,55,-21.0
1577364450.1832325,60,-21.0
1577364466.13617,65,-20.0
1577364488.6810763,70,-20.0
1577364505.8315387,75,-21.0
1577364532.6756709,80,-20.0
1577364560.3867316,85,-19.0
1577364580.1176815,90,-21.0
1577364607.3381636,95,-21.0
1577364632.3668783,100,-20.0
1577364667.1385539,105,-15.0
1577364719.8994749,110,-14.0
1577364768.1915305,115,-18.0
1577364823.2904358,120,-21.0
1577364916.1546323,125,-17.0
1577364999.6803231,130,-18.0
1577365105.5331779,135,-17.0
1577365161.7784243,140,-20.0
1577365269.3990996,145,-17.0
1577365361.0057914,150,-14.0
1577365491.6199915,155,-8.0
1577365595.9453678,160,-18.0
1577365713.4420595,165,-11.0
1577365841.9947734,170,-16.0
1577365983.990859,175,-10.0
1577366135.43661,180,5.0
1577366298.4256861,185,-1.0
1577366436.9888558,190,1.0
1577366595.4386308,195,2.0
1577366697.1329405,200,20.0
1577366751.3375442,205,-10.0
1577366818.6195502,210,14.0
1577366986.6911945,215,18.0
1577367042.8980415,220,20.0
1577367121.380123,225,5.0
1577367177.4594154,230,13.0
1577367242.991673,235,12.0
1577367297.539265,240,18.0
1577367349.3947766,245,18.0
1577367410.2397883,250,19.0
1577367472.6805544,255,17.0
1577367525.5727699,260,18.0
1577367582.5849597,265,14.0
1577367636.7172847,270,19.0
1577367713.100661,275,12.0
1577367788.344543,280,20.0
1577367840.0642967,285,20.0
1577367899.0355499,290,20.0
1577367946.6533551,295,20.0
1577367979.2511241,300,20.0
1577368029.704356,305,20.0
1577368078.5798426,310,21.0
1577368124.453252,315,20.0
1577368171.7768981,320,21.0
1577368216.523335,325,15.0
1577368262.7175841,330,17.0
1577368310.1265793,335,21.0
1577368355.2632601,340,20.0
1577368398.680789,345,20.0
1577368427.907162,350,20.0
1577368472.738464,355,20.0
1577368534.4052951,360,19.0
1577368578.7713263,365,18.0
1577368624.672692,370,20.0
1577368681.1787636,375,21.0
1577368755.9098732,380,20.0
1577368798.637425,385,20.0
1577368844.5285907,390,21.0
1577368900.4065423,395,14.0
1577368944.4808564,400,19.0
1577368975.6865914,405,21.0
1577369022.851162,410,10.0
1577369068.8294485,415,21.0
1577369114.4634984,420,19.0
1577369157.6687431,425,21.0
1577369204.2166817,430,20.0
1577369265.1521409,435,20.0
1577369309.168915,440,21.0
1577369355.760589,445,20.0
1577369402.4596758,450,20.0
1577369447.1255183,455,20.0
1577369494.4133015,460,19.0
1577369522.764852,465,21.0
1577369569.1604664,470,20.0
1577369619.8041797,475,19.0
1577369668.41168,480,19.0
1577369713.7061765,485,21.0
1577369760.0667348,490,19.0
1577369806.2347689,495,19.0
1577369851.770242,500,21.0
1577369899.7670326,505,19.0
1577369947.0061805,510,20.0
1577369997.9015105,515,20.0
1577370039.2760963,520,20.0
1577370083.1025133,525,21.0
1577370129.7515917,530,19.0
1577370175.8387454,535,21.0
1577370211.4518743,540,20.0
1577370259.485135,545,20.0
1577370289.2164326,550,20.0
1577370334.4699497,555,20.0
1577370380.46159,560,21.0
1577370425.652415,565,21.0
1577370472.7997994,570,20.0
1577370518.6533344,575,21.0
1577370580.1725533,580,19.0
1577370623.4866514,585,21.0
1577370667.3263004,590,21.0
1577370710.880381,595,21.0
1577370739.035773,600,21.0
1577370775.3168314,605,20.0
1577370819.3874779,610,21.0
1577370863.8239799,615,21.0
1577370908.8027015,620,21.0
1577370950.611507,625,21.0
1577370992.4416718,630,21.0
1577371036.8257873,635,20.0
1577371068.3119001,640,19.0
1577371130.9084759,645,19.0
1577371159.3024192,650,21.0
1577371204.532497,655,20.0
1577371247.0861814,660,16.0
1577371294.146333,665,18.0
1577371337.1144557,670,21.0
1577371384.2257833,675,16.0
1577371427.2165406,680,21.0
1577371470.630062,685,19.0
1577371498.993935,690,21.0
1577371540.7539115,695,21.0
1577371584.8320296,700,20.0
1577371627.8186908,705,21.0
1577371669.8718045,710,21.0
1577371714.3371444,715,10.0
1577371759.966742,720,19.0
1577371803.4534261,725,20.0
1577371832.669512,730,21.0
1577371875.4024527,735,21.0
1577371918.7404718,740,20.0
1577371966.412541,745,20.0
1577372011.6556888,750,20.0
1577372057.5893152,755,19.0
1577372105.033093,760,19.0
1577372150.3038242,765,21.0
1577372195.575465,770,21.0
1577372239.3536005,775,20.0
1577372268.917848,780,20.0
1577372313.4203072,785,20.0
1577372357.9441671,790,14.0
1577372402.6995573,795,21.0
1577372447.7739813,800,20.0
1577372489.5668173,805,20.0
1577372531.9371965,810,20.0
1577372575.5713713,815,21.0
1577372620.4850523,820,19.0
1577372651.8724413,825,19.0
1577372693.4246132,830,21.0
1577372729.9962692,835,21.0
1577372775.4402552,840,19.0
1577372821.6059518,845,20.0
1577372864.646481,850,20.0
1577372909.0159907,855,21.0
1577372953.769472,860,18.0
1577372982.2427893,865,20.0
1577373028.9052742,870,18.0
1577373081.476462,875,15.0
1577373127.8457344,880,8.0
1577373171.223328,885,19.0
1577373221.2499502,890,20.0
1577373263.225049,895,21.0
1577373305.8834379,900,21.0
1577373350.5870922,905,19.0
1577373394.9389246,910,15.0
1577373439.8473313,915,19.0
1577373486.9101448,920,19.0
1577373536.8512914,925,16.0
1577373586.8293083,930,21.0
1577373617.9839432,935,20.0
1577373665.1561122,940,18.0
1577373713.863568,945,16.0
1577373760.0172317,950,21.0
1577373807.327178,955,20.0
1577373857.4361598,960,20.0
1577373904.252829,965,21.0
1577373949.7229502,970,21.0
1577373979.8335617,975,20.0
1577374025.9927895,980,21.0
1577374071.8276074,985,21.0
1577374119.7116647,990,20.0
1577374168.3965187,995,19.0
1577374217.279298,1000,20.0
1577374263.7824743,1005,21.0
1577374295.3414772,1010,20.0
1577374342.4105787,1015,18.0
1577374389.5749004,1020,19.0
1577374433.0816064,1025,20.0
1577374479.216002,1030,19.0
1577374527.378723,1035,19.0
1577374576.1486824,1040,18.0
1577374607.5327468,1045,20.0
1577374664.7227206,1050,20.0
