Wall time,Step,Value
1577364250.1114936,0,-20.0
1577364350.2297723,5,-20.0
1577364452.285563,10,-21.0
1577364550.6329982,15,-19.0
1577364641.8970156,20,-21.0
1577364754.5133946,25,-21.0
1577364847.4271934,30,-21.0
1577364949.0105693,35,-20.0
1577365046.3000863,40,-21.0
1577365157.8356755,45,-20.0
1577365257.4997334,50,-21.0
1577365366.853746,55,-21.0
1577365462.3022037,60,-19.0
1577365570.6523771,65,-20.0
1577365661.1369255,70,-21.0
1577365768.362877,75,-18.0
1577365876.7039156,80,-19.0
1577365997.7473204,85,-16.0
1577366110.9826198,90,-18.0
1577366256.8214393,95,-20.0
1577366371.1244657,100,-21.0
1577366530.2217627,105,-17.0
1577366695.8964708,110,-18.0
1577366870.7790103,115,-19.0
1577367062.3070643,120,-15.0
1577367397.343908,125,-15.0
1577367721.5347807,130,-17.0
1577368078.290628,135,-18.0
1577368525.2189083,140,-19.0
1577369049.954858,145,-18.0
1577369501.758042,150,-14.0
1577370168.4600859,155,15.0
1577370631.9711714,160,-5.0
1577371177.0015757,165,2.0
1577371619.3696508,170,-8.0
1577372117.8553746,175,-17.0
1577372626.3769422,180,-4.0
1577373347.755453,185,-13.0
1577373972.732005,190,-3.0
1577374354.692321,195,-18.0
1577374652.849868,200,14.0
1577375099.6568506,205,-9.0
1577375606.210968,210,11.0
1577376224.3507094,215,14.0
1577376507.5530736,220,17.0
1577376772.3422644,225,19.0
1577377202.316179,230,14.0
1577377516.3880424,235,15.0
1577377805.2233224,240,19.0
1577378071.8074071,245,13.0
1577378358.4065404,250,19.0
1577378540.0295227,255,21.0
1577378778.4917572,260,21.0
1577379062.188376,265,9.0
1577379312.4369903,270,15.0
1577379554.3023891,275,19.0
1577379794.543854,280,21.0
1577380016.391957,285,16.0
1577380252.9565268,290,21.0
1577380468.024927,295,20.0
1577380680.0204167,300,19.0
1577380856.1623442,305,20.0
1577381064.039008,310,19.0
1577381271.5432212,315,19.0
1577381515.5079978,320,18.0
1577381756.0520217,325,21.0
1577381986.8328273,330,19.0
1577382203.0712671,335,19.0
1577382413.9818647,340,21.0
1577382622.260366,345,20.0
1577382839.4184783,350,21.0
1577383054.0913417,355,12.0
1577383286.4836705,360,21.0
1577383480.657266,365,-21.0
1577383691.0872843,370,-18.0
1577383902.8152878,375,19.0
1577384376.0289557,380,12.0
1577384595.0467331,385,19.0
1577384780.9804802,390,21.0
1577384973.9669213,395,20.0
1577385181.967015,400,19.0
1577385447.7149813,405,14.0
1577385750.3897078,410,16.0
1577386036.363347,415,5.0
1577386243.452133,420,20.0
1577386473.62694,425,19.0
1577386654.1701806,430,17.0
1577386857.7558765,435,21.0
1577387056.4496036,440,21.0
1577387261.4528854,445,19.0
1577387466.3663144,450,21.0
1577387701.9861097,455,11.0
1577387900.9699876,460,18.0
1577388140.282903,465,18.0
1577388362.1096349,470,20.0
