Wall time,Step,Value
1577000481.9851537,0,1295.0
1577000509.2980175,5,1248.0
1577000548.089688,10,1007.0
1577000576.9370434,15,1046.0
1577000614.1197095,20,1084.0
1577000655.9864612,25,1309.0
1577000685.241415,30,1284.0
1577000722.4234965,35,1068.0
1577000761.7208002,40,1381.0
1577000789.6801593,45,998.0
1577000830.3849483,50,1313.0
1577000858.1934495,55,1303.0
1577000900.3605874,60,1137.0
1577000938.1663332,65,1045.0
1577000968.1005151,70,1331.0
1577001010.7272885,75,1458.0
1577001036.6342297,80,1242.0
1577001070.6371899,85,974.0
1577001105.1756608,90,1102.0
1577001129.2040958,95,1425.0
1577001165.4000988,100,1316.0
1577001201.4410033,105,1267.0
1577001223.9971972,110,1361.0
1577001259.8457518,115,1360.0
1577001282.6089654,120,1284.0
1577001316.541614,125,1151.0
1577001351.6191382,130,1272.0
1577001375.2994866,135,1429.0
1577001419.7166717,140,1171.0
1577001457.2925735,145,1552.0
1577001479.9522471,150,1191.0
1577001530.3782394,155,1427.0
1577001581.9047234,160,1463.0
1577001610.1828177,165,1328.0
1577001653.0907254,170,1289.0
1577001696.2050796,175,1943.0
1577001720.7594547,180,1225.0
1577001770.989625,185,1573.0
1577001811.2818465,190,1614.0
1577001856.9168983,195,1521.0
1577001883.5154285,200,1312.0
1577001930.7101538,205,1375.0
1577001983.5962067,210,1808.0
1577002013.329462,215,1349.0
1577002064.829101,220,1552.0
1577002118.7911718,225,1534.0
1577002177.0754313,230,1841.0
1577002230.9443693,235,1414.0
1577002257.6023455,240,1543.0
1577002312.6552813,245,1408.0
1577002367.370474,250,1831.0
1577002424.9247675,255,1380.0
1577002453.8680246,260,1011.0
1577002509.5273845,265,1691.0
1577002569.218899,270,1800.0
1577002616.7758932,275,1474.0
1577002663.6023564,280,1623.0
1577002695.4023194,285,1883.0
1577002754.3383522,290,1854.0
1577002810.7272859,295,1567.0
1577002865.9956133,300,1989.0
1577002906.6528676,305,1847.0
1577002967.961156,310,1884.0
1577002999.8525622,315,1579.0
1577003058.2698848,320,1436.0
1577003123.8190928,325,1680.0
1577003177.9233813,330,1582.0
1577003244.424962,335,1939.0
1577003319.731983,340,2554.0
1577003385.225727,345,1772.0
1577003454.121173,350,1873.0
1577003526.642378,355,1743.0
1577003558.6521404,360,1509.0
1577003625.1939933,365,1872.0
1577003682.5558333,370,1939.0
1577003747.6443002,375,1596.0
1577003819.7260306,380,1773.0
1577003901.2069252,385,2279.0
1577003976.7479568,390,1688.0
1577004045.068207,395,1771.0
1577004112.5212042,400,1950.0
1577004187.4278886,405,2122.0
1577004256.6378324,410,2166.0
1577004328.194715,415,1806.0
1577004393.8969193,420,1904.0
1577004465.433495,425,1997.0
1577004539.871785,430,2845.0
1577004630.3276901,435,2521.0
1577004712.2515578,440,1906.0
1577004791.5831792,445,1828.0
1577004863.5944326,450,1956.0
1577004940.2256622,455,1949.0
1577005016.8117146,460,2283.0
1577005093.516817,465,2297.0
1577005205.3200834,470,2291.0
1577005272.2454433,475,1773.0
1577005351.6902173,480,2358.0
1577005428.0181108,485,1673.0
1577005504.4983478,490,2320.0
1577005580.5175488,495,1708.0
1577005660.522287,500,2371.0
1577005743.2928052,505,1965.0
1577005814.9122624,510,2741.0
1577005897.9868643,515,2590.0
1577006030.2010517,520,2417.0
1577006122.6022,525,2303.0
1577006202.8224502,530,2092.0
1577006278.0688264,535,2291.0
1577006398.8835738,540,2455.0
1577006487.5043292,545,3069.0
1577006578.987527,550,2347.0
1577006639.4811814,555,1965.0
1577006750.1498165,560,2074.0
1577006836.9520986,565,2374.0
1577006928.3548594,570,2066.0
1577006998.7109106,575,1856.0
1577007079.674565,580,2660.0
1577007205.8169525,585,2403.0
1577007301.2125366,590,3143.0
1577007375.6783648,595,2530.0
1577007446.7154706,600,2706.0
1577007515.9354672,605,1749.0
1577007637.1765616,610,2895.0
1577007712.4895785,615,1877.0
1577007794.317886,620,2435.0
1577007877.184107,625,2642.0
1577007958.9111266,630,2940.0
1577008055.8387039,635,2119.0
1577008146.382191,640,2066.0
1577008221.3482144,645,2355.0
1577008292.0956237,650,3131.0
1577008406.6573493,655,3305.0
1577008494.1998608,660,2448.0
1577008584.5151742,665,2731.0
1577008725.748647,670,3193.0
1577008806.6936908,675,2181.0
1577008905.7150793,680,2541.0
1577009024.1594837,685,2845.0
1577009110.531442,690,2385.0
1577009202.6729205,695,2350.0
1577009334.0640604,700,2325.0
1577009409.8963592,705,2627.0
1577009491.2218726,710,2095.0
1577009622.16485,715,2626.0
1577009710.5608656,720,2418.0
1577009799.521954,725,2235.0
1577009929.8948607,730,3225.0
1577010050.4331589,735,2515.0
1577010120.9179714,740,2090.0
1577010239.54049,745,1662.0
1577010326.1173792,750,2840.0
1577010411.8397717,755,3304.0
1577010516.8276258,760,2504.0
1577010607.4771166,765,2601.0
1577010690.0600924,770,2108.0
1577010814.2641435,775,2008.0
1577010907.235326,780,2507.0
1577011001.3986616,785,2955.0
1577011127.5484943,790,2388.0
1577011211.2500043,795,2458.0
1577011324.5521662,800,2544.0
1577011409.8890054,805,2063.0
1577011496.2161012,810,3384.0
1577011615.8667822,815,3628.0
1577011708.3456168,820,3301.0
1577011825.035607,825,3128.0
1577011907.9032853,830,2174.0
1577011995.03891,835,2807.0
1577012087.5125322,840,2564.0
1577012225.9205294,845,3592.0
1577012307.2209327,850,1924.0
1577012440.1270745,855,2561.0
1577012507.7049165,860,3051.0
1577012643.551852,865,2381.0
1577012726.5887306,870,2543.0
1577012797.1034915,875,2065.0
1577012890.7033176,880,2971.0
1577012975.672387,885,3098.0
1577013073.009712,890,2652.0
1577013190.7182786,895,2407.0
1577013282.8581848,900,3600.0
1577013372.8112552,905,2866.0
1577013501.6795194,910,2960.0
1577013601.3074934,915,2686.0
1577013728.1140397,920,3252.0
1577013890.2085686,925,3645.0
1577013995.5745013,930,2552.0
1577014098.896079,935,1928.0
1577014208.2471585,940,3168.0
1577014322.499117,945,2912.0
1577014410.9812436,950,3480.0
1577014498.665895,955,2167.0
