Wall time,Step,Value
1577000490.2234645,0,1271.0
1577000528.0861664,5,1336.0
1577000583.2090044,10,1387.0
1577000630.098646,15,1586.0
1577000668.7545907,20,1172.0
1577000717.1641326,25,1156.0
1577000758.8076854,30,1114.0
1577000808.7697058,35,1428.0
1577000859.5078082,40,1387.0
1577000894.0142684,45,1117.0
1577000942.4969656,50,1299.0
1577000978.8986533,55,1119.0
1577001029.68252,60,1419.0
1577001077.879758,65,1260.0
1577001119.3063579,70,1251.0
1577001165.1085155,75,1013.0
1577001214.130604,80,1098.0
1577001252.4067595,85,1482.0
1577001307.2236292,90,1264.0
1577001346.6609356,95,1398.0
1577001399.1882427,100,1183.0
1577001447.5541396,105,1196.0
1577001492.7487257,110,1326.0
1577001553.5321522,115,1279.0
1577001615.849414,120,1734.0
1577001659.1284444,125,1243.0
1577001710.8742318,130,1339.0
1577001755.8795536,135,1226.0
1577001796.765288,140,1422.0
1577001847.4826818,145,1248.0
1577001908.276602,150,1302.0
1577001952.6458697,155,1759.0
1577002013.4268467,160,1503.0
1577002065.681797,165,1320.0
1577002110.8490071,170,1223.0
1577002173.6714807,175,1759.0
1577002236.7765608,180,1313.0
1577002293.2294817,185,1370.0
1577002332.9676318,190,1052.0
1577002401.563253,195,1448.0
1577002464.143686,200,1509.0
1577002511.2888358,205,1608.0
1577002576.9800646,210,1646.0
1577002640.8806415,215,1567.0
1577002701.9959393,220,1362.0
1577002750.0459018,225,1747.0
1577002813.763076,230,1264.0
1577002882.8391843,235,1480.0
1577002948.6812413,240,1424.0
1577002991.626131,245,1102.0
1577003056.1506076,250,1443.0
1577003122.304021,255,1375.0
1577003189.4588392,260,1437.0
1577003236.745483,265,1497.0
1577003295.6592472,270,1172.0
1577003358.088351,275,1278.0
1577003416.6651332,280,1618.0
1577003465.3416653,285,1609.0
1577003521.3503485,290,1511.0
1577003580.8029957,295,1424.0
1577003619.1923733,300,1119.0
1577003676.601748,305,1527.0
1577003740.5111094,310,2000.0
1577003807.095091,315,1276.0
1577003852.1800525,320,1359.0
1577003915.6849077,325,1528.0
1577003978.54689,330,1492.0
1577004031.245979,335,1814.0
1577004076.7498765,340,1533.0
1577004137.6355577,345,1504.0
1577004203.557872,350,1266.0
1577004264.069765,355,1436.0
1577004336.3048675,360,1651.0
1577004384.538205,365,1596.0
1577004441.7553225,370,1560.0
1577004513.890838,375,1595.0
1577004583.5191834,380,1656.0
1577004631.4311225,385,1335.0
1577004692.206828,390,2150.0
1577004759.4350963,395,1580.0
1577004825.842511,400,1224.0
1577004892.3352542,405,1822.0
1577004945.5235596,410,1647.0
1577005018.571526,415,1704.0
1577005090.7520602,420,1762.0
1577005160.869193,425,1766.0
1577005235.811188,430,2015.0
1577005307.5666256,435,1613.0
1577005376.3379445,440,1574.0
1577005412.5510058,445,1460.0
1577005483.9046578,450,1501.0
1577005556.836099,455,1480.0
1577005638.8389876,460,1995.0
1577005708.3712044,465,1726.0
1577005780.7220533,470,1665.0
1577005829.9786656,475,1377.0
1577005896.7580266,480,1489.0
1577005966.8606582,485,1828.0
1577006044.805892,490,1985.0
1577006097.0083137,495,1148.0
1577006151.6444771,500,1500.0
1577006195.4039867,505,1325.0
1577006257.040316,510,1622.0
1577006317.9275413,515,1724.0
1577006395.9842334,520,1862.0
1577006443.166393,525,1343.0
1577006508.860294,530,1733.0
1577006578.7407944,535,1931.0
1577006633.0598645,540,1456.0
1577006700.5392141,545,1244.0
1577006754.806464,550,1479.0
1577006822.513717,555,1363.0
1577006889.5869763,560,1480.0
1577006955.7555263,565,1326.0
1577007033.5343823,570,1475.0
1577007117.8708842,575,1603.0
1577007190.9462538,580,1641.0
1577007241.3256173,585,1261.0
1577007314.227991,590,1833.0
1577007393.6059499,595,1892.0
1577007464.670003,600,1922.0
1577007532.0140576,605,1501.0
1577007614.4982736,610,2100.0
1577007678.4095008,615,1686.0
1577007749.7551246,620,2004.0
1577007836.0060322,625,2664.0
1577007934.586152,630,2231.0
1577008018.5772634,635,1892.0
1577008096.9629145,640,1721.0
1577008175.644702,645,1900.0
1577008223.8165584,650,1422.0
1577008286.677815,655,1800.0
1577008356.0477054,660,1398.0
1577008432.0494037,665,1729.0
1577008518.876502,670,1681.0
1577008608.0979075,675,2752.0
1577008685.140597,680,1501.0
1577008768.13993,685,2077.0
1577008851.5516338,690,2411.0
1577008933.7889729,695,1733.0
1577009014.869618,700,1704.0
1577009091.3978074,705,2104.0
1577009159.5250094,710,1313.0
1577009217.5778892,715,1634.0
1577009295.508202,720,1420.0
1577009345.534915,725,1426.0
1577009416.009189,730,1479.0
1577009476.3760705,735,1458.0
1577009541.858838,740,1318.0
1577009594.0804586,745,1215.0
1577009656.5693486,750,1741.0
1577009727.0047946,755,1815.0
1577009808.7864254,760,1831.0
1577009868.9038782,765,1536.0
1577009945.364349,770,2108.0
1577010018.0565338,775,1475.0
1577010106.3931339,780,1699.0
1577010180.3872547,785,1696.0
1577010236.6756864,790,2127.0
1577010313.9942539,795,1450.0
