Wall time,Step,Value
1577001373.4599206,0,1640.0
1577001409.6074417,5,1160.0
1577001461.9142568,10,1448.0
1577001513.5691411,15,1079.0
1577001549.2980242,20,1215.0
1577001601.8264737,25,1346.0
1577001639.5252354,30,967.0
1577001687.6428907,35,1546.0
1577001734.9726915,40,1201.0
1577001771.484201,45,1334.0
1577001819.3831732,50,1133.0
1577001861.2282834,55,1416.0
1577001906.582423,60,1120.0
1577001957.620281,65,1225.0
1577001994.8824325,70,1262.0
1577002047.399125,75,1124.0
1577002086.9661863,80,1127.0
1577002134.5392659,85,1345.0
1577002184.7209122,90,1138.0
1577002220.7113316,95,1055.0
1577002268.9153254,100,1177.0
1577002305.655319,105,1195.0
1577002358.7795725,110,1553.0
1577002404.8428915,115,971.0
1577002440.1917715,120,1189.0
1577002491.80258,125,1166.0
1577002526.2475955,130,1091.0
1577002581.0310936,135,1314.0
1577002631.943445,140,1427.0
1577002668.3793705,145,1060.0
1577002717.8878992,150,1058.0
1577002771.2199335,155,1289.0
1577002811.5975387,160,1121.0
1577002860.4860861,165,1166.0
1577002905.8754919,170,1594.0
1577002957.6921103,175,1437.0
1577003018.7881107,180,1528.0
1577003081.9095206,185,1423.0
1577003130.350487,190,1455.0
1577003190.8865902,195,1199.0
1577003251.3515248,200,1588.0
1577003296.4975379,205,1759.0
1577003355.4484646,210,1169.0
1577003407.411429,215,1249.0
1577003452.0303698,220,1444.0
1577003511.8000348,225,1195.0
1577003569.7124372,230,1515.0
1577003616.385319,235,1673.0
1577003677.3286264,240,1323.0
1577003745.0726662,245,1160.0
1577003799.1633182,250,1446.0
1577003847.1382897,255,1470.0
1577003903.4882176,260,1875.0
1577003959.1850631,265,1741.0
1577004003.1789644,270,1120.0
1577004070.102889,275,1628.0
1577004132.7867408,280,1148.0
1577004194.6114106,285,1421.0
1577004241.577013,290,1538.0
1577004312.5735524,295,1455.0
1577004391.7647974,300,1811.0
1577004466.4629714,305,1782.0
1577004533.3348086,310,1295.0
1577004586.7700238,315,1761.0
1577004659.8226368,320,2072.0
1577004723.772884,325,1202.0
1577004779.8327909,330,1353.0
1577004831.5599678,335,1494.0
1577004890.7177286,340,1692.0
1577004956.8086145,345,1719.0
1577005030.4694383,350,1581.0
1577005085.4806838,355,1302.0
1577005129.3723567,360,1670.0
1577005198.4026275,365,963.0
1577005253.240633,370,1520.0
1577005293.7642817,375,1480.0
1577005355.9041998,380,1195.0
1577005418.0020945,385,1550.0
1577005460.497066,390,1376.0
1577005522.6909704,395,1551.0
1577005590.333332,400,1572.0
1577005661.654814,405,1561.0
1577005735.34134,410,1449.0
1577005820.8765266,415,2058.0
1577005876.2031324,420,1351.0
1577005949.1975906,425,1056.0
1577006033.131275,430,2174.0
1577006107.569827,435,1950.0
1577006189.6129167,440,1583.0
1577006264.9711282,445,1441.0
1577006330.719078,450,1669.0
1577006376.2535214,455,1265.0
1577006437.2629995,460,1185.0
1577006501.8219578,465,1600.0
1577006568.2280765,470,1522.0
1577006619.7740514,475,1432.0
1577006679.0760572,480,1549.0
1577006748.6105213,485,1432.0
1577006784.4449658,490,1322.0
1577006841.9912837,495,1553.0
1577006898.4862392,500,1211.0
1577006958.1912622,505,1538.0
1577007002.08046,510,1904.0
1577007052.5161548,515,1019.0
1577007093.520337,520,1349.0
1577007154.7742193,525,1385.0
1577007212.7070448,530,1222.0
1577007268.0426347,535,1758.0
1577007322.3049676,540,1606.0
1577007390.3983276,545,1477.0
1577007447.0990288,550,1009.0
1577007495.7101688,555,1504.0
1577007545.205463,560,1810.0
1577007621.554283,565,1566.0
1577007691.705646,570,1049.0
1577007772.4869504,575,1753.0
1577007844.2035737,580,2163.0
1577007916.0970886,585,2093.0
1577007967.8961155,590,1687.0
1577008031.7027185,595,1468.0
1577008109.0063682,600,1405.0
1577008168.8140914,605,1472.0
1577008216.5733979,610,1191.0
1577008295.40097,615,2322.0
1577008375.2570343,620,1588.0
1577008462.5299757,625,2119.0
1577008544.9001915,630,1732.0
1577008635.0487876,635,2023.0
1577008722.614653,640,1990.0
1577008811.2266836,645,1892.0
1577008890.1484833,650,1826.0
1577008955.0860717,655,1194.0
1577009031.2300231,660,1677.0
1577009083.6632452,665,1701.0
1577009158.2674625,670,1722.0
1577009228.3176968,675,1890.0
1577009311.0926664,680,2198.0
1577009390.445014,685,2016.0
1577009454.234315,690,1630.0
1577009493.7068858,695,1754.0
1577009576.9859478,700,1682.0
1577009643.9042554,705,1884.0
1577009724.7703588,710,2113.0
1577009822.325054,715,2269.0
1577009900.3363876,720,1400.0
1577009987.420084,725,3216.0
1577010062.6471326,730,2113.0
1577010144.39138,735,1914.0
1577010217.6327772,740,1422.0
1577010307.9168417,745,1422.0
1577010360.4620762,750,1558.0
1577010428.2261806,755,2053.0
1577010517.852976,760,2197.0
1577010584.0997367,765,1527.0
1577010662.3738472,770,2255.0
1577010731.254605,775,975.0
1577010797.2614653,780,2388.0
1577010895.1310556,785,2371.0
1577010984.283703,790,1623.0
1577011053.2348297,795,1328.0
1577011124.5093937,800,1453.0
1577011186.479817,805,1784.0
1577011268.6546948,810,2184.0
1577011336.9852486,815,962.0
1577011389.5116332,820,2116.0
1577011480.2193644,825,2172.0
1577011570.8511837,830,2274.0
1577011638.932092,835,1744.0
1577011737.9885447,840,2239.0
1577011845.2480018,845,3384.0
1577011943.7917244,850,1918.0
1577012037.566185,855,3095.0
1577012126.4082935,860,2175.0
1577012191.9122207,865,1281.0
1577012263.0911705,870,2534.0
1577012329.9312148,875,1512.0
1577012411.9998577,880,2436.0
1577012501.789255,885,2261.0
1577012600.3321774,890,2365.0
1577012681.8415854,895,1065.0
1577012765.782464,900,2359.0
1577012841.5018876,905,1051.0
1577012873.3121808,910,984.0
1577012960.1723535,915,1687.0
1577013035.7979991,920,1646.0
