Wall time,Step,Value
1577000490.223292,0,-20.0
1577000528.08592,5,-21.0
1577000583.2087705,10,-19.0
1577000630.098499,15,-21.0
1577000668.7543452,20,-21.0
1577000717.163976,25,-21.0
1577000758.8074358,30,-21.0
1577000808.7695456,35,-19.0
1577000859.5076594,40,-20.0
1577000894.0140417,45,-21.0
1577000942.4967358,50,-19.0
1577000978.8985088,55,-21.0
1577001029.6823473,60,-20.0
1577001077.8796043,65,-21.0
1577001119.3061163,70,-21.0
1577001165.1082594,75,-21.0
1577001214.1304483,80,-21.0
1577001252.4066162,85,-19.0
1577001307.223462,90,-20.0
1577001346.660696,95,-20.0
1577001399.1880114,100,-21.0
1577001447.5539873,105,-21.0
1577001492.7484884,110,-20.0
1577001553.5319357,115,-21.0
1577001615.8492632,120,-17.0
1577001659.1282072,125,-21.0
1577001710.8740036,130,-21.0
1577001755.8793128,135,-21.0
1577001796.7651393,140,-19.0
1577001847.4825156,145,-20.0
1577001908.2764215,150,-19.0
1577001952.645644,155,-17.0
1577002013.4266918,160,-19.0
1577002065.6816475,165,-21.0
1577002110.8487778,170,-21.0
1577002173.671317,175,-18.0
1577002236.7763913,180,-20.0
1577002293.2293189,185,-21.0
1577002332.9674737,190,-21.0
1577002401.5630138,195,-20.0
1577002464.1434357,200,-21.0
1577002511.2886045,205,-17.0
1577002576.9798312,210,-20.0
1577002640.8804047,215,-19.0
1577002701.9957852,220,-21.0
1577002750.0456688,225,-18.0
1577002813.762856,230,-20.0
1577002882.8390276,235,-20.0
1577002948.6810107,240,-20.0
1577002991.6259844,245,-20.0
1577003056.1503644,250,-20.0
1577003122.3038063,255,-21.0
1577003189.4586906,260,-20.0
1577003236.7452674,265,-21.0
1577003295.6590118,270,-21.0
1577003358.0882013,275,-20.0
1577003416.66498,280,-19.0
1577003465.3414268,285,-19.0
1577003521.3501947,290,-21.0
1577003580.802838,295,-20.0
1577003619.192134,300,-20.0
1577003676.6015143,305,-20.0
1577003740.5109522,310,-19.0
1577003807.0949357,315,-20.0
1577003852.1798434,320,-20.0
1577003915.6847584,325,-20.0
1577003978.5466554,330,-20.0
1577004031.2457354,335,-18.0
1577004076.749728,340,-20.0
1577004137.6353135,345,-20.0
1577004203.5576706,350,-21.0
1577004264.069606,355,-20.0
1577004336.3047156,360,-19.0
1577004384.537984,365,-20.0
1577004441.7551699,370,-20.0
1577004513.890605,375,-18.0
1577004583.5190344,380,-21.0
1577004631.4308841,385,-21.0
1577004692.206596,390,-17.0
1577004759.4349406,395,-20.0
1577004825.8423514,400,-21.0
1577004892.3351002,405,-19.0
1577004945.5233207,410,-20.0
1577005018.5712852,415,-20.0
1577005090.7519073,420,-19.0
1577005160.868954,425,-19.0
1577005235.811035,430,-17.0
1577005307.5664513,435,-20.0
1577005376.337727,440,-20.0
1577005412.5508578,445,-21.0
1577005483.9044182,450,-21.0
1577005556.835874,455,-20.0
1577005638.8388312,460,-17.0
1577005708.370985,465,-19.0
1577005780.7219064,470,-19.0
1577005829.9784276,475,-20.0
1577005896.7578177,480,-20.0
1577005966.8605058,485,-18.0
1577006044.8056629,490,-18.0
1577006097.0081584,495,-20.0
1577006151.6443224,500,-18.0
1577006195.4037607,505,-20.0
1577006257.0400903,510,-20.0
1577006317.9273775,515,-16.0
1577006395.984079,520,-17.0
1577006443.1661668,525,-20.0
1577006508.86006,530,-17.0
1577006578.7405612,535,-18.0
1577006633.0596406,540,-20.0
1577006700.5390615,545,-20.0
1577006754.8062406,550,-21.0
1577006822.51356,555,-19.0
1577006889.586756,560,-20.0
1577006955.7553055,565,-20.0
