Wall time,Step,Value
1576769331.1447055,5,1162.0
1576769334.5018036,6,969.0
1576769354.6522334,11,1058.0
1576769366.8233037,14,1116.0
1576769370.4859624,15,1067.0
1576769381.3958194,18,1161.0
1576769384.7428758,19,978.0
1576769388.366813,20,1060.0
1576769404.3113089,24,1166.0
1576769454.2852721,36,1055.0
1576769471.3798826,40,1261.0
1576769479.26748,42,968.0
1576769486.6273444,44,979.0
1576769490.7115722,45,1157.0
1576769499.3298488,47,1068.0
1576769522.3410165,53,1096.0
1576769526.4579163,54,1145.0
1576769531.5908103,55,1427.0
1576769535.3646705,56,1035.0
1576769539.20542,57,1050.0
1576769571.5252213,65,1080.0
1576769582.9109054,68,1037.0
1576769596.2029912,71,1133.0
1576769600.3814154,72,1141.0
1576769604.1189854,73,1026.0
1576769608.1124198,74,1099.0
1576769629.4485004,79,1225.0
1576769662.9901102,87,1065.0
1576769666.5893664,88,983.0
1576769692.0730143,94,1194.0
1576769732.5848308,102,1363.0
1576769748.4044094,105,1392.0
1576769752.6527572,106,1132.0
1576769782.61312,113,1441.0
1576769795.7889848,116,1295.0
1576769806.1200984,118,1486.0
1576769846.2496228,126,1215.0
1576769858.7237935,129,1185.0
1576769863.9048936,130,1375.0
1576769912.5581908,139,1109.0
1576769923.7375643,141,1530.0
1576769929.7198052,142,1580.0
1576769935.770266,143,1591.0
1576769977.5456812,150,1785.0
1576770011.1125934,155,1823.0
1576770026.9852567,157,1997.0
1576770034.9618926,158,2096.0
1576770066.2063696,162,1803.0
1576770102.8754354,167,2227.0
1576770113.153187,168,2723.0
1576770149.200266,171,3784.0
1576770204.8963206,177,2195.0
1576770212.0766385,178,1869.0
1576770228.6876712,180,2182.0
1576770261.95599,183,2245.0
1576770286.6787167,185,3505.0
1576770299.093757,186,3270.0
1576770323.402825,188,2716.0
1576770349.151307,190,3457.0
1576770359.2789037,191,2639.0
1576770444.2374427,198,2953.0
1576770553.2264879,206,4008.0
1576770565.0900514,207,3102.0
1576770577.2115138,208,3172.0
1576770618.9905622,212,1671.0
1576770743.8374217,222,3751.0
1576770757.9896963,223,3656.0
1576770781.8270822,225,3500.0
1576770840.3590086,229,3092.0
1576770877.465575,232,3351.0
1576770893.6781235,233,4235.0
1576770904.6995335,234,2879.0
1576770955.3925002,237,6022.0
1576771148.5534718,249,4101.0
1576771232.862657,255,3715.0
1576771288.856401,258,5637.0
1576771316.262812,260,3473.0
1576771330.6425552,261,3737.0
1576771361.2575886,263,3980.0
1576771430.6572225,267,4091.0
1576771491.605102,271,4664.0
1576771534.6760275,273,5644.0
1576771621.9241605,278,4978.0
1576771820.3350885,292,3469.0
