Wall time,Step,Value
1576769350.538351,5,1011.0
1576769357.1858027,6,1134.0
1576769391.494262,11,1195.0
1576769413.7491188,14,1110.0
1576769421.1651561,15,1262.0
1576769441.4677851,18,1155.0
1576769448.1490302,19,1156.0
1576769453.7876513,20,968.0
1576769482.4756205,24,1211.0
1576769571.5379996,36,1299.0
1576769598.864994,40,1218.0
1576769614.788728,42,1204.0
1576769629.2746253,44,1261.0
1576769636.4206343,45,1164.0
1576769652.3647163,47,1390.0
1576769699.0504274,53,1486.0
1576769706.4773595,54,1199.0
1576769714.3479333,55,1274.0
1576769720.9697022,56,1073.0
1576769727.9619565,57,1136.0
1576769782.0929518,65,1046.0
1576769805.6045008,68,1203.0
1576769829.909625,71,1515.0
1576769837.0026808,72,1141.0
1576769843.0291,73,967.0
1576769850.1434636,74,1144.0
1576769888.6327195,79,1437.0
1576769951.6348343,87,1222.0
1576769960.0953467,88,1359.0
1576770010.2341805,94,1675.0
1576770077.952586,102,1792.0
1576770100.2037582,105,1276.0
1576770108.3456323,106,1323.0
1576770169.9775639,113,1184.0
1576770197.8434038,116,1318.0
1576770214.6286888,118,1365.0
1576770298.1025095,126,1082.0
1576770332.0121238,129,2000.0
1576770345.1883612,130,2068.0
1576770456.3416011,139,2366.0
1576770488.6521952,141,2348.0
1576770504.3291798,142,2483.0
1576770523.2215388,143,2975.0
1576770623.157144,150,1806.0
1576770708.7702453,155,2868.0
1576770739.724694,157,2354.0
1576770753.7968621,158,2195.0
1576770813.4991348,162,2517.0
1576770890.5732298,167,3238.0
1576770907.0521224,168,2611.0
1576770956.9920607,171,2584.0
1576771071.7287397,177,2913.0
1576771092.4416115,178,3244.0
1576771129.1731539,180,1995.0
1576771175.6466372,183,2055.0
1576771198.847073,185,1509.0
1576771207.7175138,186,1385.0
1576771224.6914232,188,1274.0
1576771240.0203657,190,1204.0
1576771248.418438,191,1302.0
1576771312.1688812,198,1297.0
1576771443.5849595,206,2391.0
1576771459.2361617,207,2439.0
1576771475.299402,208,2512.0
1576771543.470652,212,2017.0
1576771703.9233403,222,3467.0
1576771720.9456713,223,2673.0
1576771753.297967,225,2423.0
1576771826.2107246,229,3130.0
1576771887.5006115,232,2950.0
1576771913.3559043,233,4042.0
1576771935.322212,234,3423.0
1576771998.8817062,237,4319.0
1576772259.1631818,249,2641.0
1576772387.909854,255,3744.0
1576772441.1800005,258,2355.0
1576772478.580352,260,3251.0
1576772500.0245152,261,3353.0
1576772540.2393641,263,3782.0
1576772637.3650472,267,3883.0
1576772714.689314,271,2477.0
1576772762.093586,273,3878.0
1576772847.3694782,278,1643.0
1576773071.4944406,292,1920.0
1576773175.02796,297,3484.0
1576773203.8316631,298,4506.0
1576773294.970596,302,3441.0
1576773320.2111552,303,3942.0
1576773412.5437882,307,4355.0
1576773423.7148123,308,1708.0
1576773437.7111928,310,1050.0
1576773461.5254304,313,1374.0
1576773506.235997,318,2083.0
1576773520.7717872,319,2279.0
1576773528.2743645,320,1148.0
1576773597.2402914,325,3354.0
1576773607.397385,326,1591.0
1576773620.8653114,327,2150.0
1576773672.662491,330,3730.0
1576773809.777751,339,2455.0
1576773852.2718754,341,2849.0
1576773939.6855352,347,1764.0
1576774021.4714825,353,2744.0
1576774033.8260012,354,1932.0
1576774145.2077763,360,4113.0
1576774203.3295403,363,3216.0
1576774274.0733883,367,1581.0
1576774369.6579728,371,3870.0
1576774399.975896,373,2076.0
1576774477.4888968,377,2426.0
1576774499.719498,378,3485.0
1576774525.0725772,379,4017.0
1576774572.6934698,381,3010.0
1576774687.5369096,386,3350.0
1576774822.034615,391,4277.0
1576774855.784696,392,5371.0
1576774875.7062988,393,3164.0
1576775172.9989965,408,2079.0
1576775285.366175,415,2821.0
1576775400.3265512,421,3184.0
1576775425.2168982,422,4006.0
1576775469.020774,424,3444.0
1576775519.3965588,426,4049.0
1576775621.3625634,430,4215.0
1576775810.4507537,439,1818.0
1576775870.1923563,441,5220.0
1576775897.243783,442,4375.0
1576775970.15075,445,4351.0
1576776090.2839923,451,3857.0
1576776258.8467503,459,2603.0
1576776269.4149613,460,1695.0
1576776317.1536963,463,2365.0
1576776338.871547,464,3521.0
1576776502.2439098,473,2687.0
1576776521.2324684,474,3072.0
1576776726.554188,485,2718.0
1576776778.8956392,488,2291.0
1576776801.107948,489,3578.0
1576776826.7418864,491,1733.0
1576776855.6443772,493,2331.0
1576777112.662101,507,3525.0
1576777200.8133235,512,2963.0
1576777227.7886415,514,1557.0
1576777269.2121658,517,3002.0
1576777295.6433842,519,1650.0
1576777378.059371,524,2506.0
1576777390.4252446,525,1988.0
1576777490.174629,531,2953.0
1576777523.6297839,533,2884.0
1576777538.5461457,534,2382.0
1576777565.8877382,536,2339.0
1576777580.1674216,537,2295.0
1576777613.1198745,540,2324.0
1576777639.1300833,542,2106.0
