Wall time,Step,Value
1576769316.237987,5,-21.0
1576769320.4092956,6,-20.0
1576769339.0655742,11,-21.0
1576769350.269891,14,-21.0
1576769355.6488585,15,-18.0
1576769367.0601315,18,-21.0
1576769371.5420997,19,-19.0
1576769374.9130332,20,-21.0
1576769390.5859432,24,-20.0
1576769438.1309955,36,-21.0
1576769455.3845074,40,-21.0
1576769463.2311056,42,-20.0
1576769471.9295092,44,-21.0
1576769475.9813874,45,-21.0
1576769484.9183037,47,-21.0
1576769510.8453045,53,-20.0
1576769514.3026674,54,-21.0
1576769518.216913,55,-21.0
1576769521.996257,56,-20.0
1576769526.334116,57,-20.0
1576769560.2628007,65,-20.0
1576769574.4446537,68,-19.0
1576769589.3825872,71,-21.0
1576769593.0974226,72,-21.0
1576769598.2357004,73,-21.0
1576769603.4787958,74,-20.0
1576769626.2285564,79,-18.0
1576769663.1237338,87,-20.0
1576769667.6492321,88,-20.0
1576769696.0142639,94,-21.0
1576769740.693349,102,-20.0
1576769762.7733798,105,-17.0
1576769769.3448741,106,-21.0
1576769814.8305402,113,-20.0
1576769833.1896434,116,-20.0
1576769846.7266521,118,-19.0
1576769912.4053698,126,-18.0
1576769936.6350963,129,-20.0
1576769943.1350696,130,-18.0
1576770033.0047302,139,-15.0
1576770050.0086048,141,-18.0
1576770057.9399102,142,-18.0
1576770066.1240072,143,-17.0
1576770125.453856,150,-17.0
1576770168.381023,155,-20.0
1576770183.4921303,157,-17.0
1576770195.129676,158,-17.0
1576770234.2218318,162,-19.0
1576770295.2548096,167,-16.0
1576770312.0850916,168,-10.0
1576770350.4293306,171,-16.0
1576770423.2732024,177,-15.0
1576770434.8135507,178,-15.0
1576770458.2489972,180,-16.0
1576770502.5391555,183,-14.0
1576770528.0559466,185,-12.0
1576770538.0953999,186,-18.0
1576770562.0580647,188,-15.0
1576770585.0578146,190,-17.0
1576770597.58185,191,-12.0
1576770689.3832877,198,-11.0
1576770784.6780338,206,-19.0
1576770794.7160118,207,-19.0
1576770805.664729,208,-16.0
1576770857.0330853,212,-18.0
1576770999.7243888,222,-16.0
1576771017.4168987,223,-13.0
1576771041.0880013,225,-19.0
1576771099.183473,229,-16.0
1576771149.1276696,232,-17.0
1576771164.4916117,233,-15.0
1576771175.2655218,234,-17.0
1576771221.0574846,237,-17.0
1576771409.2951882,249,-17.0
1576771490.6245966,255,-11.0
1576771528.4908316,258,-17.0
1576771552.8999116,260,-15.0
1576771563.0394125,261,-19.0
1576771596.2290013,263,-9.0
1576771653.488611,267,-11.0
1576771716.5371306,271,-13.0
1576771742.690444,273,-14.0
1576771831.9489162,278,-12.0
1576772084.0715566,292,-13.0
1576772158.3558574,297,-19.0
1576772173.5170565,298,-8.0
1576772232.403595,302,-19.0
1576772252.3580809,303,-13.0
1576772324.8532574,307,-17.0
1576772341.2825952,308,-13.0
1576772372.9758024,310,-12.0
1576772425.8552082,313,-15.0
1576772504.772787,318,-11.0
1576772522.6016757,319,-14.0
1576772539.1370034,320,-16.0
1576772621.4008274,325,-16.0
1576772638.0417912,326,-18.0
1576772658.5836556,327,-14.0
1576772715.4952981,330,-15.0
1576772870.3608754,339,-19.0
1576772900.2021008,341,-18.0
1576772985.299646,347,-17.0
1576773096.8618555,353,-14.0
1576773110.2591326,354,-18.0
1576773217.2417378,360,-14.0
1576773268.683645,363,-18.0
1576773339.8313596,367,-11.0
1576773404.035591,371,-20.0
1576773441.1810124,373,-10.0
1576773515.2644432,377,-12.0
1576773531.2884848,378,-17.0
1576773546.199033,379,-17.0
1576773578.3463354,381,-16.0
1576773652.3392816,386,-18.0
1576773740.099579,391,-8.0
1576773756.843431,392,-17.0
1576773770.9917302,393,-13.0
1576774020.9094818,408,-8.0
1576774113.7272913,415,-14.0
1576774198.0927846,421,-14.0
1576774219.6923487,422,-7.0
1576774254.2019975,424,-14.0
1576774286.1938152,426,-13.0
1576774344.9007118,430,-16.0
1576774480.5672014,439,-11.0
1576774509.129788,441,-16.0
1576774530.540606,442,-10.0
1576774577.098529,445,-13.0
1576774672.7160451,451,-8.0
1576774800.102374,459,-11.0
1576774817.938934,460,-10.0
1576774864.9866846,463,-5.0
1576774880.7800746,464,-11.0
1576775017.056876,473,-13.0
1576775034.3994448,474,-5.0
1576775217.3820963,485,-5.0
1576775263.1727765,488,-11.0
1576775275.1020918,489,-16.0
1576775300.5158975,491,-15.0
1576775331.7367454,493,-7.0
1576775587.9598787,507,-8.0
1576775669.7428684,512,-4.0
1576775710.084971,514,-5.0
1576775756.7583241,517,-13.0
1576775791.116182,519,-6.0
1576775873.3730843,524,-7.0
1576775885.5229878,525,-16.0
1576775982.8193552,531,-4.0
1576776013.5283623,533,-9.0
1576776033.0330114,534,-8.0
1576776060.5642316,536,-15.0
1576776077.4860651,537,-3.0
1576776118.4477146,540,-13.0
1576776152.5345957,542,-5.0
1576776245.0325375,547,3.0
1576776258.1325233,548,-10.0
1576776394.8918834,557,9.0
1576776427.9551868,559,4.0
1576776494.199514,563,3.0
1576776512.7440617,564,-9.0
1576776523.0426104,565,-14.0
1576776586.6213913,569,9.0
1576776664.390922,573,-1.0
1576776680.2387598,574,5.0
1576776732.3484213,577,4.0
1576776765.9346204,579,4.0
1576776780.9159234,580,-7.0
1576776793.339803,581,13.0
1576776805.6455762,582,16.0
1576776822.5770404,583,4.0
1576776834.8412635,584,14.0
1576776866.675119,586,-10.0
1576776881.8564243,587,5.0
1576776963.9549494,592,-10.0
1576776982.1866298,593,-8.0
1576777052.51083,597,4.0
1576777091.6236682,600,3.0
1576777112.0738695,602,12.0
1576777196.4294407,608,10.0
1576777229.1106975,610,8.0
1576777301.9484756,615,2.0
1576777366.9059684,619,10.0
1576777378.3369691,620,13.0
1576777408.803888,622,-5.0
1576777604.0970955,634,-2.0
1576777708.3127012,641,3.0
1576777718.9859507,642,-14.0
1576777746.1750863,644,7.0
1576777760.2518246,645,7.0
1576777776.4625533,646,-4.0
1576777790.237635,647,9.0
1576777819.2166636,649,13.0
1576777861.255063,652,8.0
1576777912.620103,656,11.0
1576777929.2864206,657,-3.0
1576777985.6189368,661,11.0
1576778037.166872,664,-4.0
1576778086.5695786,668,-14.0
1576778134.6755426,671,-5.0
1576778151.6644988,672,-5.0
1576778166.7824237,673,7.0
1576778179.4873848,674,13.0
1576778192.8572714,675,10.0
1576778225.132732,677,-1.0
1576778239.023864,678,-12.0
1576778250.2470865,679,-9.0
1576778296.3228452,682,5.0
1576778312.4982877,683,-7.0
1576778332.1422155,684,-5.0
1576778364.929406,686,8.0
1576778399.356836,688,5.0
1576778417.2342951,689,7.0
1576778538.6673894,696,10.0
1576778584.473346,699,12.0
1576778647.9390512,703,-4.0
1576778681.0638726,706,15.0
1576778707.0564072,708,13.0
1576778731.1512074,710,11.0
1576778776.4406655,714,16.0
1576778829.333697,718,14.0
1576778868.8427875,721,-9.0
1576778882.5680056,722,12.0
1576778895.5645647,723,7.0
1576778912.7544837,724,5.0
1576779004.8456125,730,5.0
1576779097.940723,736,6.0
1576779125.9088564,738,11.0
1576779140.2029216,739,8.0
1576779201.3005369,743,4.0
1576779244.8815804,746,8.0
1576779260.0937092,747,11.0
1576779302.5925283,750,13.0
1576779314.0773647,751,15.0
1576779328.2608297,752,8.0
1576779365.815235,754,-4.0
1576779390.144805,756,13.0
1576779472.116873,762,15.0
1576779503.9389455,765,16.0
1576779519.6289086,766,10.0
1576779556.2917726,769,7.0
1576779568.694299,770,12.0
1576779579.0363753,771,19.0
1576779604.8914938,773,8.0
1576779622.7175808,774,1.0
1576779718.0684128,780,-6.0
1576779785.4409118,784,8.0
1576779801.825291,785,13.0
1576779827.753451,787,14.0
1576779854.6720474,789,-3.0
1576779878.4590645,791,11.0
1576779892.6171763,792,8.0
1576779911.298338,793,4.0
1576779931.732907,794,1.0
1576779943.4634106,795,-17.0
1576779990.627363,798,-3.0
1576780020.50199,800,4.0
1576780052.319903,802,-11.0
1576780088.7302122,805,12.0
1576780119.0666988,807,-2.0
1576780134.5392392,808,-4.0
1576780150.407852,809,-6.0
1576780241.957249,815,12.0
1576780257.337602,816,8.0
1576780282.2109473,818,15.0
1576780324.562861,821,14.0
1576780376.0665467,825,-7.0
1576780407.7360675,828,16.0
1576780442.6561577,831,19.0
1576780455.3079355,832,16.0
1576780478.260536,834,18.0
1576780497.8628142,836,18.0
1576780519.8917878,838,16.0
1576780578.6923554,843,19.0
1576780622.808669,846,4.0
1576780644.943707,848,11.0
1576780873.222259,863,4.0
1576780927.687016,867,-3.0
1576780956.0597506,869,2.0
1576780972.845495,870,2.0
1576781029.7210891,874,-5.0
1576781063.3471236,876,2.0
1576781077.0355318,877,10.0
1576781113.9482076,880,-16.0
1576781140.1901393,882,15.0
1576781170.2704065,884,7.0
1576781204.0272348,887,16.0
1576781228.5017698,889,11.0
1576781239.5931141,890,15.0
1576781266.5682185,892,-1.0
1576781317.0226033,896,11.0
1576781360.7691004,900,19.0
1576781436.5185094,907,18.0
1576781449.9592307,908,8.0
1576781460.7859256,909,14.0
1576781473.1793494,910,13.0
1576781500.7368395,912,4.0
1576781540.734412,915,6.0
1576781557.1760023,916,4.0
1576781570.686774,917,10.0
1576781617.5263083,920,-6.0
1576781635.097238,921,-8.0
1576781653.773245,922,4.0
1576781665.7302876,923,11.0
1576781795.2971013,931,-5.0
1576781809.7870898,932,-5.0
1576781847.5186827,935,8.0
1576781946.361672,942,2.0
1576781985.6072156,945,5.0
1576782072.0470324,953,7.0
1576782083.8591614,954,15.0
1576782112.3613064,956,8.0
1576782125.5823853,957,8.0
1576782134.1057065,958,19.0
1576782176.7660623,961,5.0
1576782189.0121548,962,12.0
1576782207.4375966,964,13.0
1576782225.2998962,966,19.0
1576782274.8953915,971,17.0
1576782285.1200702,972,17.0
1576782329.3333654,976,15.0
1576782339.610355,977,17.0
1576782352.2003224,978,10.0
1576782370.7131376,979,-6.0
1576782403.6168451,982,17.0
1576782412.5468469,983,19.0
1576782423.0349505,984,16.0
1576782460.9879248,987,15.0
1576782476.018284,988,8.0
1576782567.2565422,996,-9.0
1576782611.8030684,1000,20.0
1576782644.607005,1002,-2.0
1576782674.4276416,1004,-7.0
1576782685.4400969,1005,15.0
1576782719.856526,1008,10.0
1576782750.0363903,1011,19.0
1576782761.9107733,1012,12.0
1576782774.9827027,1013,-4.0
1576782791.3592217,1014,2.0
1576782830.8811622,1017,8.0
1576782941.453766,1025,4.0
1576782962.6290166,1027,18.0
1576782984.3378372,1029,17.0
1576783012.586698,1031,6.0
1576783029.8592784,1032,1.0
1576783069.025803,1035,7.0
1576783092.7670214,1037,12.0
1576783112.196034,1039,17.0
1576783171.1814895,1044,18.0
1576783243.6933084,1051,19.0
1576783256.984953,1052,6.0
1576783291.9336333,1055,19.0
1576783314.5634105,1057,14.0
1576783392.6589437,1063,19.0
1576783406.1120508,1064,9.0
1576783432.5514941,1066,10.0
1576783453.1952953,1068,17.0
1576783497.4488435,1072,10.0
1576783549.9635808,1076,14.0
1576783568.4114132,1078,18.0
1576783637.0853658,1083,16.0
1576783647.3650541,1084,16.0
1576783660.6730688,1085,-6.0
1576783737.0486822,1092,16.0
1576783754.1983097,1093,-1.0
1576783842.8677084,1099,6.0
1576783898.227547,1103,18.0
1576783910.2455313,1104,13.0
1576783929.4742582,1105,-1.0
1576784043.4333875,1114,21.0
1576784069.885132,1116,13.0
1576784102.4135928,1119,9.0
1576784176.1666977,1125,9.0
1576784190.926007,1126,1.0
1576784244.350823,1130,-1.0
1576784288.6106381,1133,17.0
1576784302.6764069,1134,9.0
1576784317.089411,1135,-6.0
1576784347.990554,1138,-10.0
1576784472.3075926,1149,19.0
1576784503.634947,1152,15.0
1576784535.9771097,1155,14.0
1576784545.3964243,1156,13.0
1576784555.1567717,1157,16.0
1576784585.942828,1160,9.0
1576784596.304079,1161,14.0
1576784602.340154,1162,-17.0
1576784766.0361009,1177,4.0
1576784799.5726411,1180,14.0
1576784828.7840896,1182,-1.0
1576784839.811625,1183,14.0
1576784858.3217056,1185,-18.0
1576784866.469382,1186,21.0
1576784886.2648969,1189,-20.0
1576784916.369122,1192,18.0
1576784926.770683,1193,16.0
1576784948.916513,1195,9.0
1576784970.96944,1197,14.0
1576784997.86249,1199,9.0
1576785017.0480666,1201,10.0
1576785047.370575,1204,18.0
1576785072.2153857,1206,8.0
1576785094.1245608,1208,8.0
1576785121.9940312,1210,-1.0
1576785145.8746758,1212,11.0
1576785174.0021913,1214,-2.0
1576785285.0664465,1224,12.0
1576785334.2501695,1228,14.0
1576785385.5223012,1232,10.0
1576785397.8960636,1233,9.0
1576785409.3312063,1234,12.0
1576785433.29975,1236,5.0
1576785470.207877,1239,14.0
1576785507.4094298,1242,16.0
1576785535.6957045,1244,5.0
1576785580.7805223,1247,-6.0
1576785658.0552912,1253,5.0
1576785685.1432698,1255,8.0
1576785709.7951117,1257,8.0
1576785722.3776712,1258,12.0
1576785762.3121147,1261,14.0
1576785771.615009,1262,20.0
1576785786.1317427,1263,6.0
1576785828.8896468,1266,15.0
1576785943.0312994,1274,13.0
1576786015.968911,1279,17.0
1576786047.7635052,1281,4.0
1576786123.4041426,1287,3.0
1576786176.2956371,1291,16.0
1576786187.3142424,1292,15.0
1576786200.5164993,1293,-9.0
1576786215.4511802,1294,4.0
1576786286.6635098,1300,18.0
1576786328.4675338,1303,8.0
1576786402.4779613,1310,18.0
1576786427.1001213,1312,14.0
1576786458.2856224,1315,12.0
1576786467.0413067,1316,20.0
1576786505.4832058,1319,3.0
1576786515.1275487,1320,18.0
1576786581.256469,1325,13.0
1576786595.1286483,1326,11.0
1576786607.582609,1327,13.0
1576786635.568295,1330,20.0
1576786681.6805584,1333,8.0
1576786695.4471848,1334,-7.0
1576786714.9285007,1335,2.0
1576786729.380793,1336,4.0
1576786737.568533,1337,20.0
1576786807.9441493,1343,12.0
1576786895.636677,1349,-2.0
1576786992.3057618,1355,1.0
1576787053.3047934,1359,-8.0
1576787081.9863431,1361,-13.0
1576787156.7991893,1366,17.0
1576787213.775389,1370,-5.0
1576787318.3190265,1377,-14.0
1576787344.282771,1379,17.0
1576787384.9834754,1382,8.0
1576787401.37555,1384,20.0
1576787418.017709,1385,8.0
1576787450.4245174,1388,11.0
1576787462.7481825,1389,10.0
1576787482.0848129,1391,19.0
1576787492.8793688,1392,14.0
1576787522.8050692,1395,16.0
1576787733.9015718,1412,16.0
1576787754.6830316,1413,2.0
1576787765.3119621,1414,10.0
1576787778.7020183,1415,11.0
1576787831.4019942,1419,18.0
1576787869.4217067,1422,12.0
1576787917.3712416,1426,11.0
1576787928.9554868,1427,14.0
1576787942.8191419,1428,13.0
1576787995.0243146,1432,11.0
1576788009.6913474,1433,14.0
1576788022.7235808,1434,12.0
1576788045.7755215,1436,19.0
1576788080.7518818,1438,4.0
1576788104.851989,1440,15.0
1576788133.031997,1442,11.0
1576788225.530213,1450,15.0
1576788282.9813302,1455,13.0
1576788295.2304094,1456,15.0
1576788429.0784094,1465,3.0
1576788446.571625,1466,3.0
1576788581.31854,1477,-9.0
1576788648.3518019,1482,3.0
1576788687.3073442,1485,10.0
1576788700.5622406,1486,-9.0
1576788733.7456064,1489,16.0
1576788766.5118117,1491,6.0
1576788778.9764132,1492,13.0
1576788877.1854131,1500,21.0
1576788889.9559698,1501,-8.0
1576788899.437429,1502,13.0
1576788912.0296276,1503,7.0
1576788944.4848466,1506,-9.0
1576788964.1311853,1508,7.0
1576788977.7065485,1509,8.0
1576788992.8574364,1510,7.0
1576789098.6831768,1518,10.0
1576789169.0837107,1523,-11.0
1576789180.4946783,1524,16.0
1576789228.2751868,1527,7.0
1576789315.968165,1534,19.0
1576789341.0268126,1536,8.0
1576789464.8579266,1546,17.0
1576789528.8615553,1551,15.0
1576789541.630215,1552,11.0
1576789565.6787572,1554,-14.0
1576789580.8297167,1555,9.0
1576789659.625767,1561,5.0
1576789676.5407803,1562,7.0
1576789752.7764318,1568,-5.0
1576789768.0876596,1569,11.0
1576789887.6255422,1578,4.0
1576789950.2246413,1582,11.0
1576789982.18461,1584,10.0
1576790043.511896,1588,6.0
1576790181.194281,1597,11.0
1576790204.4002311,1599,16.0
1576790249.4808016,1602,7.0
1576790272.620851,1604,14.0
1576790288.482566,1605,-9.0
1576790370.7691863,1610,-3.0
1576790405.517165,1613,11.0
1576790457.659525,1618,18.0
1576790481.1492715,1620,-13.0
1576790526.9114203,1624,-13.0
1576790551.3995981,1626,-5.0
1576790564.2131932,1627,6.0
1576790575.9984186,1628,13.0
1576790597.0093215,1630,13.0
1576790621.3946972,1632,-9.0
1576790686.3092127,1637,-9.0
