Wall time,Step,Value
1576769331.1445637,5,-21.0
1576769334.501574,6,-21.0
1576769354.6520905,11,-21.0
1576769366.8231559,14,-20.0
1576769370.485769,15,-21.0
1576769381.3956718,18,-20.0
1576769384.742729,19,-21.0
1576769388.3666728,20,-21.0
1576769404.311165,24,-21.0
1576769454.2851307,36,-21.0
1576769471.379731,40,-20.0
1576769479.267339,42,-21.0
1576769486.627112,44,-21.0
1576769490.7114158,45,-20.0
1576769499.3296955,47,-21.0
1576769522.3408704,53,-21.0
1576769526.4577663,54,-20.0
1576769531.5906615,55,-19.0
1576769535.3645248,56,-21.0
1576769539.205276,57,-21.0
1576769571.5250757,65,-21.0
1576769582.9107516,68,-21.0
1576769596.202844,71,-21.0
1576769600.3812716,72,-21.0
1576769604.1187356,73,-21.0
1576769608.1122608,74,-21.0
1576769629.4483523,79,-21.0
1576769662.9899507,87,-21.0
1576769666.5892181,88,-21.0
1576769692.0728467,94,-20.0
1576769732.584686,102,-19.0
1576769748.4042616,105,-20.0
1576769752.6526136,106,-21.0
1576769782.6129763,113,-19.0
1576769795.7888334,116,-21.0
1576769806.119957,118,-21.0
1576769846.249475,126,-21.0
1576769858.7236495,129,-20.0
1576769863.904727,130,-21.0
1576769912.5580387,139,-21.0
1576769923.7374163,141,-20.0
1576769929.71966,142,-19.0
1576769935.7700176,143,-21.0
1576769977.5455346,150,-20.0
1576770011.1124442,155,-20.0
1576770026.9851134,157,-19.0
1576770034.9617386,158,-18.0
1576770066.2062244,162,-19.0
1576770102.8751864,167,-19.0
1576770113.1530106,168,-17.0
1576770149.2001243,171,-16.0
1576770204.8961756,177,-19.0
1576770212.0763912,178,-21.0
1576770228.6875236,180,-18.0
1576770261.955843,183,-18.0
1576770286.678564,185,-18.0
1576770299.0936115,186,-17.0
1576770323.4025884,188,-20.0
1576770349.1511602,190,-15.0
1576770359.2787526,191,-18.0
1576770444.2372777,198,-20.0
1576770553.2262278,206,-16.0
1576770565.0899012,207,-18.0
1576770577.2113695,208,-18.0
1576770618.9904222,212,-20.0
1576770743.837273,222,-15.0
1576770757.989551,223,-11.0
1576770781.8269053,225,-16.0
1576770840.3588653,229,-17.0
1576770877.46533,232,-17.0
1576770893.6779602,233,-15.0
1576770904.6993861,234,-16.0
1576770955.3923383,237,-14.0
1576771148.553326,249,-16.0
1576771232.8625078,255,-16.0
1576771288.8562353,258,-11.0
1576771316.2626557,260,-15.0
1576771330.6422932,261,-16.0
1576771361.2574432,263,-12.0
1576771430.656984,267,-15.0
1576771491.6048517,271,-13.0
1576771534.6758528,273,-12.0
1576771621.924014,278,-13.0
1576771820.3348782,292,-18.0
1576771918.985606,297,-14.0
1576771937.7070205,298,-17.0
1576772014.3901064,302,-15.0
1576772027.5036287,303,-19.0
1576772080.8983366,307,-15.0
1576772089.7600737,308,-19.0
1576772106.3699903,310,-20.0
1576772155.291357,313,-12.0
1576772241.0928023,318,-15.0
1576772259.5349627,319,-10.0
1576772271.9557993,320,-16.0
1576772350.075766,325,-16.0
1576772363.6158571,326,-17.0
1576772376.884525,327,-19.0
1576772421.0569232,330,-18.0
1576772521.7986343,339,-11.0
1576772561.0722983,341,-15.0
1576772631.9093273,347,-16.0
1576772710.6277058,353,-15.0
1576772724.368394,354,-16.0
1576772812.983604,360,-17.0
1576772851.9673321,363,-13.0
1576772905.2918208,367,-15.0
1576772964.488635,371,-14.0
1576772991.480571,373,-15.0
1576773046.618834,377,-17.0
1576773062.1638238,378,-17.0
1576773077.9977186,379,-9.0
1576773104.6021254,381,-6.0
1576773177.506887,386,-16.0
1576773252.8827252,391,-17.0
1576773268.070036,392,-11.0
1576773286.7182229,393,-9.0
1576773490.3782356,408,-12.0
1576773589.0015032,415,-10.0
1576773676.110952,421,-20.0
1576773689.5704894,422,-18.0
1576773725.7826622,424,-12.0
1576773751.7103763,426,-21.0
1576773807.4607089,430,-16.0
