Wall time,Step,Value
1576769337.7173266,5,-20.0
1576769343.3521888,6,-20.0
1576769374.8113596,11,-19.0
1576769390.740615,14,-21.0
1576769395.7334368,15,-21.0
1576769414.3413942,18,-19.0
1576769420.034394,19,-21.0
1576769426.1787708,20,-20.0
1576769449.9878554,24,-20.0
1576769520.2245753,36,-21.0
1576769543.8726351,40,-21.0
1576769556.1653872,42,-20.0
1576769569.2080235,44,-20.0
1576769575.224902,45,-20.0
1576769586.4426668,47,-21.0
1576769622.1939435,53,-21.0
1576769627.699181,54,-21.0
1576769633.2085812,55,-21.0
1576769638.6983652,56,-21.0
1576769643.7973337,57,-21.0
1576769698.5300882,65,-21.0
1576769719.2680426,68,-20.0
1576769740.8873148,71,-21.0
1576769748.3951182,72,-21.0
1576769754.5119233,73,-20.0
1576769760.7416556,74,-21.0
1576769789.9490366,79,-21.0
1576769839.2817247,87,-20.0
1576769846.5244925,88,-19.0
1576769890.4232361,94,-21.0
1576769953.3289905,102,-18.0
1576769971.3573496,105,-20.0
1576769978.8699107,106,-20.0
1576770032.009075,113,-21.0
1576770057.558445,116,-18.0
1576770072.9431176,118,-19.0
1576770150.1461225,126,-20.0
1576770191.5662718,129,-17.0
1576770201.6675968,130,-21.0
1576770296.457169,139,-19.0
1576770319.9344082,141,-19.0
1576770329.4713516,142,-20.0
1576770344.0012293,143,-15.0
1576770450.3594985,150,-13.0
1576770521.6887808,155,-17.0
1576770549.4761655,157,-19.0
1576770565.6044333,158,-14.0
1576770618.3428543,162,-16.0
1576770677.3103042,167,-17.0
1576770686.6022022,168,-20.0
1576770725.2046342,171,-20.0
1576770792.4252493,177,-15.0
1576770804.3768065,178,-20.0
1576770829.5801578,180,-19.0
1576770877.0144897,183,-20.0
1576770911.5052423,185,-19.0
1576770927.3019094,186,-19.0
1576770955.369994,188,-19.0
1576770981.2329178,190,-19.0
1576770999.7251248,191,-15.0
1576771104.9228992,198,-18.0
1576771237.4960752,206,-9.0
1576771259.8644814,207,-16.0
1576771277.934,208,-16.0
1576771349.0837324,212,-15.0
1576771493.9726431,222,-16.0
1576771507.9706159,223,-16.0
1576771538.8442135,225,-17.0
1576771601.2393198,229,-18.0
1576771666.1050105,232,-12.0
1576771683.7260594,233,-15.0
1576771704.492096,234,-18.0
1576771741.594982,237,-16.0
1576771962.9503927,249,-17.0
1576772062.5105631,255,-18.0
1576772112.2205243,258,-17.0
1576772145.8606486,260,-20.0
1576772162.9787476,261,-18.0
1576772197.2786355,263,-16.0
1576772260.5807369,267,-18.0
1576772328.0310798,271,-14.0
1576772372.495882,273,-15.0
1576772442.6255732,278,-17.0
1576772675.508461,292,-16.0
1576772769.0805464,297,-19.0
1576772784.6607049,298,-18.0
1576772875.4610002,302,-15.0
1576772892.301263,303,-17.0
1576772964.100602,307,-14.0
1576772981.5575209,308,-18.0
1576773018.6414883,310,-19.0
1576773075.339529,313,-16.0
1576773153.174971,318,-20.0
1576773172.1041076,319,-17.0
1576773187.6967018,320,-17.0
1576773268.3448768,325,-16.0
1576773281.6590083,326,-18.0
1576773295.2067564,327,-16.0
1576773345.0115569,330,-17.0
1576773478.6869338,339,-18.0
1576773504.5097556,341,-18.0
1576773604.4396043,347,-17.0
1576773709.4538825,353,-14.0
1576773726.4452078,354,-20.0
1576773814.3546984,360,-18.0
1576773869.3479154,363,-15.0
1576773921.6737206,367,-17.0
1576773976.7614799,371,-14.0
1576774008.565555,373,-16.0
1576774091.0141327,377,-13.0
1576774110.0988817,378,-14.0
1576774124.4503863,379,-19.0
1576774173.4268363,381,-18.0
1576774284.322997,386,-14.0
1576774367.233825,391,-18.0
1576774380.5365572,392,-18.0
1576774398.2120292,393,-19.0
1576774606.671117,408,-17.0
1576774716.5901208,415,-17.0
1576774811.215784,421,-18.0
1576774821.7600055,422,-20.0
1576774853.4169512,424,-18.0
1576774877.5327091,426,-21.0
1576774937.4923422,430,-17.0
1576775081.5866597,439,-18.0
1576775116.5134392,441,-13.0
1576775126.1090405,442,-20.0
1576775172.800009,445,-18.0
1576775284.9161096,451,-18.0
1576775448.0561957,459,-18.0
1576775471.9928253,460,-13.0
1576775532.8981614,463,-17.0
1576775558.0567505,464,-9.0
1576775745.6390224,473,1.0
1576775758.9044256,474,-17.0
1576775967.112986,485,-16.0
1576776013.1480389,488,-18.0
1576776026.2263782,489,-17.0
1576776047.1682458,491,-16.0
1576776070.065231,493,-19.0
1576776314.2476132,507,-8.0
1576776399.2113893,512,-14.0
1576776430.6616335,514,-11.0
1576776474.5878778,517,-18.0
1576776507.5290558,519,-15.0
1576776575.8320894,524,-14.0
1576776591.158182,525,-16.0
1576776690.1723032,531,-15.0
1576776728.5760107,533,-12.0
1576776751.4217973,534,-11.0
1576776802.836856,536,-8.0
1576776823.1444983,537,-11.0
1576776877.16553,540,-13.0
1576776893.3249931,542,-20.0
1576776969.6850321,547,-13.0
1576776992.5640354,548,-13.0
1576777165.98959,557,-8.0
1576777199.288318,559,-12.0
1576777272.9358554,563,-15.0
1576777296.1104057,564,-6.0
1576777320.0747473,565,-9.0
1576777412.3585663,569,-10.0
1576777505.0697773,573,-13.0
1576777522.7834065,574,-16.0
1576777577.4774187,577,-15.0
