Wall time,Step,Value
1576769350.5382009,5,-21.0
1576769357.1856468,6,-21.0
1576769391.494111,11,-20.0
1576769413.748972,14,-21.0
1576769421.1650066,15,-20.0
1576769441.4676316,18,-20.0
1576769448.1488764,19,-21.0
1576769453.7875013,20,-21.0
1576769482.4754725,24,-20.0
1576769571.5378447,36,-21.0
1576769598.8647454,40,-21.0
1576769614.788575,42,-21.0
1576769629.274473,44,-21.0
1576769636.420483,45,-21.0
1576769652.3644814,47,-21.0
1576769699.050276,53,-20.0
1576769706.4771194,54,-21.0
1576769714.3477569,55,-20.0
1576769720.9695501,56,-21.0
1576769727.9617841,57,-21.0
1576769782.0928016,65,-21.0
1576769805.6043534,68,-21.0
1576769829.9094312,71,-20.0
1576769837.002527,72,-21.0
1576769843.028952,73,-21.0
1576769850.1433136,74,-21.0
1576769888.6325529,79,-21.0
1576769951.6346624,87,-21.0
1576769960.0951965,88,-20.0
1576770010.2340276,94,-20.0
1576770077.9524312,102,-20.0
1576770100.203612,105,-20.0
1576770108.3454866,106,-21.0
1576770169.9774165,113,-21.0
1576770197.8432508,116,-21.0
1576770214.6285362,118,-21.0
1576770298.1023316,126,-21.0
1576770332.011974,129,-20.0
1576770345.1882102,130,-20.0
1576770456.3414524,139,-19.0
1576770488.6520433,141,-18.0
1576770504.3290255,142,-17.0
1576770523.2213867,143,-13.0
1576770623.156991,150,-20.0
1576770708.7699926,155,-15.0
1576770739.7245452,157,-15.0
1576770753.7966166,158,-19.0
1576770813.4988792,162,-18.0
1576770890.5730789,167,-19.0
1576770907.0519724,168,-21.0
1576770956.9919152,171,-17.0
1576771071.7285888,177,-19.0
1576771092.4413552,178,-14.0
1576771129.1729994,180,-20.0
1576771175.6464863,183,-20.0
1576771198.8468068,185,-21.0
1576771207.7173624,186,-19.0
1576771224.691274,188,-21.0
1576771240.0202136,190,-21.0
1576771248.4181952,191,-20.0
1576771312.1686988,198,-21.0
1576771443.5848117,206,-18.0
1576771459.2360127,207,-20.0
1576771475.299172,208,-19.0
1576771543.4704976,212,-19.0
1576771703.9230938,222,-13.0
1576771720.9455209,223,-16.0
1576771753.2977085,225,-17.0
1576771826.2105703,229,-14.0
1576771887.500461,232,-16.0
1576771913.3556283,233,-13.0
1576771935.3220572,234,-13.0
1576771998.8815544,237,-11.0
1576772259.1629314,249,-18.0
1576772387.909589,255,-17.0
1576772441.179806,258,-19.0
1576772478.5802016,260,-18.0
1576772500.0242686,261,-14.0
1576772540.2392142,263,-14.0
1576772637.3648849,267,-11.0
1576772714.6891644,271,-19.0
1576772762.0934343,273,-16.0
1576772847.369256,278,-20.0
1576773071.4942915,292,-20.0
1576773175.0277874,297,-17.0
1576773203.8314142,298,-10.0
1576773294.9704475,302,-12.0
1576773320.210903,303,-16.0
1576773412.543639,307,-13.0
1576773423.714651,308,-18.0
1576773437.711025,310,-21.0
1576773461.5252814,313,-21.0
1576773506.2358449,318,-19.0
1576773520.7716372,319,-20.0
1576773528.274212,320,-21.0
1576773597.2401428,325,-15.0
1576773607.3971431,326,-20.0
1576773620.8651454,327,-17.0
1576773672.6622434,330,-18.0
1576773809.7776027,339,-18.0
1576773852.2716305,341,-19.0
1576773939.6853855,347,-20.0
1576774021.4712448,353,-20.0
1576774033.8258345,354,-21.0
1576774145.2075348,360,-17.0
1576774203.329302,363,-19.0
1576774274.0732403,367,-21.0
1576774369.6578188,371,-16.0
1576774399.9757338,373,-19.0
1576774477.4887347,377,-19.0
1576774499.719257,378,-16.0
1576774525.0724218,379,-16.0
1576774572.6933098,381,-19.0
1576774687.5366583,386,-18.0
1576774822.0344644,391,-17.0
1576774855.784456,392,-13.0
1576774875.7061448,393,-18.0
1576775172.9988446,408,-21.0
1576775285.3660283,415,-19.0
1576775400.326401,421,-15.0
1576775425.2167373,422,-14.0
1576775469.0206218,424,-19.0
1576775519.3963964,426,-13.0
1576775621.3623235,430,-18.0
1576775810.4506059,439,-20.0
1576775870.1921144,441,-13.0
1576775897.2436311,442,-15.0
1576775970.1505127,445,-16.0
1576776090.2837336,451,-16.0
1576776258.8465254,459,-18.0
1576776269.4148054,460,-21.0
1576776317.15346,463,-20.0
1576776338.8713899,464,-17.0
1576776502.2436693,473,-18.0
1576776521.2323203,474,-16.0
1576776726.5539541,485,-19.0
1576776778.89549,488,-20.0
1576776801.1076913,489,-15.0
1576776826.7417293,491,-21.0
1576776855.6441722,493,-18.0
1576777112.661945,507,-15.0
1576777200.8130898,512,-18.0
1576777227.7884884,514,-20.0
1576777269.2119327,517,-18.0
1576777295.643234,519,-20.0
1576777378.0591376,524,-18.0
1576777390.4250927,525,-21.0
1576777490.1743948,531,-21.0
1576777523.6296356,533,-21.0
1576777538.5459957,534,-21.0
1576777565.8875763,536,-20.0
1576777580.1672738,537,-20.0
1576777613.11964,540,-19.0
1576777639.1299326,542,-19.0
1576777710.3774915,547,-20.0
1576777724.7963204,548,-18.0
1576777833.069309,557,-20.0
1576777852.4275572,559,-20.0
1576777881.0615158,563,-21.0
1576777888.937898,564,-21.0
1576777896.1994889,565,-21.0
1576777925.2205126,569,-21.0
1576777960.560852,573,-18.0
1576777969.3305593,574,-20.0
1576778000.0353584,577,-16.0
1576778029.1091733,579,-17.0
1576778047.5276318,580,-14.0
1576778058.8657007,581,-18.0
1576778069.5226097,582,-21.0
1576778081.8914123,583,-21.0
1576778095.2969446,584,-18.0
1576778125.3653831,586,-20.0
1576778140.366073,587,-17.0
1576778212.589448,592,-15.0
1576778229.6014447,593,-19.0
1576778298.595565,597,-19.0
1576778342.5338695,600,-19.0
1576778372.1012197,602,-16.0
1576778444.0617409,608,-19.0
1576778469.2395115,610,-18.0
1576778528.2052674,615,-19.0
1576778585.7312877,619,-19.0
1576778595.0444007,620,-20.0
1576778615.7515717,622,-19.0
1576778805.336451,634,-21.0
1576778905.8416307,641,-21.0
1576778918.783714,642,-18.0
1576778944.30345,644,-20.0
1576778963.182854,645,-14.0
1576778974.6789236,646,-18.0
1576778987.4036365,647,-19.0
1576779017.4868906,649,-18.0
1576779057.8844802,652,-20.0
1576779122.6162088,656,-16.0
1576779140.4043736,657,-18.0
1576779189.1835952,661,-20.0
1576779214.640861,664,-20.0
1576779252.7853653,668,-20.0
1576779276.2075644,671,-19.0
1576779282.3345842,672,-21.0
1576779288.4675457,673,-21.0
1576779299.4923396,674,-20.0
1576779312.9630635,675,-20.0
1576779337.9412496,677,-18.0
1576779347.9013338,678,-20.0
1576779364.6037133,679,-16.0
1576779411.5499637,682,-19.0
1576779428.8549452,683,-15.0
1576779439.395164,684,-18.0
1576779466.0559282,686,-16.0
1576779496.1853764,688,-17.0
1576779504.9576118,689,-21.0
1576779607.4489672,696,-17.0
1576779645.5261116,699,-18.0
1576779690.7372897,703,-20.0
1576779722.2213628,706,-17.0
1576779747.3918366,708,-15.0
1576779772.7589622,710,-20.0
1576779822.78045,714,-18.0
1576779873.5963347,718,-20.0
1576779897.6914194,721,-21.0
1576779907.7159815,722,-19.0
1576779914.830948,723,-20.0
1576779921.132844,724,-21.0
1576779976.2860093,730,-21.0
1576780017.543121,736,-21.0
1576780029.767458,738,-21.0
1576780035.8344061,739,-21.0
1576780074.536918,743,-18.0
1576780107.6373866,746,-18.0
1576780115.125603,747,-21.0
1576780149.0695426,750,-19.0
1576780160.301535,751,-20.0
1576780169.1632135,752,-21.0
1576780192.8437095,754,-21.0
1576780224.148121,756,-17.0
1576780315.4693348,762,-19.0
1576780361.31737,765,-16.0
1576780376.0474942,766,-19.0
1576780414.7936215,769,-21.0
1576780420.886118,770,-21.0
1576780426.9038818,771,-21.0
1576780454.6148174,773,-15.0
1576780469.236022,774,-13.0
1576780533.8717701,780,-21.0
1576780558.2078469,784,-21.0
1576780564.2440457,785,-21.0
1576780576.3004804,787,-21.0
