Wall time,Step,Value
1577455046.6361072,0,-20.0
1577455068.889183,5,-21.0
1577455101.2814186,10,-19.0
1577455123.8945997,15,-21.0
1577455155.1828456,20,-21.0
1577455189.6936255,25,-21.0
1577455214.5797262,30,-21.0
1577455251.4352007,35,-21.0
1577455275.3380888,40,-20.0
1577455308.017458,45,-20.0
1577455342.1507487,50,-21.0
1577455363.9805171,55,-21.0
1577455394.925985,60,-21.0
1577455416.293411,65,-21.0
1577455453.8952043,70,-21.0
1577455476.8330317,75,-21.0
1577455512.037984,80,-20.0
1577455547.370246,85,-19.0
1577455570.8161898,90,-20.0
1577455605.6804235,95,-21.0
1577455644.9030728,100,-19.0
1577455670.3108172,105,-21.0
1577455705.9170885,110,-19.0
1577455730.4316478,115,-21.0
1577455767.9630098,120,-20.0
1577455816.730388,125,-21.0
1577455844.0140853,130,-21.0
1577455880.5846708,135,-19.0
1577455931.0949922,140,-21.0
1577455976.4997473,145,-21.0
1577456052.4810495,150,-19.0
1577456127.1883938,155,-17.0
1577456224.102984,160,-16.0
1577456329.650097,165,-19.0
1577456404.7239878,170,-20.0
1577456482.559064,175,-19.0
1577456557.2395358,180,-17.0
1577456671.6937454,185,-14.0
1577456767.401311,190,-15.0
1577456894.5157762,195,-13.0
1577456967.8225482,200,-16.0
1577457093.3655827,205,-12.0
1577457260.0310025,210,-16.0
1577457398.267346,215,-19.0
1577457502.406025,220,-19.0
1577457619.3411639,225,-21.0
1577457760.1919675,230,-14.0
1577457866.0010934,235,-15.0
1577457984.5677192,240,-17.0
1577458078.1778455,245,-13.0
1577458211.354553,250,-12.0
1577458344.9345107,255,-15.0
1577458439.593168,260,-19.0
1577458548.6040063,265,-14.0
1577458648.5218399,270,-15.0
1577458871.5855122,275,-10.0
1577459039.5073547,280,-7.0
1577459139.9286163,285,-15.0
1577459354.199123,290,-15.0
1577459454.8181078,295,-17.0
1577459673.0914176,300,-11.0
1577459865.6137865,305,-12.0
1577460035.7519321,310,-10.0
1577460179.9932547,315,-10.0
1577460403.3555632,320,-16.0
1577460562.2908342,325,-21.0
1577460754.2209253,330,-11.0
1577460939.8683813,335,-11.0
1577461151.0945942,340,-19.0
1577461336.64736,345,-16.0
1577461503.342676,350,-17.0
1577461650.2856414,355,-16.0
1577461804.12319,360,-18.0
1577461983.0754054,365,-13.0
1577462214.6890018,370,-16.0
1577462407.3597143,375,-14.0
1577462560.0212533,380,-11.0
1577462720.957341,385,-18.0
1577462891.5473025,390,-9.0
1577463092.922876,395,-14.0
1577463191.2569318,400,-16.0
1577463362.478671,405,-15.0
1577463562.8390996,410,-12.0
1577463752.8223796,415,-10.0
1577463909.8759227,420,-17.0
1577464056.436003,425,-15.0
1577464220.1802619,430,-14.0
1577464374.2174177,435,-17.0
1577464539.8203218,440,-15.0
1577464712.0566216,445,-12.0
1577464963.298625,450,-12.0
1577465129.0643778,455,-11.0
1577465314.360239,460,-13.0
1577465587.6351979,465,-20.0
1577465739.2570088,470,-12.0
1577465897.463412,475,-17.0
1577466047.4126146,480,-15.0
1577466221.7033305,485,-18.0
1577466380.113818,490,-12.0
1577466570.505343,495,-12.0
1577466730.1912186,500,-17.0
1577466811.6443968,505,-21.0
1577466965.958385,510,-18.0
1577467130.3599024,515,-13.0
1577467261.568381,520,-18.0
1577467412.1624925,525,-16.0
1577467602.384052,530,-12.0
1577467795.6757548,535,-13.0
1577467960.8058486,540,-10.0
1577468119.9979773,545,-18.0
1577468279.1983354,550,-9.0
1577468453.5742097,555,-10.0
1577468625.3617957,560,-19.0
1577468791.4995615,565,-10.0
1577468947.591018,570,-14.0
1577469196.0039902,575,-18.0
1577469386.5017495,580,-10.0
1577469616.9146545,585,-17.0
1577469808.5620584,590,-14.0
1577469970.2582269,595,-11.0
1577470204.425918,600,-14.0
1577470404.9667852,605,-13.0
1577470646.056194,610,-19.0
1577470823.6860025,615,-13.0
1577470990.1021821,620,-20.0
1577471144.289849,625,-13.0
1577471384.0861902,630,-11.0
1577471590.2644005,635,-16.0
1577471742.1666284,640,-17.0
1577471917.5137405,645,-10.0
1577472133.4874074,650,-17.0
1577472318.183316,655,-16.0
1577472489.5399415,660,-13.0
1577472640.5247865,665,-12.0
1577472799.2527335,670,-15.0
1577472960.9999063,675,-14.0
1577473131.8792548,680,-14.0
1577473372.582674,685,-14.0
1577473621.8813753,690,-14.0
1577473824.7258677,695,-12.0
1577474032.7560513,700,-15.0
1577474189.484957,705,-19.0
1577474365.4921014,710,-19.0
1577474536.6633534,715,-14.0
1577474692.9591994,720,-12.0
1577474902.1616058,725,-9.0
1577475131.3512542,730,-11.0
1577475372.093332,735,-6.0
1577475519.6054244,740,-17.0
1577475691.9740596,745,-17.0
1577475896.5927527,750,-12.0
1577476049.3715098,755,-15.0
1577476274.016909,760,-9.0
1577476437.3063364,765,-14.0
1577476597.4747498,770,-14.0
1577476820.3836427,775,-13.0
1577476979.4889908,780,-14.0
1577477159.9330301,785,-8.0
1577477378.3059561,790,-11.0
1577477557.4281735,795,-11.0
1577477699.3889453,800,-18.0
1577477877.6680703,805,-15.0
1577478037.9787595,810,-11.0
1577478276.1265724,815,-14.0
1577478432.9836926,820,-19.0
1577478627.2233686,825,-10.0
1577478802.6414015,830,-18.0
1577479023.0208251,835,-7.0
1577479232.4617078,840,-16.0
1577479408.247157,845,-9.0
1577479634.3232832,850,-13.0
1577479814.6863148,855,-11.0
1577480034.5259757,860,-11.0
1577480217.683112,865,-7.0
1577480483.0579536,870,-5.0
1577480616.3397257,875,-16.0
1577480772.0200305,880,-19.0
1577480941.8171868,885,-17.0
1577481091.051142,890,-14.0
1577481331.7269266,895,-11.0
1577481481.1120694,900,-15.0
1577481657.0872774,905,-10.0
1577481852.220872,910,-9.0
1577482116.330756,915,-14.0
1577482321.2182243,920,-19.0
1577482493.604358,925,-14.0
1577482738.949337,930,-14.0
1577482947.2269065,935,-13.0
1577483186.79943,940,-10.0
1577483340.3215892,945,-16.0
1577483518.6568952,950,-11.0
1577483690.4692078,955,-15.0
1577483913.7716289,960,-16.0
1577484084.7617888,965,-15.0
1577484251.869202,970,-7.0
1577484410.0605044,975,-14.0
1577484578.332537,980,-14.0
1577484839.3864455,985,-14.0
1577484991.0444016,990,-16.0
1577485185.7169008,995,-5.0
1577485406.5843618,1000,-13.0
1577485589.7180042,1005,-16.0
1577485779.8360178,1010,-13.0
1577486011.79239,1015,-8.0
1577486178.138926,1020,-14.0
1577486372.1130195,1025,-11.0
1577486604.1581392,1030,-8.0
1577486808.726953,1035,-12.0
1577487045.7573,1040,-10.0
1577487236.3537083,1045,-9.0
1577487473.624414,1050,-5.0
1577487679.0043178,1055,-10.0
1577487845.0205088,1060,-11.0
1577487981.106971,1065,-18.0
1577488148.7243993,1070,-13.0
1577488333.6743746,1075,-10.0
1577488498.2187567,1080,-15.0
1577488730.688737,1085,-8.0
1577488970.4260335,1090,-14.0
1577489144.9529083,1095,-17.0
1577489393.874189,1100,-12.0
1577489571.7624226,1105,-11.0
1577489750.5598154,1110,-19.0
1577489939.8455834,1115,-12.0
1577490098.1980007,1120,-10.0
1577490282.8735027,1125,-10.0
1577490390.2467844,1130,-15.0
1577490546.8711562,1135,-13.0
1577490743.2024417,1140,-10.0
1577490927.914007,1145,-17.0
1577491143.0705514,1150,-10.0
1577491330.01694,1155,-15.0
1577491541.2304657,1160,-10.0
1577491799.1883721,1165,-13.0
1577492062.6087463,1170,-12.0
1577492299.1136177,1175,-9.0
1577492501.9485033,1180,-10.0
1577492737.9223576,1185,-11.0
1577492933.7433486,1190,-5.0
1577493110.5938823,1195,-11.0
1577493282.4346316,1200,-14.0
1577493509.8852696,1205,-12.0
1577493724.55196,1210,-9.0
1577493985.5692985,1215,-15.0
1577494243.6291413,1220,-6.0
1577494439.2408683,1225,-4.0
1577494682.9734044,1230,-5.0
1577494882.5006843,1235,-8.0
1577495154.9556031,1240,-8.0
1577495314.6532443,1245,-15.0
1577495470.3261604,1250,-8.0
1577495623.4109223,1255,-15.0
1577495768.2075286,1260,-14.0
1577495915.5730712,1265,-10.0
1577496115.6482067,1270,-3.0
1577496394.2895026,1275,-13.0
1577496616.974911,1280,-9.0
1577496803.7558506,1285,-10.0
1577497003.4050999,1290,-12.0
1577497236.264102,1295,-10.0
1577497412.7961874,1300,-13.0
1577497586.4418087,1305,-13.0
1577497774.2379782,1310,-16.0
1577498037.0203717,1315,-5.0
1577498240.3882546,1320,-16.0
1577498462.759775,1325,-13.0
1577498648.6715007,1330,-8.0
1577498922.16066,1335,-12.0
1577499121.7048042,1340,-11.0
1577499378.0399055,1345,-12.0
1577499700.2204893,1350,-12.0
1577500004.500832,1355,-15.0
1577500328.43156,1360,-18.0
1577500601.8869505,1365,-13.0
1577500892.3687518,1370,-7.0
1577501185.081146,1375,-13.0
1577501369.4492972,1380,-14.0
1577501561.4869401,1385,-13.0
1577501788.7254996,1390,1.0
1577502040.1380756,1395,-12.0
1577502205.1750526,1400,-12.0
1577502363.3055623,1405,-16.0
1577502548.7907665,1410,-7.0
1577502792.2907948,1415,-4.0
1577503062.758372,1420,-1.0
1577503279.0191689,1425,-13.0
1577503653.6316128,1430,1.0
1577503896.1081142,1435,-8.0
1577504089.4955256,1440,-7.0
1577504252.012137,1445,-14.0
1577504493.8918254,1450,-16.0
1577504678.5547976,1455,-12.0
1577504868.594862,1460,-9.0
1577505066.5103364,1465,-7.0
1577505233.1750715,1470,-12.0
1577505319.961302,1475,-18.0
1577505473.4571505,1480,-13.0
1577505732.665386,1485,-5.0
1577505989.3254678,1490,-8.0
1577506186.0797272,1495,-7.0
1577506449.4256568,1500,-11.0
1577506637.68766,1505,-6.0
1577506858.6216173,1510,-11.0
1577507037.7679887,1515,-10.0
1577507273.1856802,1520,-9.0
1577507447.3620691,1525,-15.0
1577507613.5645907,1530,-13.0
1577507852.4032643,1535,-15.0
1577508016.2161493,1540,-18.0
1577508190.990916,1545,-9.0
1577508434.733847,1550,-5.0
1577508613.5858545,1555,-16.0
1577508855.4132695,1560,-10.0
1577509066.3342552,1565,-3.0
1577509233.8251112,1570,-12.0
1577509455.4893937,1575,-6.0
1577509658.7427897,1580,-3.0
1577509905.4265485,1585,-11.0
1577510116.4137623,1590,-10.0
1577510384.3370779,1595,-18.0
1577510556.5012453,1600,1.0
1577510718.7648802,1605,-10.0
