Wall time,Step,Value
1577455054.3166072,0,-20.0
1577455091.4845848,5,-21.0
1577455142.1124723,10,-21.0
1577455178.9095736,15,-20.0
1577455217.2627988,20,-21.0
1577455260.6124568,25,-20.0
1577455290.8356628,30,-21.0
1577455331.3234797,35,-21.0
1577455365.3665917,40,-21.0
1577455413.1353197,45,-21.0
1577455450.529824,50,-20.0
1577455482.4059198,55,-21.0
1577455524.1275377,60,-20.0
1577455556.7466283,65,-20.0
1577455595.8572896,70,-19.0
1577455619.573262,75,-21.0
1577455659.0938833,80,-19.0
1577455691.5695567,85,-21.0
1577455715.9969072,90,-21.0
1577455751.8360555,95,-21.0
1577455792.805336,100,-21.0
1577455820.818103,105,-21.0
1577455862.946833,110,-19.0
1577455925.5308475,115,-19.0
1577455967.8929179,120,-21.0
1577456031.4213223,125,-14.0
1577456084.9168277,130,-21.0
1577456135.3445225,135,-21.0
1577456188.2319455,140,-21.0
1577456255.1855578,145,-17.0
1577456323.679191,150,-21.0
1577456424.0123687,155,-16.0
1577456579.4554052,160,-13.0
1577456687.6415958,165,-18.0
1577456769.1801198,170,-17.0
1577456890.9919853,175,-19.0
1577457010.5815578,180,-18.0
1577457156.0697088,185,-13.0
1577457244.5184326,190,-18.0
1577457385.450579,195,-21.0
1577457493.7133555,200,-18.0
1577457614.7201228,205,-14.0
1577457726.9191155,210,-17.0
1577457850.8586104,215,-18.0
1577458034.868682,220,-17.0
1577458186.6404533,225,-14.0
1577458278.2340906,230,-20.0
1577458371.659888,235,-21.0
1577458491.1239152,240,-16.0
1577458595.095316,245,-15.0
1577458743.0359635,250,-17.0
1577458842.045184,255,-14.0
1577458984.5934448,260,-14.0
1577459101.9689503,265,-21.0
1577459220.7898126,270,-20.0
1577459326.9143572,275,-16.0
1577459503.940278,280,-19.0
1577459662.996303,285,-11.0
1577459861.9338696,290,-16.0
1577459943.7559373,295,-15.0
1577460105.9112532,300,-17.0
1577460319.0384274,305,-17.0
1577460517.5714693,310,-17.0
1577460623.8202572,315,-15.0
1577460774.264296,320,-15.0
1577460948.500039,325,-19.0
1577461032.7967072,330,-17.0
1577461202.839958,335,-14.0
1577461316.0651965,340,-14.0
1577461491.0666463,345,-13.0
1577461672.2100973,350,-16.0
1577461822.946533,355,-18.0
1577461972.2948537,360,-17.0
1577462075.7267566,365,-15.0
1577462204.6318119,370,-16.0
1577462374.5730793,375,-15.0
1577462476.16228,380,-20.0
1577462597.4062672,385,-12.0
1577462762.818457,390,-14.0
1577462967.6414795,395,-10.0
1577463086.0615392,400,-11.0
1577463249.253286,405,-19.0
1577463433.59476,410,-15.0
1577463642.0779724,415,-16.0
1577463865.036953,420,-18.0
1577464217.368895,425,-14.0
1577464424.5120213,430,-15.0
1577464492.706058,435,-18.0
1577464634.0591114,440,-15.0
1577464786.8045192,445,-17.0
1577464954.2609227,450,-11.0
1577465182.8411682,455,-17.0
1577465246.4051569,460,-17.0
1577465356.9148147,465,-20.0
1577465433.0867028,470,-16.0
1577465641.4429789,475,-15.0
1577465879.2565422,480,-15.0
1577466072.9880877,485,-17.0
1577466330.2245088,490,-13.0
1577466649.43938,495,-15.0
1577466959.1572523,500,-16.0
1577467352.6631591,505,-17.0
1577467597.6348891,510,-17.0
1577467837.6283524,515,-17.0
1577468055.4556363,520,-17.0
1577468318.9313705,525,-16.0
1577468559.7511082,530,-16.0
1577468942.80422,535,-17.0
1577469127.1077566,540,-17.0
1577469453.8018599,545,-9.0
1577469678.6336067,550,-15.0
1577469892.612575,555,-11.0
1577470166.8879652,560,-19.0
1577470342.3526514,565,-7.0
1577470554.3112738,570,-14.0
1577470790.8849432,575,-20.0
1577470970.865298,580,-15.0
1577471281.8888814,585,-10.0
1577471563.4128678,590,-12.0
1577471820.5930212,595,-16.0
1577472128.0586288,600,-21.0
1577472462.928744,605,-18.0
1577472817.404034,610,-12.0
1577473105.4089258,615,-15.0
1577473444.8342469,620,-11.0
1577473735.7269607,625,-11.0
1577473920.1386392,630,-13.0
1577474173.329264,635,-17.0
1577474495.3059943,640,-18.0
1577474787.632861,645,-15.0
1577475127.1848953,650,-16.0
1577475317.997387,655,-17.0
1577475507.870836,660,-16.0
1577475828.0414035,665,-9.0
1577476167.8776686,670,-20.0
1577476453.1657872,675,-14.0
1577476675.0412152,680,-15.0
1577476853.4352283,685,-18.0
1577477020.916025,690,-13.0
1577477269.7790182,695,-17.0
1577477596.5577624,700,-11.0
1577477912.6903944,705,-11.0
1577478261.7011583,710,-13.0
1577478564.5926535,715,-15.0
1577478736.7222798,720,-14.0
1577478929.4561653,725,-18.0
1577479281.045788,730,-12.0
1577479629.6706705,735,-10.0
1577479883.811601,740,-15.0
1577480231.7978308,745,-11.0
1577480482.919654,750,-14.0
1577480677.8287683,755,-13.0
1577480892.4849076,760,-15.0
1577481115.0007062,765,-20.0
1577481398.582374,770,-17.0
1577481696.467725,775,-16.0
1577481996.8373594,780,-10.0
1577482238.8018215,785,-16.0
