Wall time,Step,Value
1577455055.0237377,0,-19.0
1577455087.4655793,5,-20.0
1577455131.5694177,10,-21.0
1577455178.9747517,15,-20.0
1577455215.6694608,20,-21.0
1577455257.017935,25,-21.0
1577455288.7309954,30,-21.0
1577455331.0939488,35,-21.0
1577455360.0199091,40,-21.0
1577455399.251005,45,-21.0
1577455439.4672003,50,-21.0
1577455470.7901394,55,-21.0
1577455513.8835492,60,-21.0
1577455545.1397483,65,-20.0
1577455584.733026,70,-21.0
1577455620.9954863,75,-21.0
1577455663.300564,80,-21.0
1577455704.60686,85,-21.0
1577455744.6931555,90,-21.0
1577455789.756315,95,-21.0
1577455833.8645964,100,-21.0
1577455877.982655,105,-21.0
1577455934.0174737,110,-20.0
1577455998.3888528,115,-19.0
1577456062.9656987,120,-20.0
1577456136.3538253,125,-18.0
1577456174.2409372,130,-21.0
1577456223.8696377,135,-20.0
1577456278.8137684,140,-21.0
1577456348.3736293,145,-19.0
1577456417.9673564,150,-20.0
1577456511.6659198,155,-21.0
1577456596.922008,160,-20.0
1577456679.8969276,165,-18.0
1577456805.9889915,170,-16.0
1577456945.0933485,175,-18.0
1577457051.0434155,180,-19.0
1577457187.0120666,185,-18.0
1577457300.45683,190,-16.0
1577457461.2373757,195,-17.0
1577457634.911392,200,-20.0
1577457814.1330283,205,-18.0
1577457920.8428075,210,-20.0
1577458063.374224,215,-19.0
1577458193.288783,220,-18.0
1577458319.4703016,225,-15.0
1577458427.8313758,230,-17.0
1577458588.2432454,235,-16.0
1577458751.098047,240,-15.0
1577458869.114446,245,-17.0
1577459052.6980016,250,-15.0
1577459222.5569777,255,-16.0
1577459314.130715,260,-18.0
1577459494.280618,265,-18.0
1577459625.8454878,270,-15.0
1577459802.15562,275,-17.0
1577459972.5399625,280,-18.0
1577460113.3467765,285,-14.0
1577460307.1570117,290,-16.0
1577460491.9404514,295,-18.0
1577460649.2651458,300,-20.0
1577460759.9787483,305,-19.0
1577460947.930293,310,-17.0
1577461132.1109922,315,-15.0
1577461317.603548,320,-19.0
1577461496.2477443,325,-14.0
1577461653.0600119,330,-17.0
1577461788.7981966,335,-14.0
1577461939.5535495,340,-17.0
1577462048.7619605,345,-21.0
1577462214.8421364,350,-16.0
1577462397.615917,355,-18.0
1577462584.0522823,360,-19.0
1577462759.3636138,365,-15.0
1577462925.9252017,370,-14.0
1577463108.303243,375,-13.0
1577463283.2149842,380,-16.0
1577463462.9621356,385,-18.0
1577463578.1824443,390,-16.0
1577463687.978605,395,-20.0
1577463849.0949292,400,-19.0
1577464011.0841818,405,-14.0
1577464195.3783658,410,-21.0
1577464306.4398863,415,-19.0
1577464401.2542536,420,-19.0
1577464553.9562645,425,-18.0
1577464722.858213,430,-19.0
