Wall time,Step,Value
1577455058.5018606,0,-21.0
1577455102.8011081,5,-20.0
1577455163.5788143,10,-20.0
1577455205.2700384,15,-21.0
1577455262.2658658,20,-20.0
1577455316.104819,25,-21.0
1577455360.0598927,30,-21.0
1577455415.5942636,35,-21.0
1577455476.8775332,40,-20.0
1577455519.002468,45,-21.0
1577455573.873907,50,-21.0
1577455617.9734302,55,-21.0
1577455677.1798785,60,-19.0
1577455734.2101781,65,-19.0
1577455779.2977912,70,-20.0
1577455839.3784275,75,-20.0
1577455894.3970463,80,-21.0
1577455941.8835108,85,-20.0
1577456010.401196,90,-20.0
1577456069.858252,95,-20.0
1577456124.0622432,100,-19.0
1577456183.7539172,105,-19.0
1577456253.2304285,110,-21.0
1577456295.6698258,115,-21.0
1577456370.5808089,120,-21.0
1577456435.7543402,125,-21.0
1577456522.9488611,130,-16.0
1577456640.226905,135,-19.0
1577456732.1622984,140,-20.0
1577456854.4697247,145,-19.0
1577456999.0307972,150,-15.0
1577457106.6802905,155,-20.0
1577457218.0097373,160,-19.0
1577457341.3900623,165,-14.0
1577457490.753619,170,-14.0
1577457617.2116966,175,-17.0
1577457725.047758,180,-19.0
1577457841.4538245,185,-17.0
1577458008.5470953,190,-16.0
1577458148.8166287,195,-18.0
1577458262.9000049,200,-21.0
1577458417.8120089,205,-12.0
1577458530.97357,210,-20.0
1577458616.912727,215,-19.0
1577458727.6170626,220,-19.0
1577458822.6057627,225,-20.0
1577458981.9472716,230,-16.0
1577459067.2460966,235,-20.0
1577459170.685265,240,-17.0
1577459300.0304668,245,-15.0
1577459492.0757809,250,-12.0
1577459648.860049,255,-20.0
1577459760.7639184,260,-18.0
1577459886.983354,265,-18.0
1577459997.7129061,270,-16.0
1577460128.7544515,275,-19.0
1577460233.1385777,280,-19.0
1577460339.5052114,285,-17.0
1577460467.4617648,290,-13.0
1577460621.954175,295,-19.0
1577460823.5652192,300,-15.0
1577460976.2400315,305,-16.0
1577461188.5228584,310,-17.0
1577461370.2855866,315,-11.0
1577461546.4297047,320,-18.0
1577461665.741795,325,-20.0
1577461863.4635522,330,-16.0
1577462017.5621986,335,-13.0
1577462200.055545,340,-14.0
1577462358.1712492,345,-17.0
1577462519.713064,350,-17.0
1577462728.082822,355,-18.0
1577462916.1360407,360,-15.0
1577463146.7183416,365,-16.0
1577463378.2162466,370,-18.0
1577463582.4015257,375,-11.0
1577463794.4135683,380,-16.0
1577464016.2447364,385,-14.0
1577464223.7217526,390,-17.0
1577464469.408315,395,-12.0
1577464656.2501857,400,-19.0
1577464882.5648494,405,-15.0
1577465040.1925185,410,-16.0
1577465212.2902744,415,-17.0
1577465433.706933,420,-13.0
1577465661.3096302,425,-16.0
1577465814.028415,430,-19.0
1577466038.0562189,435,-11.0
1577466361.9315462,440,-18.0
1577466542.1468558,445,-17.0
1577466797.191701,450,-21.0
1577467000.0757763,455,-15.0
1577467257.869984,460,-10.0
1577467501.058451,465,-17.0
1577467815.617868,470,-14.0
1577468014.3469086,475,-14.0
1577468324.0370567,480,-18.0
1577468673.3586512,485,-13.0
1577468805.41046,490,-18.0
1577468907.9181926,495,-19.0
1577469183.8653836,500,-18.0
1577469349.7323542,505,-19.0
1577469667.7060418,510,-17.0
1577469925.8446674,515,-16.0
1577470267.4595115,520,-20.0
1577470350.3358314,525,-19.0
1577470419.586196,530,-20.0
1577470786.1394415,535,-13.0
1577471061.7133563,540,-14.0
1577471261.9931185,545,-16.0
1577471482.8293989,550,-17.0
1577471688.5760293,555,-17.0
1577471913.095248,560,-11.0
1577472137.7204416,565,-17.0
1577472491.9462144,570,-12.0
1577472905.0827198,575,-6.0
1577473333.0252035,580,-9.0
1577473710.617017,585,-18.0
1577474012.713195,590,-17.0
1577474258.63835,595,-13.0
1577474583.139789,600,-3.0
1577474806.9087596,605,-16.0
