Wall time,Step,Value
1576614775.8694596,0,824.0
1576614818.1812568,1,966.0
1576614848.8452811,2,811.0
1576614865.7073703,3,857.0
1576614896.7882316,4,899.0
1576614928.1181076,5,991.0
1576614961.581515,6,1011.0
1576614993.012575,7,967.0
1576615025.4375818,8,861.0
1576615056.7553887,9,960.0
1576615073.990661,10,828.0
1576615104.8287656,11,827.0
1576615137.6227188,12,865.0
1576615168.6299038,13,837.0
1576615185.971355,14,933.0
1576615217.252088,15,827.0
1576615249.2606838,16,1141.0
1576615280.005149,17,777.0
1576615313.7520323,18,1162.0
1576615345.017978,19,897.0
1576615378.2088137,20,827.0
1576615395.2403624,21,855.0
1576615426.6044593,22,925.0
1576615457.7016337,23,856.0
1576615474.5147576,24,777.0
1576615521.553869,25,1072.0
1576615553.5473893,26,1087.0
1576615571.0780506,27,837.0
1576615602.7564297,28,872.0
1576615633.830911,29,811.0
1576615665.3869545,30,977.0
1576615682.3288572,31,811.0
1576615713.7656388,32,869.0
1576615745.791245,33,1072.0
1576615777.120691,34,837.0
1576615809.7989542,35,959.0
1576615841.6359863,36,1054.0
1576615873.2610574,37,968.0
1576615905.345264,38,1116.0
1576615936.5429664,39,869.0
1576615967.8033438,40,871.0
1576615985.5188901,41,916.0
1576616016.6660547,42,845.0
1576616048.86544,43,809.0
1576616065.7767148,44,809.0
1576616119.9358256,45,918.0
1576616152.2347472,46,901.0
1576616183.1085968,47,811.0
1576616200.0381536,48,811.0
1576616230.9003909,49,809.0
1576616247.735731,50,777.0
1576616279.7091181,51,960.0
1576616311.5197535,52,1048.0
1576616342.2905154,53,809.0
1576616374.1837232,54,749.0
1576616405.7627885,55,1009.0
1576616422.8619308,56,855.0
1576616459.765633,57,930.0
1576616491.0793815,58,899.0
1576616522.6211858,59,1007.0
1576616555.1794496,60,948.0
1576616587.41697,61,1186.0
1576616618.5072806,62,888.0
1576616650.8344028,63,888.0
1576616682.045516,64,931.0
1576616699.1090746,65,855.0
1576616749.8493056,66,1446.0
1576616806.4092631,67,950.0
1576616854.475171,68,1407.0
1576616894.4172494,69,1248.0
1576616943.5666168,70,1064.0
1576616998.4748561,71,1026.0
1576617030.268345,72,1047.0
1576617063.0720804,73,1037.0
1576617095.791115,74,855.0
1576617130.2382843,75,1196.0
1576617165.0620916,76,977.0
1576617199.0293238,77,1061.0
1576617235.3090453,78,1220.0
1576617283.6879911,79,1226.0
1576617316.0622628,80,929.0
1576617349.625738,81,1101.0
1576617383.1620648,82,1085.0
1576617418.075026,83,1054.0
1576617511.470117,84,1406.0
1576617545.2141793,85,1019.0
1576617623.7913864,86,960.0
1576617660.7206864,87,1012.0
1576617693.4577045,88,809.0
1576617711.4884863,89,871.0
1576617763.8235762,90,1000.0
1576617812.0058556,91,1118.0
1576617880.1483595,92,1376.0
1576617932.230404,93,1228.0
1576617969.9599495,94,1087.0
1576618017.781144,95,1000.0
1576618053.8048975,96,1229.0
1576618117.3871248,97,1262.0
1576618187.3447292,98,809.0
1576618244.048128,99,1372.0
1576618321.6217234,100,933.0
1576618371.8710494,101,1207.0
1576618432.5154488,102,1191.0
1576618560.3447247,103,1753.0
1576618594.6102834,104,1269.0
1576618630.6541634,105,905.0
1576618757.1109889,106,2118.0
1576618814.6170228,107,1363.0
1576618853.2026057,108,1323.0
1576619076.8677783,109,1597.0
1576619206.990833,110,1696.0
1576619347.7675493,111,1950.0
1576619508.725134,112,1703.0
1576619594.0670958,113,1476.0
1576619735.594461,114,1664.0
1576620177.3134887,115,2629.0
1576620504.5895529,116,2675.0
1576620764.5946531,117,2358.0
1576620999.584246,118,1902.0
1576621291.7138598,119,2113.0
1576621541.216643,120,2048.0
1576621819.600142,121,2563.0
1576622051.8306892,122,1933.0
1576622482.7936652,123,2220.0
1576622807.5454202,124,2762.0
