Wall time,Step,Value
1576614785.8700154,0,777.0
1576614818.2790308,1,768.0
1576614853.168449,2,1349.0
1576614886.7382984,3,777.0
1576614920.487641,4,1080.0
1576614954.6339781,5,1011.0
1576614988.158083,6,978.0
1576615021.2733328,7,869.0
1576615039.3916187,8,858.0
1576615073.3322215,9,749.0
1576615106.268297,10,811.0
1576615125.6492229,11,809.0
1576615158.7619205,12,811.0
1576615217.2804315,13,960.0
1576615235.4573278,14,827.0
1576615270.0469275,15,1009.0
1576615305.9983876,16,1056.0
1576615339.994292,17,975.0
1576615374.7223253,18,797.0
1576615426.2829664,19,1390.0
1576615459.819081,20,867.0
1576615478.6007192,21,946.0
1576615512.5088165,22,972.0
1576615547.2835858,23,870.0
1576615582.6348553,24,983.0
1576615617.198038,25,1132.0
1576615650.9202397,26,887.0
1576615688.0260375,27,1114.0
1576615721.8419993,28,889.0
1576615755.6014478,29,887.0
1576615789.371456,30,927.0
1576615807.7459698,31,828.0
1576615857.306264,32,1153.0
1576615875.7346888,33,838.0
1576615909.2886298,34,875.0
1576615943.366091,35,995.0
1576615976.7165244,36,827.0
1576616010.4031632,37,919.0
1576616044.1755393,38,945.0
1576616062.8257833,39,949.0
1576616100.770876,40,749.0
1576616133.8935466,41,809.0
1576616152.4484577,42,904.0
1576616206.598919,43,1161.0
1576616241.6255364,44,1041.0
1576616275.897944,45,1143.0
1576616309.475587,46,974.0
1576616343.1860456,47,984.0
1576616377.4792943,48,1145.0
1576616410.700198,49,837.0
1576616444.6767375,50,1024.0
1576616477.6706793,51,809.0
1576616495.9679818,52,872.0
1576616529.1103504,53,871.0
1576616563.2139916,54,1095.0
1576616598.8859375,55,899.0
1576616636.9860435,56,1025.0
1576616746.3500724,57,1224.0
1576616764.784661,58,931.0
1576616798.8577754,59,811.0
1576616832.9174147,60,1017.0
1576616882.66483,61,1222.0
1576616901.9992282,62,839.0
1576616935.4862533,63,933.0
1576616969.7070985,64,827.0
1576617005.946596,65,1013.0
1576617039.0714447,66,889.0
1576617057.053982,67,809.0
1576617114.9044042,68,952.0
1576617169.4485242,69,1276.0
1576617190.3537831,70,899.0
1576617247.4457364,71,869.0
1576617281.3067658,72,1056.0
1576617315.1532323,73,749.0
1576617363.0659223,74,1002.0
1576617398.012592,75,1077.0
1576617433.0952048,76,1232.0
1576617484.2522776,77,1248.0
1576617519.5403872,78,899.0
1576617554.0492885,79,1107.0
1576617587.8381722,80,906.0
1576617605.9729145,81,837.0
1576617684.0236757,82,1081.0
1576617717.67426,83,1002.0
1576617787.7637794,84,1405.0
1576617852.3761375,85,1530.0
1576617909.328854,86,899.0
1576617945.1269279,87,970.0
1576617997.3850973,88,1326.0
1576618032.2902136,89,1006.0
1576618085.7225854,90,1513.0
1576618150.9143379,91,1119.0
1576618297.6351469,92,1759.0
1576618418.450823,93,1555.0
1576618491.3373554,94,1142.0
1576618648.81865,95,1521.0
1576618748.826492,96,1552.0
1576618801.9865496,97,1597.0
1576618921.2339132,98,1175.0
1576619005.417762,99,1327.0
1576619120.9893177,100,1356.0
1576619256.7919588,101,1385.0
1576619345.3321886,102,1384.0
1576619386.8079095,103,1190.0
1576619427.8190656,104,1050.0
1576619567.4861484,105,1852.0
1576619619.4251053,106,1503.0
1576619755.971885,107,1504.0
1576619843.9782279,108,1424.0
1576619951.1744192,109,1725.0
1576620179.1681445,110,1859.0
1576620383.6241431,111,2007.0
1576620572.0634162,112,1803.0
1576620809.6441321,113,1641.0
1576621068.0111194,114,2383.0
1576621334.0729446,115,1743.0
1576621480.3722813,116,2233.0
1576621698.6354861,117,2244.0
1576621983.2497416,118,2178.0
1576622386.831489,119,2348.0
