Wall time,Step,Value
1576614812.1366327,0,869.0
1576614846.5206723,1,965.0
1576614879.4103863,2,1069.0
1576614913.342421,3,868.0
1576614948.8396745,4,828.0
1576614982.6004722,5,963.0
1576615000.7697005,6,856.0
1576615033.4886823,7,925.0
1576615065.4713438,8,870.0
1576615116.0467238,9,1027.0
1576615148.315843,10,926.0
1576615182.554944,11,1049.0
1576615219.380311,12,1059.0
1576615254.356306,13,1162.0
1576615287.0535045,14,877.0
1576615327.1434386,15,899.0
1576615360.5265908,16,1089.0
1576615393.0058491,17,809.0
1576615426.2337382,18,945.0
1576615444.4828906,19,827.0
1576615477.4194715,20,777.0
1576615509.933503,21,925.0
1576615542.7162309,22,964.0
1576615561.3310516,23,887.0
1576615594.5976462,24,977.0
1576615642.8673015,25,1089.0
1576615675.9487922,26,1007.0
1576615693.8495903,27,749.0
1576615726.7382898,28,749.0
1576615746.6298254,29,865.0
1576615779.0611675,30,898.0
1576615811.5418458,31,888.0
1576615829.6751475,32,827.0
1576615862.2227347,33,917.0
1576615894.5316167,34,886.0
1576615927.433918,35,768.0
1576615960.6878808,36,970.0
1576615993.9589214,37,976.0
1576616028.1673229,38,1038.0
1576616049.6574888,39,900.0
1576616082.9332113,40,1033.0
1576616115.3888721,41,899.0
1576616150.1457052,42,995.0
1576616184.1270514,43,990.0
1576616227.3911796,44,907.0
1576616265.2548556,45,807.0
1576616298.3980994,46,964.0
1576616331.348195,47,1009.0
1576616349.5983207,48,827.0
1576616384.6435795,49,1084.0
1576616432.8492723,50,1190.0
1576616465.5094564,51,888.0
1576616484.3281584,52,920.0
1576616517.2441566,53,960.0
1576616551.7422252,54,873.0
1576616584.057946,55,830.0
1576616639.8169262,56,886.0
1576616680.5903573,57,962.0
1576616755.9333625,58,1263.0
1576616788.3813918,59,859.0
1576616822.2736998,60,1149.0
1576616855.922928,61,889.0
1576616875.9073198,62,809.0
1576616909.0702562,63,1017.0
1576616957.7536163,64,1163.0
1576617018.018798,65,1165.0
1576617067.5696247,66,1245.0
1576617125.7903104,67,1024.0
1576617192.729882,68,1342.0
1576617261.4769535,69,1191.0
1576617284.5160272,70,869.0
1576617318.8725126,71,1026.0
1576617359.3264315,72,1009.0
1576617391.0728445,73,809.0
1576617422.6947038,74,749.0
1576617440.7654326,75,809.0
1576617514.0380445,76,1158.0
1576617532.5225258,77,867.0
1576617646.7056277,78,1335.0
1576617702.718143,79,1122.0
1576617735.0574083,80,886.0
1576617753.0056546,81,778.0
1576617800.3528278,82,1110.0
1576617833.0107048,83,949.0
1576617875.7942612,84,1071.0
1576617909.8788872,85,1154.0
1576617947.0017047,86,995.0
1576617987.5117574,87,1070.0
1576618032.8005888,88,1146.0
1576618065.1252782,89,871.0
1576618098.1875799,90,1040.0
1576618186.2986856,91,1132.0
1576618219.2679555,92,994.0
1576618253.2557495,93,1186.0
1576618356.006975,94,1809.0
1576618396.713759,95,1248.0
1576618482.7101345,96,1209.0
1576618583.4393036,97,1352.0
1576618707.8912153,98,1268.0
1576618765.7340643,99,1689.0
1576618837.3403478,100,1508.0
1576619011.9665048,101,2158.0
1576619104.1390884,102,1464.0
1576619196.931023,103,1217.0
1576619307.5341647,104,1156.0
1576619359.7348244,105,1327.0
1576619472.2114167,106,1807.0
1576619656.7220576,107,1637.0
1576619792.65217,108,1383.0
1576619967.0275812,109,1875.0
1576620057.496652,110,1263.0
1576620161.556334,111,1837.0
1576620524.547888,112,2555.0
1576620864.7320037,113,2211.0
1576621205.6613772,114,2004.0
1576621549.9240808,115,2327.0
1576621879.5056167,116,2783.0
1576622136.337026,117,2330.0
