Wall time,Step,Value
1576614834.3879538,0,871.0
1576614868.6581235,1,828.0
1576614927.959157,2,871.0
1576614947.7846851,3,873.0
1576615000.4765851,4,1165.0
1576615036.4482522,5,1078.0
1576615075.534675,6,1200.0
1576615110.8097517,7,950.0
1576615145.6153233,8,847.0
1576615181.4781957,9,1039.0
1576615218.237932,10,1059.0
1576615254.725268,11,1114.0
1576615289.930636,12,869.0
1576615325.6021523,13,957.0
1576615360.4382381,14,811.0
1576615380.629546,15,874.0
1576615415.3832095,16,809.0
1576615451.1377876,17,966.0
1576615486.7994013,18,945.0
1576615525.217928,19,1039.0
1576615562.0716698,20,958.0
1576615582.2944906,21,827.0
1576615620.5754786,22,995.0
1576615655.3703687,23,809.0
1576615691.1873274,24,749.0
1576615711.846831,25,958.0
1576615748.7166855,26,916.0
1576615786.1148837,27,1056.0
1576615838.6534128,28,1082.0
1576615858.9116623,29,777.0
1576615894.5479774,30,929.0
1576615930.5329251,31,994.0
1576615969.343801,32,1086.0
1576616005.140098,33,959.0
1576616040.735746,34,928.0
1576616077.1340706,35,1070.0
1576616115.010926,36,1105.0
1576616150.431002,37,888.0
1576616186.7371173,38,1026.0
1576616223.7330484,39,976.0
1576616260.297846,40,1026.0
1576616296.8000343,41,1081.0
1576616338.2863922,42,872.0
1576616375.8825672,43,965.0
1576616422.8548965,44,838.0
1576616454.1878686,45,837.0
1576616491.5422945,46,1086.0
1576616526.7949202,47,872.0
1576616562.4700868,48,925.0
1576616597.9218564,49,777.0
1576616621.5863404,50,837.0
1576616658.2406285,51,828.0
1576616677.813865,52,749.0
1576616730.456526,53,1092.0
1576616769.0094461,54,979.0
1576616805.5564752,55,1089.0
1576616825.52383,56,811.0
1576616872.4114642,57,856.0
1576616932.9825275,58,1066.0
1576616970.9967365,59,1113.0
1576617023.8896594,60,1115.0
1576617059.5188534,61,941.0
1576617080.2969708,62,966.0
1576617118.9032326,63,997.0
1576617154.2253134,64,887.0
1576617206.0510464,65,1176.0
1576617242.7473497,66,1123.0
1576617287.77292,67,1159.0
1576617348.6177928,68,1039.0
1576617426.4192894,69,1180.0
1576617464.1370254,70,1066.0
1576617500.8399746,71,906.0
1576617521.1860163,72,869.0
1576617557.692913,73,961.0
1576617615.4483986,74,1412.0
1576617672.7987022,75,1118.0
1576617710.2260225,76,1026.0
1576617748.546984,77,993.0
1576617784.9525983,78,1044.0
1576617841.1983624,79,1119.0
1576617882.8444242,80,1306.0
1576617939.342426,81,1215.0
1576617979.8755548,82,989.0
1576618023.1435132,83,1284.0
1576618128.2469442,84,1276.0
1576618184.586878,85,1264.0
1576618250.3974984,86,1372.0
1576618289.615503,87,1022.0
1576618325.7251997,88,996.0
1576618380.515571,89,1320.0
1576618419.6840866,90,1284.0
1576618484.8118412,91,1292.0
1576618561.2382183,92,1115.0
1576618660.7129683,93,1444.0
1576618729.3830254,94,1302.0
1576618858.9624205,95,1282.0
1576618938.8538973,96,1431.0
1576619051.5484517,97,1520.0
1576619088.6643212,98,1160.0
1576619194.1910086,99,1712.0
1576619255.0244236,100,978.0
1576619348.868493,101,1708.0
1576619432.9120646,102,1961.0
1576619510.3786385,103,1260.0
1576619619.2954328,104,1443.0
1576619676.7647898,105,900.0
1576619757.1138422,106,1539.0
1576619933.6275356,107,1641.0
1576620049.457538,108,1558.0
1576620157.9956956,109,1129.0
1576620245.828589,110,1573.0
1576620343.6008341,111,1625.0
1576620561.652164,112,1922.0
1576620674.5647109,113,1609.0
1576620863.323696,114,1849.0
1576621004.615206,115,2114.0
1576621266.0445452,116,1655.0
1576621555.5126688,117,2273.0
1576621981.1933844,118,2377.0
1576622431.9507596,119,2803.0
1576622710.9885626,120,2112.0
1576623094.4509904,121,2934.0
1576623485.0124261,122,2360.0
1576623748.5345638,123,2420.0
