Wall time,Step,Value
1576926840.8492038,5,1285.0
1576926845.3813674,6,1304.0
1576926866.5689104,11,1673.0
1576926878.5351222,14,1435.0
1576926882.234114,15,1075.0
1576926893.734436,18,1245.0
1576926898.0228097,19,1234.0
1576926901.8033009,20,1076.0
1576926919.2695787,24,1327.0
1576926970.145919,36,1068.0
1576926987.342274,40,1237.0
1576926997.3181534,42,1708.0
1576927005.3880637,44,1204.0
1576927009.3475401,45,1112.0
1576927017.7054052,47,1048.0
1576927042.3187356,53,1059.0
1576927046.6819375,54,1204.0
1576927050.8275387,55,1153.0
1576927054.9500308,56,1142.0
1576927058.7566524,57,1058.0
1576927099.039485,65,1132.0
1576927113.2918541,68,1266.0
1576927127.742828,71,1238.0
1576927134.0666137,72,1732.0
1576927138.1994832,73,1123.0
1576927142.727736,74,1215.0
1576927168.3406827,79,1165.0
1576927208.33714,87,1342.0
1576927213.8997974,88,1489.0
1576927242.8435323,94,1331.0
1576927283.0397222,102,1357.0
1576927299.005233,105,1608.0
1576927304.167471,106,1388.0
1576927343.6984684,113,1746.0
1576927357.2267652,116,1178.0
1576927368.1004417,118,1288.0
1576927410.0702755,126,1286.0
1576927424.4123268,129,1065.0
1576927431.0229676,130,1771.0
1576927500.9400241,139,2196.0
1576927519.0255346,141,2536.0
1576927529.8773134,142,2839.0
1576927536.2096012,143,1654.0
1576927596.7238154,150,2534.0
1576927650.049582,155,3397.0
1576927673.4205387,157,2703.0
1576927684.6020114,158,2881.0
1576927728.071126,162,2440.0
1576927775.5650253,167,2337.0
1576927789.7516758,168,3709.0
1576927827.125463,171,2940.0
1576927902.1596303,177,4230.0
1576927915.0625544,178,3319.0
1576927942.011639,180,3712.0
1576927970.9581785,183,2031.0
1576927989.6540844,185,2952.0
1576927999.3137603,186,2492.0
1576928018.3513896,188,3071.0
1576928038.0435233,190,2643.0
1576928047.0205653,191,2286.0
1576928127.740635,198,3067.0
1576928230.594047,206,2466.0
1576928241.980065,207,2941.0
1576928254.3850942,208,3173.0
1576928303.4684222,212,3293.0
1576928445.7665918,222,4058.0
1576928455.385342,223,2483.0
1576928484.601416,225,4285.0
1576928535.1719928,229,3225.0
1576928581.653533,232,4559.0
1576928596.6357443,233,3871.0
1576928614.1228144,234,4553.0
1576928658.90816,237,3635.0
1576928792.1527083,249,3638.0
1576928874.196852,255,4052.0
1576928922.5813046,258,4350.0
1576928953.9096537,260,4347.0
1576928964.3076994,261,2720.0
1576928995.4745119,263,4077.0
1576929041.0322416,267,2138.0
1576929095.4613087,271,4305.0
1576929122.465403,273,2958.0
1576929188.2185616,278,2974.0
1576929432.7384067,292,4018.0
1576929525.142701,297,5171.0
1576929537.7947474,298,3325.0
1576929595.988377,302,4090.0
1576929608.6384072,303,3334.0
1576929657.9077842,307,3816.0
1576929673.377964,308,4076.0
1576929701.012149,310,4026.0
1576929747.7544565,313,2750.0
1576929815.5971277,318,3461.0
