Wall time,Step,Value
1576926847.2516983,5,1270.0
1576926851.956531,6,1220.0
1576926874.486839,11,1191.0
1576926888.943285,14,1341.0
1576926893.0254097,15,1052.0
1576926906.4228013,18,1243.0
1576926911.078346,19,1192.0
1576926916.5433424,20,1371.0
1576926936.4780061,24,1224.0
1576926994.5582907,36,1445.0
1576927013.121555,40,1462.0
1576927022.6739829,42,1067.0
1576927031.5100157,44,1004.0
1576927035.8597233,45,1067.0
1576927046.0383675,47,1435.0
1576927074.2385604,53,1169.0
1576927078.6148183,54,1078.0
1576927083.500016,55,1208.0
1576927087.84573,56,1052.0
1576927092.9925742,57,1248.0
1576927133.6566925,65,1139.0
1576927149.4094946,68,1233.0
1576927166.0491402,71,1048.0
1576927172.131542,72,1477.0
1576927176.8111506,73,1132.0
1576927181.5107713,74,1131.0
1576927203.6857915,79,1118.0
1576927246.7743366,87,1369.0
1576927251.2627866,88,1071.0
1576927285.4267366,94,1362.0
1576927333.2342958,102,1901.0
1576927349.5355294,105,1333.0
1576927357.4208698,106,1881.0
1576927403.9677563,113,1184.0
1576927423.8605573,116,1912.0
1576927436.0526757,118,1231.0
1576927490.660381,126,1417.0
1576927507.6681683,129,1444.0
1576927517.0070748,130,2161.0
1576927586.1939442,139,1670.0
1576927607.9930942,141,1960.0
1576927616.461545,142,1923.0
1576927626.1083868,143,2204.0
1576927685.7069361,150,2057.0
1576927727.8609705,155,2362.0
1576927745.234902,157,1954.0
1576927755.4622853,158,2335.0
1576927803.752852,162,1983.0
1576927862.2654703,167,2475.0
1576927873.7465475,168,2573.0
1576927909.5605645,171,2355.0
1576927989.888479,177,2907.0
1576928001.6588337,178,2618.0
1576928022.2198868,180,2032.0
1576928063.1441183,183,3185.0
1576928090.002719,185,3477.0
1576928100.006007,186,2224.0
1576928126.5408278,188,2953.0
1576928154.90249,190,3108.0
1576928170.607855,191,3484.0
1576928262.8796043,198,3952.0
1576928377.7677047,206,2968.0
1576928395.6349063,207,3971.0
1576928410.862301,208,3413.0
1576928471.0755365,212,4095.0
1576928607.9351919,222,2865.0
1576928623.84996,223,3531.0
1576928646.3906765,225,2010.0
1576928700.2899494,229,3596.0
1576928746.9903874,232,4070.0
1576928762.7198982,233,3529.0
1576928777.228058,234,3203.0
1576928822.8464048,237,3926.0
1576929041.2796977,249,3939.0
1576929146.3997493,255,5166.0
1576929210.5813217,258,5904.0
1576929243.7818372,260,2652.0
1576929262.202451,261,4137.0
1576929284.0368571,263,2294.0
1576929321.3237126,267,1748.0
1576929366.6114361,271,4658.0
1576929407.1170506,273,4227.0
1576929496.378076,278,3561.0
1576929768.930637,292,4432.0
1576929848.6798825,297,3174.0
1576929863.1923864,298,3262.0
