Wall time,Step,Value
1576927549.4605584,5,1115.0
1576927555.7422366,6,1158.0
1576927592.5055857,11,1506.0
1576927611.0318553,14,1001.0
1576927616.5380437,15,1004.0
1576927634.3165221,18,1305.0
1576927640.6458604,19,1182.0
1576927646.1774185,20,1029.0
1576927671.2694206,24,1124.0
1576927754.4730124,36,1174.0
1576927784.1762784,40,1488.0
1576927797.2406862,42,1212.0
1576927813.4199753,44,1572.0
1576927821.2562761,45,1424.0
1576927834.6019952,47,1239.0
1576927874.924302,53,1590.0
1576927881.1852572,54,1126.0
1576927888.5147278,55,1326.0
1576927895.8382149,56,1319.0
1576927902.5717146,57,1207.0
1576927959.7224448,65,1215.0
1576927978.33436,68,1090.0
1576927997.639122,71,1184.0
1576928004.7568262,72,1280.0
1576928011.2631779,73,1163.0
1576928016.937572,74,1006.0
1576928046.3923302,79,1197.0
1576928095.0527184,87,995.0
1576928101.2575212,88,1107.0
1576928140.2859282,94,1182.0
1576928197.3866754,102,1166.0
1576928219.6573324,105,1100.0
1576928227.8252685,106,1452.0
1576928279.3371627,113,1113.0
1576928298.023379,116,994.0
1576928313.1366217,118,1168.0
1576928371.0451455,126,1459.0
1576928393.905687,129,1002.0
1576928400.742319,130,1206.0
1576928486.288541,139,1419.0
1576928503.8944411,141,1929.0
1576928515.0962815,142,1979.0
1576928525.922939,143,1920.0
1576928595.1737683,150,3359.0
1576928659.1771328,155,2451.0
1576928687.7571194,157,2304.0
1576928699.448195,158,2063.0
1576928745.978548,162,1689.0
1576928817.9517784,167,2007.0
1576928832.8766136,168,2616.0
1576928877.743163,171,2461.0
1576928966.1704469,177,2384.0
1576928980.8178084,178,2576.0
1576929004.184725,180,2276.0
1576929047.6910927,183,2577.0
1576929082.3787923,185,3342.0
1576929095.6118448,186,2314.0
1576929129.6106632,188,3038.0
1576929164.9505968,190,2928.0
1576929182.6079962,191,3081.0
1576929291.910469,198,2960.0
1576929425.862469,206,3062.0
1576929443.0670276,207,3003.0
1576929458.741996,208,2752.0
1576929527.7393482,212,3682.0
1576929744.0524187,222,4515.0
1576929768.4119365,223,4227.0
1576929818.9485695,225,5460.0
1576929895.512509,229,2300.0
1576929931.0660307,232,1666.0
1576929949.1413946,233,3123.0
1576929967.2374303,234,3148.0
1576930008.3861089,237,1974.0
1576930246.3305573,249,2823.0
1576930353.5519123,255,4147.0
1576930413.660622,258,3077.0
1576930447.6643188,260,2722.0
1576930461.9498534,261,2490.0
1576930497.4290476,263,3562.0
1576930554.9551158,267,1974.0
1576930631.1078339,271,4329.0
1576930666.8164907,273,3016.0
1576930778.197994,278,4554.0
1576931133.9578147,292,3544.0
1576931239.5242345,297,3805.0
1576931255.3162735,298,2762.0
1576931338.6732242,302,3242.0
1576931366.583103,303,4932.0
1576931461.0717287,307,4065.0
1576931475.5088775,308,2522.0
1576931506.8607628,310,3592.0
1576931573.2989295,313,4112.0
1576931686.4837205,318,4351.0
1576931713.5969691,319,4826.0
1576931738.9299135,320,4544.0
1576931853.7455018,325,4800.0
1576931874.9884348,326,3789.0
1576931896.8049464,327,3903.0
1576931964.882521,330,4074.0
1576932148.9647756,339,2908.0
1576932184.414361,341,3924.0
1576932318.438815,347,4494.0
1576932440.4611719,353,3564.0
1576932469.0496628,354,5153.0
1576932580.6819859,360,3066.0
1576932637.6917417,363,4229.0
1576932696.903203,367,1970.0
1576932767.5507836,371,3277.0
1576932814.3471043,373,4102.0
1576932911.068512,377,4497.0
1576932937.0239017,378,4612.0
1576932963.1140265,379,4681.0
1576933017.572285,381,4297.0
1576933120.259997,386,2456.0
1576933208.6272352,391,1698.0
1576933222.5721934,392,2497.0
1576933239.5787215,393,3059.0
1576933527.4542007,408,3044.0
1576933670.1567526,415,3677.0
1576933809.0728972,421,5259.0
1576933842.357716,422,5967.0
1576933884.9358883,424,3030.0
1576933932.305165,426,4024.0
1576934013.8841422,430,3657.0
1576934223.232102,439,3663.0
1576934268.0659993,441,3241.0
1576934289.9395945,442,3917.0
1576934350.1876225,445,3709.0
1576934478.1531205,451,3504.0
1576934642.88072,459,4036.0
1576934670.7588933,460,4991.0
1576934731.0916758,463,3177.0
1576934752.6816802,464,3879.0
1576934865.4279776,473,1435.0
1576934872.3037736,474,1229.0
1576935026.973976,485,3860.0
1576935055.1095364,488,2339.0
1576935061.3633864,489,1025.0
1576935084.6344376,491,2745.0
1576935109.5606508,493,3044.0
1576935371.026994,507,4671.0
1576935496.816637,512,5134.0
1576935539.402328,514,3164.0
1576935625.7248912,517,4860.0
1576935662.31614,519,3415.0
1576935785.1600995,524,4207.0
1576935812.1711092,525,4476.0
1576935930.143003,531,4571.0
1576935992.6248991,533,5052.0
1576936025.6800704,534,5492.0
1576936083.2557883,536,5107.0
1576936111.2806869,537,4644.0
1576936183.0480497,540,3294.0
1576936222.2105052,542,2889.0
1576936328.9757094,547,4398.0
1576936353.6287572,548,4084.0
1576936596.3462477,557,5063.0
1576936638.998112,559,3108.0
1576936713.3974214,563,3130.0
1576936739.4070616,564,4328.0
1576936755.3998172,565,2624.0
1576936829.7872021,569,3269.0
1576936907.8704934,573,4448.0
1576936923.7217774,574,2613.0
1576936977.4158242,577,3731.0
1576937022.788878,579,3878.0
1576937047.4693508,580,4091.0
1576937070.8830738,581,3878.0
1576937087.906357,582,2816.0
1576937114.9930904,583,4499.0
1576937132.0860279,584,2820.0
1576937181.6861458,586,3591.0
1576937196.697022,587,2756.0
1576937247.3961778,592,2485.0
1576937254.9876628,593,1379.0
1576937340.639693,597,6158.0
1576937393.751496,600,2699.0
1576937441.20533,602,4144.0
1576937608.6574872,608,6293.0
1576937653.980739,610,4771.0
1576937757.1393275,615,4354.0
1576937852.8473504,619,3928.0
1576937869.6342316,620,2840.0
1576937907.5987878,622,3921.0
1576938184.658985,634,4540.0
1576938356.6484733,641,4663.0
1576938386.1015587,642,4987.0
1576938432.9865477,644,2855.0
1576938451.8337033,645,3187.0
1576938477.044695,646,4284.0
1576938492.0169387,647,2506.0
1576938534.8239536,649,4788.0
1576938613.5672543,652,3904.0
1576938711.2850306,656,4401.0
1576938732.2183008,657,3523.0
1576938820.751748,661,2667.0
1576938888.5895987,664,3874.0
1576939000.6851537,668,4073.0
1576939089.50999,671,5108.0
1576939116.8601832,672,4664.0
1576939155.3316083,673,6562.0
1576939185.1829019,674,5087.0
1576939210.1480632,675,4229.0
1576939263.8237653,677,4610.0
1576939292.5873845,678,4913.0
1576939307.0563195,679,2434.0
1576939403.1119275,682,6038.0
1576939423.7050483,683,3820.0
1576939440.5111563,684,3242.0
1576939474.6566732,686,4602.0
1576939500.4330266,688,3090.0
1576939521.0810225,689,4002.0
1576939666.508436,696,2571.0
1576939731.2798884,699,3270.0
1576939838.2715774,703,5213.0
1576939921.160664,706,4240.0
1576939950.8580394,708,2389.0
1576939985.2800012,710,3830.0
1576940078.8291576,714,5722.0
1576940165.0606973,718,3382.0
1576940213.408527,721,1726.0
1576940219.7105346,722,1205.0
1576940240.861058,723,4092.0
1576940260.7234225,724,3813.0
1576940414.944428,730,4740.0
1576940552.5861478,736,6253.0
1576940594.854961,738,4205.0
1576940612.8338344,739,3467.0
1576940701.9849877,743,4249.0
1576940753.8637204,746,4300.0
1576940778.1162696,747,4670.0
1576940855.9410384,750,6151.0
1576940881.3300703,751,4884.0
1576940910.8404694,752,5724.0
1576940956.6621037,754,4553.0
1576940998.0346978,756,4331.0
1576941122.0515237,762,4773.0
1576941187.6217284,765,4659.0
1576941210.3976912,766,4400.0
1576941268.5893986,769,3253.0
1576941292.0869644,770,4536.0
1576941312.3666272,771,3908.0
1576941346.809574,773,3024.0
1576941367.661005,774,4027.0
1576941474.8588932,780,3492.0
1576941543.1021402,784,2241.0
1576941568.757885,785,4939.0
1576941599.4986937,787,3303.0
1576941633.3219578,789,4162.0
1576941665.4114673,791,2626.0
1576941685.611889,792,3903.0
1576941707.234333,793,4170.0
1576941725.5377388,794,3524.0
1576941744.2724152,795,3617.0
1576941789.3090744,798,2733.0
1576941826.491255,800,3140.0
1576941850.6361575,802,1918.0
1576941887.2399938,805,3097.0
1576941912.673832,807,2647.0
1576941925.819127,808,2517.0
1576941948.3020322,809,4349.0
1576942035.077163,815,2575.0
1576942052.982051,816,3454.0
1576942097.8457358,818,4620.0
1576942164.144785,821,4412.0
1576942242.9729388,825,2349.0
1576942293.9609818,828,3693.0
1576942351.1051645,831,3753.0
1576942373.1950698,832,4265.0
1576942411.590807,834,4784.0
1576942446.8605833,836,2894.0
1576942505.5329807,838,6775.0
1576942639.0943878,843,4921.0
1576942702.3249362,846,4336.0
1576942738.886013,848,4215.0
1576943093.9290795,863,4379.0
1576943171.15098,867,4000.0
1576943203.8436115,869,3964.0
1576943219.7411723,870,3062.0
1576943313.1344082,874,3835.0
1576943357.2756433,876,5297.0
1576943389.3509877,877,6183.0
1576943442.1756933,880,2869.0
1576943483.5658042,882,3774.0
1576943539.2742946,884,4665.0
1576943580.9355671,887,2323.0
1576943627.5827706,889,3161.0
1576943650.8242114,890,4496.0
1576943694.2868745,892,4663.0
1576943761.347971,896,3253.0
1576943842.4584708,900,5096.0
1576944011.371099,907,4725.0
1576944033.1298018,908,4196.0
1576944055.7874453,909,4366.0
1576944077.0557692,910,4116.0
1576944130.2696657,912,5407.0
1576944214.1068697,915,4827.0
1576944235.831184,916,4198.0
1576944265.9634533,917,5815.0
1576944340.6284792,920,4987.0
1576944359.1551182,921,3554.0
1576944380.7145665,922,4184.0
1576944400.4249024,923,3803.0
1576944595.086269,931,5658.0
1576944624.7118125,932,5714.0
1576944695.2668324,935,4696.0
1576944839.8509138,942,4416.0
1576944903.758401,945,3184.0
1576945084.9637206,953,3353.0
1576945111.960041,954,5243.0
1576945159.135096,956,4941.0
1576945175.9505785,957,3241.0
1576945189.0389793,958,2507.0
1576945258.9819486,961,4239.0
1576945275.9196768,962,3268.0
1576945314.7359273,964,3618.0
1576945347.2789547,966,2660.0
1576945467.66751,971,4991.0
1576945493.9217105,972,5078.0
1576945580.4404972,976,4319.0
1576945608.1762216,977,5351.0
1576945625.3494835,978,3318.0
1576945646.023503,979,3997.0
1576945708.6541045,982,3511.0
1576945724.4719164,983,3062.0
1576945737.4942796,984,2513.0
1576945797.5229158,987,5695.0
1576945816.049511,988,3567.0
1576945997.2982419,996,3845.0
1576946099.7494204,1000,5353.0
1576946145.2235446,1002,5121.0
1576946191.968325,1004,4816.0
1576946223.2276192,1005,6037.0
1576946315.7866156,1008,6433.0
1576946365.2456799,1011,2181.0
1576946378.7177129,1012,2586.0
1576946398.2646508,1013,3784.0
1576946420.661157,1014,4316.0
1576946482.5759325,1017,3027.0
1576946604.7584665,1025,3775.0
1576946667.5428877,1027,6470.0
1576946716.3135014,1029,5394.0
1576946755.2139244,1031,3354.0
1576946784.9918654,1032,5926.0
1576946842.6311617,1035,3980.0
1576946895.4705968,1037,6311.0
1576946937.0281067,1039,3657.0
1576947051.2078674,1044,4749.0
1576947212.3274603,1051,4447.0
1576947232.6444926,1052,4036.0
1576947311.1753998,1055,4707.0
1576947343.8313363,1057,2802.0
1576947466.9475758,1063,4162.0
1576947485.6767457,1064,3715.0
