Wall time,Step,Value
1576927546.6524704,5,1026.0
1576927555.6162853,6,1432.0
1576927595.1202903,11,1521.0
1576927618.4962504,14,1085.0
1576927625.7804182,15,1142.0
1576927647.6501608,18,1168.0
1576927653.9396803,19,987.0
1576927661.700927,20,1212.0
1576927691.129006,24,1246.0
1576927780.6968718,36,1226.0
1576927814.5103424,40,1470.0
1576927827.6014915,42,1049.0
1576927844.1060338,44,1203.0
1576927851.0201375,45,1062.0
1576927865.6059775,47,973.0
1576927913.5453806,53,979.0
1576927921.7241275,54,1253.0
1576927928.0108547,55,965.0
1576927934.3757617,56,971.0
1576927942.2766056,57,1204.0
1576928008.602134,65,1196.0
1576928036.439242,68,1308.0
1576928059.1469903,71,1251.0
1576928066.5036428,72,1102.0
1576928075.5527656,73,1354.0
1576928084.1839774,74,1291.0
1576928126.4597642,79,1126.0
1576928192.0143366,87,970.0
1576928200.6223867,88,1286.0
1576928245.743731,94,1145.0
1576928307.6150486,102,1178.0
1576928332.7985384,105,1201.0
1576928339.644738,106,1013.0
1576928400.0488214,113,966.0
1576928420.6123447,116,979.0
1576928436.9589283,118,972.0
1576928503.603125,126,1133.0
1576928531.5438395,129,1386.0
1576928541.7154398,130,1499.0
1576928617.4398594,139,1012.0
1576928635.6774101,141,1340.0
1576928647.2208843,142,1706.0
1576928658.7439122,143,1702.0
1576928737.8781831,150,1203.0
1576928784.5484552,155,1354.0
1576928808.5118706,157,2025.0
1576928818.7423267,158,1489.0
1576928852.8894386,162,1060.0
1576928895.0277092,167,1454.0
1576928901.5939317,168,963.0
1576928924.2095888,171,1214.0
1576928988.4387786,177,1785.0
1576929002.5081143,178,2069.0
1576929023.31082,180,1467.0
1576929051.988628,183,1228.0
1576929077.1234615,185,1855.0
1576929088.4186306,186,1657.0
1576929104.57774,188,1049.0
1576929126.1073515,190,1989.0
1576929138.6549916,191,1851.0
1576929224.7978213,198,2062.0
1576929323.570878,206,1460.0
1576929332.389136,207,1298.0
1576929349.5228982,208,2537.0
1576929414.4796836,212,2744.0
1576929544.9774985,222,1834.0
1576929560.704987,223,2318.0
1576929608.1726062,225,3786.0
1576929666.9627187,229,1819.0
1576929721.1261652,232,2340.0
1576929734.354416,233,1938.0
1576929746.209524,234,1745.0
1576929788.0015173,237,1855.0
1576929955.3061516,249,2860.0
1576930067.500293,255,1977.0
1576930145.9580195,258,4188.0
1576930199.6916392,260,3846.0
1576930210.7050686,261,1598.0
1576930243.0340545,263,3037.0
1576930311.4104545,267,3136.0
1576930383.9150102,271,2479.0
1576930414.903178,273,2842.0
1576930510.8372483,278,2860.0
1576930772.4680386,292,2263.0
1576930864.1800365,297,3081.0
1576930885.1238005,298,3060.0
1576930967.1197963,302,2836.0
1576930981.0536747,303,2085.0
1576931048.6636255,307,2180.0
1576931065.2020812,308,2386.0
1576931094.9738896,310,2406.0
1576931137.8446927,313,2717.0
1576931225.8199666,318,1504.0
1576931235.117542,319,1348.0
1576931248.8127801,320,1992.0
1576931298.0912082,325,1379.0
1576931314.3330755,326,2374.0
1576931323.5935392,327,1344.0
1576931357.7496293,330,1182.0
1576931517.3308902,339,3428.0
1576931553.4700296,341,2613.0
1576931675.2345908,347,3077.0
1576931806.0281737,353,2568.0
1576931824.9801745,354,2770.0
1576931952.6029387,360,3388.0
1576932018.0332062,363,3946.0
1576932108.898408,367,2396.0
1576932196.704864,371,3274.0
1576932257.9844902,373,3921.0
1576932364.1151264,377,3993.0
1576932395.7815785,378,4699.0
1576932426.597413,379,4557.0
1576932481.1470907,381,3649.0
1576932562.1689084,386,1409.0
1576932675.3090396,391,2982.0
1576932702.5329697,392,4056.0
1576932730.5621285,393,4126.0
1576933116.3484373,408,5343.0
1576933296.849235,415,3901.0
