Wall time,Step,Value
1576926840.8490353,5,-20.0
1576926845.381203,6,-21.0
1576926866.5687356,11,-18.0
1576926878.534962,14,-20.0
1576926882.2339551,15,-21.0
1576926893.7342792,18,-21.0
1576926898.0226495,19,-21.0
1576926901.803147,20,-21.0
1576926919.2693017,24,-20.0
1576926970.1457603,36,-21.0
1576926987.3420987,40,-20.0
1576926997.3179874,42,-18.0
1576927005.3879058,44,-20.0
1576927009.3473685,45,-20.0
1576927017.705242,47,-21.0
1576927042.3184655,53,-21.0
1576927046.6817577,54,-20.0
1576927050.8273737,55,-20.0
1576927054.949869,56,-21.0
1576927058.7564962,57,-21.0
1576927099.0393257,65,-21.0
1576927113.2917001,68,-19.0
1576927127.7426713,71,-21.0
1576927134.066449,72,-17.0
1576927138.199323,73,-21.0
1576927142.7275815,74,-21.0
1576927168.3405027,79,-21.0
1576927208.336979,87,-20.0
1576927213.899639,88,-20.0
1576927242.8433733,94,-20.0
1576927283.0395029,102,-20.0
1576927299.0050678,105,-21.0
1576927304.1673136,106,-21.0
1576927343.6982138,113,-17.0
1576927357.2266083,116,-21.0
1576927368.1002839,118,-21.0
1576927410.070101,126,-21.0
1576927424.4121673,129,-21.0
1576927431.0228076,130,-19.0
1576927500.9398625,139,-18.0
1576927519.0253818,141,-16.0
1576927529.877078,142,-15.0
1576927536.2094424,143,-20.0
1576927596.7236617,150,-14.0
1576927650.04934,155,-13.0
1576927673.4203725,157,-18.0
1576927684.601855,158,-17.0
1576927728.0709531,162,-20.0
1576927775.5648606,167,-19.0
1576927789.7515163,168,-9.0
1576927827.1251962,171,-17.0
1576927902.1594698,177,-9.0
1576927915.0623906,178,-13.0
1576927942.0113664,180,-10.0
1576927970.958019,183,-20.0
1576927989.6539323,185,-15.0
1576927999.3134956,186,-17.0
1576928018.3512373,188,-12.0
1576928038.0433667,190,-18.0
1576928047.0204065,191,-19.0
1576928127.7404768,198,-18.0
1576928230.593879,206,-21.0
1576928241.9799035,207,-20.0
1576928254.384936,208,-18.0
1576928303.4682624,212,-17.0
1576928445.7663248,222,-18.0
1576928455.3851852,223,-19.0
1576928484.6012602,225,-10.0
1576928535.1718295,229,-18.0
1576928581.6533804,232,-10.0
1576928596.63558,233,-12.0
1576928614.1225607,234,-13.0
1576928658.907993,237,-12.0
1576928792.152543,249,-14.0
1576928874.1966891,255,-10.0
1576928922.5811312,258,-18.0
1576928953.9093874,260,-14.0
1576928964.307539,261,-19.0
1576928995.4742382,263,-12.0
1576929041.0320735,267,-18.0
1576929095.4611502,271,-8.0
1576929122.4652295,273,-18.0
1576929188.2183897,278,-17.0
1576929432.7382545,292,-12.0
1576929525.1425443,297,-11.0
1576929537.7945936,298,-12.0
1576929595.9882214,302,-9.0
1576929608.6381443,303,-15.0
1576929657.9076316,307,-12.0
1576929673.3776917,308,-12.0
1576929701.0119877,310,-5.0
1576929747.7542918,313,-15.0
1576929815.5969656,318,-12.0
1576929826.5349271,319,-15.0
1576929837.7695127,320,-11.0
1576929917.8924165,325,-15.0
1576929934.942448,326,-10.0
1576929953.785484,327,-10.0
1576930011.4444575,330,-16.0
1576930159.7727401,339,-4.0
1576930186.6340318,341,-15.0
1576930277.583176,347,-15.0
1576930351.2001278,353,-16.0
1576930363.7093194,354,-19.0
1576930462.32136,360,-17.0
1576930511.6494758,363,-18.0
1576930577.6060026,367,-16.0
1576930633.1773026,371,-16.0
1576930661.8992283,373,-14.0
1576930720.6533442,377,-13.0
1576930737.2420156,378,-9.0
1576930753.7137456,379,-13.0
1576930780.865642,381,-17.0
1576930860.0802512,386,-14.0
1576930948.903745,391,-20.0
1576930965.6931598,392,-13.0
1576930982.6663272,393,-19.0
1576931231.9683912,408,-11.0
1576931370.2473931,415,-14.0
1576931467.0308113,421,-17.0
1576931485.4140198,422,-14.0
1576931515.9680512,424,-11.0
1576931539.7184522,426,-13.0
1576931608.9118018,430,-15.0
1576931761.7305136,439,-15.0
1576931795.604638,441,-19.0
1576931812.4469523,442,-16.0
1576931875.251043,445,-6.0
1576931990.4048383,451,-16.0
1576932134.810171,459,-15.0
1576932155.8066082,460,-10.0
1576932205.0370696,463,-17.0
1576932216.9526622,464,-17.0
1576932385.4915872,473,-17.0
1576932400.2013063,474,-17.0
1576932588.5466945,485,-13.0
1576932645.7336462,488,-13.0
1576932662.1861317,489,-8.0
1576932696.1424398,491,-14.0
1576932718.390143,493,-16.0
1576932926.5482533,507,-18.0
1576933025.3706567,512,-15.0
1576933059.7318063,514,-16.0
1576933100.5275235,517,-18.0
1576933137.3781068,519,-11.0
1576933220.3897789,524,-15.0
1576933238.4177725,525,-13.0
1576933328.3581278,531,-13.0
1576933367.0833046,533,-12.0
1576933384.4774554,534,-11.0
1576933426.761047,536,-13.0
1576933442.943798,537,-17.0
1576933530.8554099,540,-1.0
1576933572.0013855,542,-16.0
1576933679.2728174,547,-11.0
1576933694.3428926,548,-13.0
1576933870.612402,557,-10.0
1576933909.2376983,559,-8.0
1576933982.8108957,563,-14.0
1576933999.2627246,564,-13.0
1576934015.0715308,565,-15.0
1576934096.700626,569,-14.0
1576934167.5421863,573,-14.0
1576934187.8632932,574,-15.0
1576934253.054254,577,-6.0
1576934296.5802915,579,-13.0
1576934309.993771,580,-17.0
1576934326.0523653,581,-16.0
1576934343.888131,582,-14.0
1576934351.9827921,583,-21.0
1576934369.0433354,584,-10.0
1576934417.245499,586,-14.0
1576934438.5187247,587,-14.0
1576934544.0192254,592,-15.0
1576934563.7569213,593,-13.0
1576934633.7192636,597,-16.0
1576934694.3564901,600,-10.0
1576934736.207657,602,-13.0
1576934853.1971228,608,-13.0
1576934881.7407086,610,-19.0
1576934994.5887961,615,-12.0
1576935071.2071986,619,-13.0
1576935099.6128662,620,-8.0
1576935137.83631,622,-12.0
1576935373.2166388,634,-17.0
1576935512.2889066,641,-9.0
1576935533.6966338,642,-10.0
1576935568.867639,644,-13.0
1576935584.2068594,645,-13.0
1576935602.4338236,646,-10.0
1576935620.1477156,647,-8.0
1576935655.8319602,649,-10.0
1576935696.683337,652,-13.0
1576935763.1054678,656,-18.0
1576935782.41163,657,-11.0
1576935838.4248037,661,-20.0
1576935884.0181901,664,-10.0
1576935944.3758416,668,-19.0
1576935985.4293807,671,-12.0
1576936007.0457041,672,-16.0
1576936025.2923734,673,-18.0
1576936040.4727376,674,-14.0
1576936058.227607,675,-14.0
1576936090.5135121,677,-19.0
1576936105.115841,678,-19.0
1576936121.4376938,679,-18.0
1576936177.7827067,682,-16.0
1576936194.6920717,683,-15.0
1576936210.6484432,684,-17.0
1576936249.8826127,686,-16.0
1576936288.6155303,688,-14.0
1576936304.5949018,689,-15.0
1576936428.4618025,696,-13.0
1576936478.5326016,699,-16.0
1576936556.2259383,703,-13.0
1576936617.7929318,706,-11.0
1576936643.725966,708,-15.0
1576936674.6134233,710,-11.0
1576936742.8467212,714,-17.0
1576936831.6096866,718,-16.0
1576936876.1804245,721,-19.0
1576936896.1200895,722,-13.0
1576936907.813339,723,-19.0
1576936927.3370147,724,-16.0
1576937046.6807919,730,-16.0
1576937163.701098,736,-15.0
1576937201.3224351,738,-17.0
1576937219.4412534,739,-14.0
1576937291.6444075,743,-12.0
1576937338.0730572,746,-3.0
1576937347.350357,747,-17.0
1576937395.4939554,750,-13.0
1576937414.6344407,751,-7.0
1576937433.0045109,752,-12.0
1576937470.6918259,754,-14.0
1576937498.215933,756,-18.0
1576937599.691463,762,-15.0
1576937654.8007233,765,-15.0
1576937672.6142848,766,-16.0
1576937721.9180129,769,-19.0
1576937732.9637668,770,-18.0
1576937744.761396,771,-17.0
1576937771.6974258,773,-17.0
1576937782.5566761,774,-20.0
1576937874.5200007,780,-18.0
1576937918.4687552,784,-18.0
1576937932.6885576,785,-18.0
1576937961.9316757,787,-20.0
1576937990.0114887,789,-19.0
1576938015.0916533,791,-16.0
1576938030.9009407,792,-16.0
1576938048.3915308,793,-14.0
1576938061.8753192,794,-15.0
1576938080.1771305,795,-19.0
1576938127.0683165,798,-18.0
1576938152.4905474,800,-17.0
1576938182.33899,802,-16.0
1576938216.443399,805,-15.0
1576938255.706492,807,-13.0
1576938270.8768673,808,-14.0
1576938286.9842424,809,-14.0
1576938363.029248,815,-15.0
1576938375.0971727,816,-17.0
1576938406.904935,818,-16.0
1576938451.953826,821,-16.0
1576938517.5990512,825,-13.0
1576938563.372364,828,-15.0
1576938616.1830597,831,-12.0
1576938634.9084573,832,-15.0
1576938675.8395777,834,-10.0
1576938711.207867,836,-13.0
1576938740.5834668,838,-17.0
1576938831.932278,843,-12.0
1576938891.3743312,846,-10.0
1576938929.533567,848,-13.0
1576939193.9075198,863,-8.0
1576939265.6744304,867,-14.0
1576939305.0106344,869,-11.0
1576939320.2085097,870,-13.0
1576939385.3484356,874,-11.0
1576939417.6728666,876,-8.0
1576939435.148815,877,-14.0
1576939486.1406987,880,-17.0
1576939518.5011973,882,-11.0
1576939551.8527539,884,-12.0
1576939606.7323995,887,-13.0
1576939642.4999523,889,-18.0
1576939663.6596878,890,-3.0
1576939692.7384255,892,-15.0
1576939767.3778214,896,-11.0
1576939826.127498,900,-15.0
1576939921.1340082,907,-14.0
1576939932.3992863,908,-17.0
1576939942.2772274,909,-17.0
1576939953.790494,910,-14.0
1576939987.1747627,912,-16.0
1576940038.1341639,915,-11.0
1576940055.4395707,916,-8.0
1576940069.6790206,917,-13.0
1576940115.2176998,920,-10.0
1576940135.3654063,921,-6.0
1576940149.8826356,922,-12.0
1576940163.322959,923,-10.0
1576940309.7648256,931,-11.0
1576940332.595573,932,-7.0
1576940394.3002918,935,-10.0
1576940516.6823127,942,-14.0
1576940565.6607542,945,-17.0
1576940699.5943117,953,-11.0
1576940711.4879916,954,-18.0
1576940740.9095662,956,-15.0
1576940756.6274416,957,-15.0
1576940767.4396877,958,-16.0
1576940821.1305223,961,-16.0
1576940840.5360658,962,-12.0
1576940874.0551498,964,-8.0
1576940901.0309296,966,-14.0
1576940962.7538347,971,-14.0
1576940979.7499473,972,-12.0
1576941019.408521,976,-18.0
1576941037.6949892,977,-8.0
1576941045.1217904,978,-19.0
1576941050.796082,979,-20.0
1576941069.3080301,982,-19.0
1576941073.8543768,983,-20.0
1576941079.7519357,984,-21.0
1576941096.867142,987,-19.0
1576941106.4686885,988,-15.0
1576941210.4374325,996,-17.0
1576941282.857904,1000,-20.0
1576941316.9154959,1002,-15.0
1576941354.939859,1004,-12.0
1576941372.8974283,1005,-15.0
1576941418.8616781,1008,-13.0
1576941469.9512408,1011,-15.0
1576941484.6376293,1012,-19.0
1576941504.407296,1013,-15.0
1576941519.5837233,1014,-15.0
1576941572.510206,1017,-15.0
1576941715.6377409,1025,-17.0
1576941748.2026863,1027,-16.0
1576941777.9483557,1029,-17.0
1576941813.3181787,1031,-14.0
1576941832.9343886,1032,-14.0
1576941888.1473591,1035,-10.0
1576941918.7494092,1037,-15.0
1576941955.7400055,1039,-10.0
1576942030.2987716,1044,-18.0
1576942153.3110652,1051,-14.0
1576942171.4131775,1052,-13.0
1576942216.468191,1055,-18.0
1576942244.0037522,1057,-16.0
1576942316.0863879,1063,-20.0
1576942332.6663675,1064,-15.0
1576942355.5150208,1066,-18.0
1576942387.6380534,1068,-18.0
1576942444.8066597,1072,-18.0
1576942502.4547217,1076,-13.0
1576942536.9536848,1078,-13.0
1576942622.184628,1083,-11.0
1576942636.9999812,1084,-15.0
1576942651.897211,1085,-16.0
1576942772.936129,1092,-17.0
1576942787.313447,1093,-16.0
1576942884.3341844,1099,-16.0
1576942932.1273203,1103,-17.0
1576942942.8150516,1104,-20.0
1576942952.6718833,1105,-14.0
1576943089.7804031,1114,-18.0
1576943118.0043483,1116,-17.0
1576943154.603346,1119,-17.0
1576943232.0622704,1125,-18.0
1576943243.6155684,1126,-15.0
1576943284.4746225,1130,-15.0
1576943325.9767313,1133,-16.0
1576943342.0626652,1134,-18.0
1576943359.606644,1135,-10.0
1576943404.58993,1138,-17.0
1576943550.5426347,1149,-16.0
1576943601.5442944,1152,-15.0
1576943648.9956532,1155,-16.0
1576943666.6206446,1156,-11.0
1576943684.8257813,1157,-14.0
1576943728.5939336,1160,-13.0
1576943744.629458,1161,-13.0
1576943766.6973026,1162,-11.0
1576944016.476443,1177,-15.0
1576944067.2008832,1180,-18.0
1576944102.3420677,1182,-6.0
1576944117.894063,1183,-15.0
1576944153.687964,1185,-15.0
1576944166.2536128,1186,-14.0
1576944210.7744868,1189,-16.0
1576944274.0860915,1192,-11.0
1576944291.4034247,1193,-16.0
1576944323.508564,1195,-14.0
1576944361.7105181,1197,-14.0
1576944403.5056977,1199,-8.0
1576944440.2029274,1201,-9.0
1576944492.4529428,1204,-16.0
1576944526.2173424,1206,-17.0
1576944553.3048224,1208,-16.0
1576944594.9390519,1210,-13.0
1576944625.9270039,1212,-16.0
1576944658.2995994,1214,-13.0
1576944830.4578664,1224,-17.0
1576944905.5297182,1228,-15.0
1576944972.5197062,1232,-10.0
1576944987.5797293,1233,-12.0
1576944999.6679442,1234,-16.0
1576945021.2592638,1236,-16.0
1576945059.0388951,1239,-17.0
1576945109.8462646,1242,-7.0
1576945150.0476427,1244,-10.0
1576945210.7822149,1247,9.0
1576945304.4139695,1253,-7.0
1576945334.0915954,1255,-19.0
1576945363.4580128,1257,-11.0
1576945379.32599,1258,-15.0
1576945439.873798,1261,-10.0
1576945457.1404085,1262,-13.0
1576945473.65096,1263,-14.0
1576945524.1628425,1266,-15.0
1576945651.6818264,1274,-14.0
1576945718.7865846,1279,-14.0
1576945748.9615915,1281,-13.0
1576945840.8334131,1287,-8.0
1576945913.4623308,1291,-15.0
1576945931.8820314,1292,-11.0
1576945942.5137417,1293,-17.0
1576945955.7064958,1294,-14.0
1576946044.3678296,1300,-15.0
1576946080.1344783,1303,-13.0
1576946172.1771643,1310,-17.0
1576946211.5702517,1312,-11.0
1576946253.2310445,1315,-18.0
1576946272.2140121,1316,-12.0
1576946313.4115064,1319,-16.0
1576946327.73581,1320,-16.0
1576946390.3748734,1325,-16.0
1576946400.805001,1326,-18.0
1576946413.2052772,1327,-19.0
1576946466.6048028,1330,-18.0
1576946520.064319,1333,-12.0
1576946539.5490701,1334,-13.0
1576946557.5536203,1335,-14.0
1576946571.9435382,1336,-16.0
1576946592.6706853,1337,-9.0
1576946697.0163364,1343,-13.0
1576946785.026367,1349,-13.0
1576946917.8595746,1355,-8.0
1576946995.9759371,1359,-7.0
1576947017.887737,1361,-16.0
1576947090.5292158,1366,-14.0
1576947172.5838032,1370,-17.0
1576947286.9260037,1377,-18.0
1576947331.5509675,1379,-12.0
1576947398.0173578,1382,-10.0
1576947433.6278903,1384,-15.0
1576947446.4406042,1385,-17.0
1576947514.2709045,1388,-7.0
1576947531.0453017,1389,-15.0
1576947569.9521325,1391,-14.0
1576947584.2411592,1392,-19.0
1576947634.7924986,1395,-13.0
1576947938.7924173,1412,-14.0
1576947960.557549,1413,-9.0
1576947974.8387847,1414,-14.0
1576947990.1023972,1415,-14.0
1576948055.635484,1419,-11.0
1576948120.0929656,1422,-13.0
1576948189.5766945,1426,-14.0
1576948206.9210508,1427,-13.0
1576948219.7530992,1428,-18.0
1576948286.0134428,1432,-11.0
1576948305.7611518,1433,-10.0
1576948320.6861546,1434,-9.0
1576948351.7956076,1436,-10.0
1576948383.6078846,1438,-13.0
1576948420.620624,1440,-12.0
1576948459.0287647,1442,-15.0
1576948605.3481426,1450,-17.0
1576948695.5410585,1455,-13.0
1576948718.60722,1456,-12.0
1576948910.4558053,1465,-16.0
1576948928.0011954,1466,-12.0
1576949095.8574703,1477,-12.0
1576949154.6952147,1482,-15.0
1576949202.0224729,1485,-9.0
1576949215.6475446,1486,-15.0
1576949270.1880658,1489,-14.0
1576949307.9152522,1491,-14.0
1576949325.0350106,1492,-13.0
1576949440.7839599,1500,-16.0
1576949452.9095263,1501,-12.0
1576949471.4845731,1502,-16.0
1576949490.3408082,1503,-12.0
1576949548.4249265,1506,-11.0
1576949574.1844583,1508,-16.0
1576949589.1698775,1509,-16.0
1576949604.4239244,1510,-10.0
1576949715.4549024,1518,-13.0
1576949806.610589,1523,-15.0
1576949828.1240897,1524,-11.0
1576949870.324034,1527,-14.0
1576949982.1430907,1534,-13.0
1576950012.1054564,1536,-14.0
1576950148.3587317,1546,-19.0
1576950219.9110415,1551,-10.0
1576950233.3150601,1552,-16.0
1576950254.5323908,1554,-15.0
1576950267.00028,1555,-15.0
1576950363.1001701,1561,-15.0
1576950379.1154666,1562,-16.0
1576950494.1275845,1568,-12.0
1576950512.3179677,1569,-12.0
1576950644.9729934,1578,-13.0
1576950690.8253565,1582,-15.0
1576950720.227173,1584,-19.0
1576950776.1910396,1588,-12.0
1576950939.6160226,1597,-21.0
1576950972.6472256,1599,-13.0
1576951031.221941,1602,-14.0
1576951070.0407498,1604,-19.0
1576951096.1200716,1605,-15.0
1576951172.5154767,1610,-15.0
1576951209.7268984,1613,-17.0
1576951264.098658,1618,-16.0
