Wall time,Step,Value
1576926847.2515068,5,-19.0
1576926851.9562879,6,-20.0
1576926874.4866738,11,-21.0
1576926888.9430356,14,-19.0
1576926893.0252497,15,-21.0
1576926906.422645,18,-21.0
1576926911.0781922,19,-20.0
1576926916.543184,20,-20.0
1576926936.4777465,24,-19.0
1576926994.5580199,36,-20.0
1576927013.1213984,40,-20.0
1576927022.6738315,42,-20.0
1576927031.5098636,44,-21.0
1576927035.8595603,45,-21.0
1576927046.0382068,47,-20.0
1576927074.2383955,53,-20.0
1576927078.6146617,54,-20.0
1576927083.4998572,55,-21.0
1576927087.8455715,56,-21.0
1576927092.992413,57,-19.0
1576927133.6565294,65,-21.0
1576927149.409331,68,-21.0
1576927166.0489552,71,-21.0
1576927172.131382,72,-21.0
1576927176.8109832,73,-21.0
1576927181.5106127,74,-21.0
1576927203.6856358,79,-21.0
1576927246.7741792,87,-21.0
1576927251.262621,88,-21.0
1576927285.4265828,94,-19.0
1576927333.2340314,102,-18.0
1576927349.535375,105,-21.0
1576927357.4207184,106,-18.0
1576927403.967603,113,-21.0
1576927423.8604014,116,-21.0
1576927436.0525105,118,-21.0
1576927490.6602163,126,-21.0
1576927507.6679568,129,-19.0
1576927517.0069132,130,-16.0
1576927586.1937811,139,-21.0
1576927607.9929378,141,-21.0
1576927616.46127,142,-19.0
1576927626.108227,143,-19.0
1576927685.7067723,150,-16.0
1576927727.860688,155,-16.0
1576927745.2347388,157,-17.0
1576927755.4621174,158,-18.0
1576927803.7526927,162,-19.0
1576927862.2653143,167,-16.0
1576927873.746391,168,-16.0
1576927909.5603983,171,-19.0
1576927989.8883228,177,-17.0
1576928001.6585586,178,-15.0
1576928022.2197113,180,-18.0
1576928063.1438367,183,-15.0
1576928090.0025635,185,-17.0
1576928100.0058506,186,-17.0
1576928126.5405412,188,-19.0
1576928154.9023368,190,-18.0
1576928170.607597,191,-14.0
1576928262.8794467,198,-11.0
1576928377.7675447,206,-19.0
1576928395.6346388,207,-16.0
1576928410.8621013,208,-19.0
1576928471.0753493,212,-18.0
1576928607.9350145,222,-18.0
1576928623.8497057,223,-17.0
1576928646.3905158,225,-19.0
1576928700.289789,229,-15.0
1576928746.990137,232,-18.0
1576928762.7197397,233,-15.0
1576928777.2278981,234,-14.0
1576928822.8462503,237,-18.0
1576929041.2795355,249,-16.0
1576929146.3995662,255,-13.0
1576929210.5811625,258,-9.0
1576929243.7815623,260,-20.0
1576929262.2022884,261,-18.0
1576929284.036685,263,-20.0
1576929321.3235393,267,-19.0
1576929366.6112478,271,-15.0
1576929407.1167667,273,-17.0
1576929496.3779218,278,-19.0
1576929768.9304838,292,-18.0
1576929848.6796067,297,-18.0
1576929863.1922145,298,-18.0
1576929933.1932044,302,-17.0
1576929951.6860406,303,-19.0
1576930024.5239902,307,-9.0
1576930042.9570177,308,-16.0
1576930084.4858503,310,-17.0
1576930138.8567293,313,-12.0
1576930232.7554867,318,-15.0
1576930251.8845444,319,-16.0
1576930274.191351,320,-16.0
1576930377.8182185,325,-16.0
1576930389.6000543,326,-18.0
1576930409.0239081,327,-10.0
1576930455.9556656,330,-16.0
1576930629.504424,339,-14.0
1576930673.5237775,341,-18.0
1576930782.9923997,347,-16.0
1576930890.9262617,353,-19.0
1576930910.944292,354,-15.0
1576931017.3957393,360,-14.0
1576931070.5921748,363,-18.0
1576931131.587893,367,-15.0
1576931194.36676,371,-14.0
1576931229.8637638,373,-15.0
1576931300.7897713,377,-16.0
1576931314.8285975,378,-16.0
1576931326.8540974,379,-17.0
1576931360.7256527,381,-8.0
1576931464.62823,386,-14.0
1576931550.89251,391,-17.0
1576931566.056402,392,-15.0
1576931582.238926,393,-14.0
1576931753.8450077,408,-15.0
1576931837.0875282,415,-15.0
1576931969.7390654,421,-11.0
1576931991.235071,422,-14.0
1576932023.6378179,424,-17.0
1576932059.7050269,426,-18.0
1576932122.0673199,430,-18.0
1576932255.0823293,439,-21.0
1576932278.3874505,441,-16.0
1576932283.1465657,442,-21.0
1576932302.887599,445,-21.0
1576932359.5165255,451,-19.0
1576932432.3801398,459,-20.0
1576932450.7488708,460,-13.0
1576932506.2522569,463,-15.0
1576932517.8726013,464,-17.0
1576932700.622427,473,-10.0
1576932718.9391153,474,-10.0
1576932922.4160442,485,-20.0
1576932995.547875,488,-14.0
1576933014.124974,489,-11.0
1576933056.6454048,491,-17.0
1576933098.6938355,493,-18.0
1576933414.338953,507,-16.0
1576933544.6047835,512,-3.0
1576933603.6075852,514,-9.0
1576933676.993023,517,-19.0
1576933719.3305247,519,-11.0
1576933816.9130225,524,-14.0
1576933829.7713807,525,-18.0
1576933954.4685824,531,-17.0
1576933998.5043797,533,-13.0
1576934018.5834477,534,-15.0
1576934055.2593184,536,-10.0
1576934076.3004544,537,-11.0
1576934138.7686706,540,-14.0
1576934176.8467934,542,-16.0
1576934259.3583386,547,-17.0
1576934275.7685807,548,-15.0
1576934454.716021,557,-14.0
1576934491.2501862,559,-14.0
1576934555.5502179,563,-18.0
1576934580.4498127,564,-12.0
1576934598.8321223,565,-12.0
1576934682.6457763,569,-12.0
1576934746.4258373,573,-19.0
1576934758.380831,574,-17.0
1576934801.7003431,577,-13.0
1576934820.8281744,579,-20.0
1576934837.4384632,580,-12.0
1576934856.709122,581,-11.0
1576934871.7279854,582,-17.0
1576934892.938215,583,-14.0
1576934909.3464723,584,-21.0
1576934949.248264,586,-12.0
1576934964.5716295,587,-19.0
1576935046.3845143,592,-18.0
1576935061.9496696,593,-18.0
1576935138.744753,597,-17.0
1576935188.3765533,600,-12.0
1576935226.0319974,602,-16.0
1576935329.3232477,608,-12.0
1576935372.08128,610,-12.0
1576935441.3564148,615,-17.0
1576935503.016061,619,-13.0
1576935517.6831174,620,-15.0
1576935556.924807,622,-14.0
1576935792.095959,634,-14.0
1576935960.4787805,641,-17.0
1576935978.3814774,642,-16.0
1576936012.714237,644,-12.0
1576936038.1664047,645,-11.0
1576936057.0678263,646,-14.0
1576936073.9327939,647,-15.0
1576936116.0118284,649,-11.0
1576936187.4801438,652,-18.0
1576936274.805356,656,-15.0
1576936291.5189471,657,-14.0
1576936358.2494895,661,-15.0
1576936411.4750767,664,-19.0
1576936494.0446584,668,-13.0
1576936554.0775962,671,-14.0
1576936569.606387,672,-16.0
1576936582.9002268,673,-18.0
1576936599.5472627,674,-15.0
1576936613.241475,675,-11.0
1576936647.728545,677,-13.0
1576936663.9076688,678,-10.0
1576936678.1507347,679,-14.0
1576936732.4514334,682,-16.0
1576936748.8252747,683,-10.0
1576936770.3977613,684,-15.0
1576936810.3936048,686,-17.0
1576936851.7808802,688,-15.0
1576936873.5828166,689,-9.0
1576936991.8812788,696,-19.0
1576937044.8719168,699,-12.0
1576937131.6220427,703,-10.0
1576937195.7076874,706,-16.0
1576937234.0463085,708,-15.0
1576937266.630763,710,-19.0
1576937311.554394,714,-18.0
1576937386.0139837,718,-13.0
1576937451.9441767,721,-13.0
1576937472.2159908,722,-10.0
1576937491.4268873,723,-9.0
1576937516.5620754,724,-2.0
1576937622.62579,730,-14.0
1576937727.6948187,736,-9.0
1576937775.0078073,738,-9.0
