Wall time,Step,Value
1576927549.4603975,5,-20.0
1576927555.7420878,6,-21.0
1576927592.505434,11,-19.0
1576927611.0316968,14,-21.0
1576927616.5378916,15,-21.0
1576927634.3163567,18,-21.0
1576927640.6456964,19,-21.0
1576927646.1772687,20,-21.0
1576927671.2692664,24,-21.0
1576927754.4728587,36,-21.0
1576927784.1761217,40,-20.0
1576927797.240433,42,-20.0
1576927813.4198217,44,-19.0
1576927821.2561235,45,-20.0
1576927834.6018434,47,-19.0
1576927874.9241486,53,-19.0
1576927881.1851048,54,-20.0
1576927888.5145764,55,-20.0
1576927895.8380609,56,-20.0
1576927902.5715644,57,-21.0
1576927959.7222917,65,-21.0
1576927978.334205,68,-21.0
1576927997.6389718,71,-21.0
1576928004.75667,72,-20.0
1576928011.263029,73,-20.0
1576928016.9374151,74,-21.0
1576928046.3921795,79,-21.0
1576928095.0525646,87,-21.0
1576928101.257349,88,-21.0
1576928140.285772,94,-21.0
1576928197.3865235,102,-21.0
1576928219.6571815,105,-21.0
1576928227.825117,106,-20.0
1576928279.337007,113,-21.0
1576928298.0232284,116,-21.0
1576928313.1364703,118,-21.0
1576928371.04499,126,-21.0
1576928393.905535,129,-21.0
1576928400.742168,130,-21.0
1576928486.2883863,139,-21.0
1576928503.8941946,141,-18.0
1576928515.096112,142,-20.0
1576928525.9227798,143,-19.0
1576928595.1736135,150,-13.0
1576928659.1769783,155,-18.0
1576928687.7569482,157,-18.0
1576928699.4480412,158,-20.0
1576928745.9783752,162,-21.0
1576928817.9516258,167,-21.0
1576928832.87646,168,-17.0
1576928877.7430038,171,-16.0
1576928966.1701963,177,-20.0
1576928980.8176317,178,-19.0
1576929004.1845708,180,-17.0
1576929047.6909392,183,-17.0
1576929082.3785448,185,-16.0
1576929095.611661,186,-19.0
1576929129.610508,188,-17.0
1576929164.9504344,190,-16.0
1576929182.6078415,191,-19.0
1576929291.9103184,198,-18.0
1576929425.862318,206,-19.0
1576929443.0667536,207,-18.0
1576929458.7418404,208,-20.0
1576929527.7391968,212,-20.0
1576929744.0521555,222,-18.0
1576929768.411776,223,-14.0
1576929818.948401,225,-14.0
1576929895.5123582,229,-20.0
1576929931.0658746,232,-19.0
1576929949.1412427,233,-17.0
1576929967.2371686,234,-17.0
1576930008.385948,237,-20.0
1576930246.3304036,249,-19.0
1576930353.5517514,255,-12.0
1576930413.660467,258,-17.0
1576930447.6641643,260,-15.0
1576930461.9496927,261,-20.0
1576930497.4287815,263,-13.0
1576930554.9549537,267,-19.0
1576930631.1076765,271,-13.0
1576930666.8162334,273,-16.0
1576930778.1977353,278,-15.0
1576931133.957543,292,-15.0
1576931239.523984,297,-18.0
1576931255.3161044,298,-21.0
1576931338.673073,302,-20.0
1576931366.582848,303,-17.0
1576931461.0715728,307,-18.0
1576931475.5086203,308,-16.0
1576931506.8606117,310,-17.0
1576931573.298771,313,-12.0
1576931686.4835622,318,-19.0
1576931713.5967143,319,-10.0
1576931738.92974,320,-15.0
1576931853.7453396,325,-15.0
1576931874.9882815,326,-20.0
1576931896.8046856,327,-13.0
1576931964.882359,330,-18.0
1576932148.9646223,339,-18.0
1576932184.4141316,341,-18.0
1576932318.4386568,347,-14.0
1576932440.461019,353,-19.0
1576932469.0494077,354,-13.0
1576932580.6817248,360,-19.0
1576932637.6914845,363,-12.0
1576932696.9029543,367,-20.0
1576932767.5506225,371,-17.0
1576932814.346861,373,-15.0
1576932911.0683606,377,-11.0
1576932937.0236425,378,-17.0
1576932963.1138756,379,-14.0
1576933017.5721354,381,-14.0
1576933120.259844,386,-16.0
1576933208.6270826,391,-21.0
1576933222.5719416,392,-18.0
1576933239.5785682,393,-17.0
1576933527.4540405,408,-19.0
1576933670.1565957,415,-15.0
1576933809.0726278,421,-12.0
1576933842.357563,422,-4.0
1576933884.9357285,424,-16.0
1576933932.3049116,426,-14.0
1576934013.883994,430,-16.0
1576934223.2319393,439,-17.0
1576934268.0657363,441,-18.0
1576934289.9394379,442,-15.0
1576934350.1874676,445,-18.0
1576934478.1529734,451,-18.0
1576934642.8805668,459,-18.0
1576934670.7586412,460,-12.0
1576934731.0914297,463,-17.0
1576934752.681515,464,-15.0
1576934865.427825,473,-20.0
1576934872.30362,474,-21.0
1576935026.9737043,485,-14.0
1576935055.109376,488,-18.0
1576935061.3632255,489,-21.0
1576935084.6341672,491,-19.0
1576935109.5604906,493,-18.0
