Wall time,Step,Value
1576927546.6523108,5,-21.0
1576927555.6161299,6,-20.0
1576927595.1201298,11,-19.0
1576927618.496062,14,-21.0
1576927625.7801828,15,-21.0
1576927647.6499982,18,-20.0
1576927653.9395278,19,-21.0
1576927661.700771,20,-21.0
1576927691.128851,24,-20.0
1576927780.696714,36,-21.0
1576927814.5101879,40,-20.0
1576927827.6013246,42,-21.0
1576927844.1058724,44,-21.0
1576927851.0198715,45,-21.0
1576927865.6058176,47,-21.0
1576927913.5451505,53,-21.0
1576927921.7239652,54,-21.0
1576927928.0106947,55,-21.0
1576927934.3756046,56,-21.0
1576927942.2764537,57,-20.0
1576928008.6019692,65,-21.0
1576928036.439062,68,-20.0
1576928059.1468258,71,-20.0
1576928066.5034804,72,-21.0
1576928075.5526097,73,-19.0
1576928084.1838236,74,-19.0
1576928126.459605,79,-21.0
1576928192.0141766,87,-21.0
1576928200.6222334,88,-21.0
1576928245.7435763,94,-20.0
1576928307.6148958,102,-20.0
1576928332.7983797,105,-20.0
1576928339.6445777,106,-21.0
1576928400.0486636,113,-21.0
1576928420.6121902,116,-21.0
1576928436.9587746,118,-21.0
1576928503.6029623,126,-21.0
1576928531.543681,129,-20.0
1576928541.715182,130,-19.0
1576928617.4397078,139,-21.0
1576928635.6772382,141,-21.0
1576928647.2207239,142,-20.0
1576928658.7436624,143,-19.0
1576928737.8779993,150,-20.0
1576928784.5482244,155,-20.0
1576928808.5117126,157,-18.0
1576928818.7421703,158,-21.0
1576928852.889282,162,-21.0
1576928895.0274568,167,-21.0
1576928901.5937548,168,-21.0
1576928924.209433,171,-21.0
1576928988.438621,177,-18.0
1576929002.507952,178,-21.0
1576929023.3106434,180,-18.0
1576929051.9884686,183,-21.0
1576929077.1231937,185,-20.0
1576929088.418468,186,-20.0
1576929104.5775876,188,-21.0
1576929126.107198,190,-20.0
1576929138.6547213,191,-21.0
1576929224.7976665,198,-18.0
1576929323.570718,206,-19.0
1576929332.388973,207,-20.0
1576929349.522734,208,-20.0
1576929414.4795167,212,-16.0
1576929544.9772375,222,-19.0
1576929560.704806,223,-19.0
1576929608.1723301,225,-17.0
1576929666.962477,229,-21.0
1576929721.1258833,232,-19.0
1576929734.354242,233,-18.0
1576929746.2093713,234,-20.0
1576929788.0012832,237,-19.0
1576929955.30595,249,-16.0
1576930067.5001335,255,-21.0
1576930145.9577863,258,-12.0
1576930199.691365,260,-15.0
1576930210.7049103,261,-20.0
1576930243.0338955,263,-16.0
1576930311.4101913,267,-16.0
1576930383.914777,271,-20.0
1576930414.9030168,273,-13.0
1576930510.8369353,278,-15.0
1576930772.467871,292,-16.0
1576930864.1798608,297,-16.0
1576930885.1236415,298,-17.0
1576930967.1195226,302,-14.0
1576930981.0535207,303,-18.0
1576931048.6634636,307,-17.0
1576931065.2019253,308,-17.0
1576931094.9737148,310,-15.0
1576931137.8444328,313,-18.0
1576931225.8198042,318,-20.0
1576931235.117386,319,-20.0
1576931248.812624,320,-17.0
1576931298.0910394,325,-19.0
1576931314.33288,326,-15.0
1576931323.593289,327,-21.0
1576931357.7494755,330,-21.0
1576931517.3307178,339,-14.0
1576931553.4697745,341,-14.0
1576931675.2343106,347,-18.0
1576931806.0279853,353,-17.0
1576931824.9800076,354,-15.0
1576931952.6027815,360,-11.0
1576932018.0330367,363,-11.0
1576932108.8982525,367,-18.0
1576932196.7046773,371,-16.0
1576932257.9843016,373,-16.0
1576932364.114965,377,-14.0
1576932395.7813156,378,-11.0
1576932426.597255,379,-18.0
1576932481.1469321,381,-16.0
1576932562.1686707,386,-20.0
1576932675.3087819,391,-17.0
1576932702.5328143,392,-14.0
1576932730.5618587,393,-12.0
1576933116.3481731,408,-19.0
1576933296.849071,415,-17.0
1576933517.401632,421,-12.0
1576933553.748,422,-12.0
1576933611.3831367,424,-17.0
1576933672.4857419,426,-11.0
1576933800.56469,430,-15.0
1576934059.4074385,439,-12.0
1576934123.6897352,441,-11.0
1576934132.9288979,442,-19.0
1576934199.4651754,445,-15.0
1576934314.9903715,451,-12.0
1576934516.288953,459,-14.0
1576934542.6259048,460,-11.0
1576934603.2684798,463,-15.0
1576934620.9394042,464,-18.0
1576934813.9589918,473,-18.0
1576934835.8703988,474,-16.0
1576935177.1503925,485,-11.0
1576935297.1016793,488,-17.0
1576935331.5113633,489,-17.0
1576935385.034373,491,-17.0
1576935443.795741,493,-12.0
1576935748.8230844,507,-14.0
1576935858.6440215,512,-20.0
1576935912.169729,514,-18.0
1576936007.5253751,517,-15.0
1576936081.9576302,519,-8.0
1576936232.395016,524,-20.0
1576936246.6165755,525,-19.0
1576936381.7014434,531,-19.0
1576936418.6264741,533,-20.0
1576936433.9061182,534,-18.0
1576936461.991282,536,-21.0
1576936469.043593,537,-21.0
1576936518.8178635,540,-12.0
1576936548.4652429,542,-19.0
1576936680.517621,547,-13.0
1576936709.9432147,548,-15.0
1576936967.6165273,557,-19.0
1576937016.9216313,559,-13.0
1576937198.0198061,563,-14.0
1576937233.5389707,564,-9.0
1576937267.224492,565,-12.0
1576937399.5592248,569,-10.0
1576937434.2497714,573,-21.0
1576937440.6521301,574,-21.0
1576937462.0861003,577,-21.0
1576937478.476912,579,-20.0
1576937488.944839,580,-20.0
1576937501.2649522,581,-19.0
1576937509.2970486,582,-21.0
1576937516.2330508,583,-21.0
1576937523.1984694,584,-21.0
1576937569.0507565,586,-3.0
1576937601.6114953,587,-8.0
1576937746.3499272,592,-13.0
1576937784.7453628,593,-12.0
1576937918.6028738,597,-11.0
1576937959.4479995,600,-21.0
1576937972.8697546,602,-21.0
1576938086.6111608,608,-9.0
1576938145.5838306,610,-10.0
1576938272.025193,615,-8.0
1576938352.0164409,619,-14.0
1576938366.921144,620,-18.0
1576938399.274991,622,-20.0
1576938799.1952612,634,-13.0
1576939010.8970792,641,-15.0
1576939053.0874975,642,-11.0
1576939126.0381618,644,-6.0
1576939151.2520845,645,-13.0
1576939174.590262,646,-15.0
1576939201.9941876,647,-10.0
1576939226.162725,649,-19.0
1576939276.3421419,652,-7.0
1576939398.8247025,656,-13.0
1576939418.2040844,657,-11.0
1576939469.4412947,661,-21.0
1576939496.978019,664,-17.0
1576939554.487169,668,-21.0
1576939648.5932634,671,-4.0
1576939679.2686234,672,-14.0
1576939705.3966243,673,-15.0
1576939733.73182,674,-13.0
1576939763.4262166,675,-7.0
1576939834.1458356,677,-5.0
1576939876.4371939,678,3.0
1576939888.3273754,679,-16.0
1576939914.0152194,682,-21.0
1576939926.963927,683,-19.0
1576939942.738219,684,-16.0
1576939961.7496662,686,-19.0
