Wall time,Step,Value
1576769316.2381375,5,1063.0
1576769320.4094462,6,1226.0
1576769339.0657268,11,981.0
1576769350.270044,14,1208.0
1576769355.64901,15,1584.0
1576769367.0602815,18,1061.0
1576769371.542248,19,1346.0
1576769374.9131842,20,1010.0
1576769390.5860937,24,1180.0
1576769438.1311421,36,1248.0
1576769455.3846567,40,1135.0
1576769463.2312543,42,1305.0
1576769471.929669,44,1130.0
1576769475.9815474,45,1186.0
1576769484.9184518,47,1073.0
1576769510.845461,53,1286.0
1576769514.3028169,54,983.0
1576769518.2170599,55,1111.0
1576769521.9964025,56,1081.0
1576769526.3343477,57,1238.0
1576769560.2629476,65,1170.0
1576769574.4448056,68,1521.0
1576769589.382736,71,1182.0
1576769593.0975819,72,1046.0
1576769598.2358565,73,1461.0
1576769603.4789445,74,1492.0
1576769626.2287025,79,1304.0
1576769663.1238842,87,1196.0
1576769667.6493802,88,1272.0
1576769696.014409,94,1307.0
1576769740.693505,102,1732.0
1576769762.773538,105,2366.0
1576769769.3451073,106,1811.0
1576769814.830686,113,1945.0
1576769833.1898007,116,1324.0
1576769846.7268023,118,1724.0
1576769912.4055257,126,3198.0
1576769936.6352456,129,1950.0
1576769943.1352212,130,1773.0
1576770033.0048816,139,3399.0
1576770050.0087528,141,2371.0
1576770057.940059,142,2152.0
1576770066.124238,143,2227.0
1576770125.4540997,150,2354.0
1576770168.3811755,155,2113.0
1576770183.4923751,157,1980.0
1576770195.1298354,158,3183.0
1576770234.2219796,162,3151.0
1576770295.2549589,167,3013.0
1576770312.0853312,168,4589.0
1576770350.4294884,171,3419.0
1576770423.2734466,177,3199.0
1576770434.8137105,178,3130.0
1576770458.2491484,180,3086.0
1576770502.5393047,183,3965.0
1576770528.0560968,185,3917.0
1576770538.095558,186,2693.0
1576770562.058214,188,3548.0
1576770585.0579653,190,2885.0
1576770597.5819998,191,3379.0
1576770689.3834372,198,4902.0
1576770784.6781838,206,2063.0
1576770794.7161615,207,2744.0
1576770805.664878,208,2999.0
1576770857.033234,212,3488.0
1576770999.7246444,222,3180.0
1576771017.4170513,223,4859.0
1576771041.0881505,225,2492.0
1576771099.1836188,229,3829.0
1576771149.127822,232,5203.0
1576771164.4918585,233,4173.0
1576771175.2656715,234,2939.0
1576771221.057735,237,4134.0
1576771409.2953398,249,3344.0
1576771490.6247466,255,4526.0
1576771528.4909804,258,2779.0
1576771552.90015,260,2878.0
1576771563.0395722,261,2782.0
1576771596.2291486,263,4861.0
1576771653.4887614,267,3889.0
1576771716.5373635,271,5307.0
1576771742.6906006,273,3355.0
1576771831.9491556,278,5309.0
1576772084.0717123,292,4426.0
1576772158.3560066,297,2563.0
1576772173.5172014,298,4180.0
1576772232.4037457,302,3388.0
1576772252.3583293,303,5492.0
1576772324.8534071,307,4389.0
1576772341.2827432,308,4532.0
1576772372.976042,310,5093.0
1576772425.8554368,313,5754.0
1576772504.7729342,318,4941.0
1576772522.6018243,319,4909.0
1576772539.1372123,320,4554.0
1576772621.4009838,325,5072.0
1576772638.0419416,326,4569.0
1576772658.583852,327,5653.0
1576772715.4955153,330,3421.0
1576772870.361025,339,3550.0
1576772900.2023358,341,3587.0
1576772985.2997994,347,3753.0
1576773096.8620532,353,6363.0
1576773110.2592814,354,3688.0
1576773217.2418857,360,3627.0
1576773268.6838055,363,3433.0
1576773339.8315277,367,6560.0
1576773404.0357373,371,4144.0
1576773441.1812541,373,5892.0
1576773515.264668,377,8085.0
1576773531.288639,378,4398.0
1576773546.1991792,379,4096.0
1576773578.3464904,381,4221.0
1576773652.3394303,386,3582.0
1576773740.0997386,391,5346.0
1576773756.8435884,392,4601.0
1576773770.9918814,393,3892.0
1576774020.9097297,408,5562.0
1576774113.727441,415,3200.0
1576774198.0929928,421,4727.0
1576774219.6925008,422,5941.0
1576774254.2022386,424,5394.0
1576774286.193967,426,4882.0
1576774344.9008613,430,3102.0
1576774480.567398,439,3546.0
1576774509.1299367,441,3403.0
1576774530.5407577,442,5900.0
1576774577.0986779,445,4079.0
1576774672.7162418,451,4249.0
1576774800.1025317,459,3922.0
1576774817.9390817,460,4906.0
1576774864.9868326,463,5087.0
1576774880.7802262,464,4341.0
1576775017.0571098,473,3670.0
1576775034.3996136,474,4782.0
1576775217.3822484,485,5131.0
1576775263.1729736,488,3842.0
1576775275.1022413,489,3276.0
1576775300.5160463,491,3211.0
1576775331.736894,493,4083.0
1576775587.9600286,507,5451.0
1576775669.7430973,512,4716.0
1576775710.0851214,514,6470.0
1576775756.7584822,517,4483.0
1576775791.1164246,519,4478.0
1576775873.373233,524,5522.0
1576775885.5231335,525,3332.0
1576775982.8195562,531,5338.0
1576776013.5285196,533,4286.0
1576776033.0332608,534,5380.0
1576776060.5643835,536,3293.0
1576776077.4862158,537,4667.0
1576776118.4478643,540,3471.0
1576776152.534844,542,5472.0
1576776245.0326877,547,5563.0
1576776258.132671,548,3591.0
1576776394.8920798,557,3835.0
1576776427.9553375,559,4997.0
1576776494.1996644,563,5446.0
1576776512.744299,564,5101.0
1576776523.0427616,565,2823.0
1576776586.6215496,569,3730.0
1576776664.391072,573,6023.0
1576776680.239001,574,4353.0
1576776732.348574,577,5566.0
1576776765.9347682,579,5037.0
1576776780.9160721,580,4113.0
1576776793.3399518,581,3409.0
1576776805.6458178,582,3372.0
1576776822.577191,583,4664.0
1576776834.8414125,584,3366.0
1576776866.6753547,586,3941.0
1576776881.8565838,587,4171.0
1576776963.9550972,592,5490.0
1576776982.1868658,593,5010.0
1576777052.5109887,597,4528.0
1576777091.6238508,600,4166.0
1576777112.0740168,602,3136.0
1576777196.4296038,608,3384.0
1576777229.1108596,610,4018.0
1576777301.9486291,615,4114.0
1576777366.9061158,619,3609.0
1576777378.3371148,620,3139.0
1576777408.8040457,622,4510.0
1576777604.0972447,634,5554.0
1576777708.3128586,641,4849.0
1576777718.9860978,642,2917.0
1576777746.1752326,644,3998.0
1576777760.2520745,645,3852.0
1576777776.4627013,646,4444.0
1576777790.2377832,647,3776.0
1576777819.2168941,649,3366.0
1576777861.2552092,652,3962.0
1576777912.6202521,656,3688.0
1576777929.2866693,657,4562.0
1576777985.6191664,661,3897.0
1576778037.1670187,664,4272.0
1576778086.5697246,668,2986.0
1576778134.67569,671,4409.0
1576778151.6646497,672,4657.0
1576778166.782663,673,4138.0
1576778179.4875479,674,3482.0
1576778192.8574193,675,3666.0
1576778225.1329727,677,4375.0
1576778239.024021,678,3808.0
1576778250.2472355,679,3074.0
1576778296.323061,682,4362.0
1576778312.4984372,683,4443.0
1576778332.1423657,684,5412.0
1576778364.929559,686,3901.0
1576778399.3569846,688,4888.0
1576778417.234517,689,4906.0
1576778538.6675577,696,3975.0
1576778584.4736044,699,3896.0
1576778647.939288,703,4268.0
1576778681.0640237,706,3081.0
1576778707.056655,708,3529.0
1576778731.1513557,710,3187.0
1576778776.4408157,714,2891.0
1576778829.3338544,718,3388.0
1576778868.8429387,721,3842.0
1576778882.568241,722,3761.0
1576778895.564714,723,3557.0
1576778912.754635,724,4720.0
1576779004.8458483,730,4857.0
1576779097.9408736,736,4521.0
1576779125.909107,738,3974.0
1576779140.2030723,739,3914.0
1576779201.3006854,743,4605.0
1576779244.881832,746,4588.0
1576779260.0939848,747,4171.0
1576779302.5927632,750,3249.0
1576779314.077523,751,3102.0
1576779328.2609782,752,3890.0
1576779365.8154783,754,5182.0
1576779390.144955,756,3399.0
1576779472.1171076,762,3354.0
1576779503.939096,765,2800.0
1576779519.6290607,766,4308.0
1576779556.2919219,769,3970.0
1576779568.6944454,770,3393.0
1576779579.0365314,771,2830.0
1576779604.8916535,773,3889.0
1576779622.7177305,774,4892.0
1576779718.0686698,780,5307.0
1576779785.4410682,784,4414.0
1576779801.8254411,785,4497.0
1576779827.753691,787,3199.0
1576779854.672196,789,4467.0
1576779878.4592137,791,3960.0
1576779892.6174152,792,3880.0
1576779911.2984953,793,5127.0
1576779931.7330563,794,5611.0
1576779943.4635706,795,3202.0
1576779990.6275184,798,4646.0
1576780020.5022402,800,4977.0
1576780052.3200526,802,3648.0
1576780088.7303593,805,3553.0
1576780119.0668476,807,4573.0
1576780134.539492,808,4238.0
1576780150.4079971,809,4356.0
1576780241.9573977,815,3562.0
1576780257.3378403,816,4217.0
1576780282.2110956,818,2752.0
1576780324.563011,821,2963.0
1576780376.066709,825,3458.0
1576780407.7362154,828,2824.0
1576780442.656308,831,2568.0
1576780455.3080857,832,3471.0
1576780478.260686,834,2900.0
1576780497.8629603,836,2542.0
1576780519.891943,838,2821.0
1576780578.6925123,843,2547.0
1576780622.8088179,846,3504.0
1576780644.9438553,848,3453.0
1576780873.2224116,863,5274.0
1576780927.687167,867,3717.0
1576780956.0599833,869,4447.0
1576780972.845658,870,4605.0
1576781029.7212489,874,4169.0
1576781063.3472729,876,4942.0
1576781077.0357664,877,3750.0
1576781113.9483583,880,2474.0
1576781140.1903903,882,2845.0
1576781170.2705638,884,4709.0
1576781204.027394,887,2999.0
1576781228.5019221,889,3478.0
1576781239.5932662,890,3035.0
1576781266.5684621,892,4475.0
1576781317.0228536,896,3354.0
1576781360.7692502,900,2271.0
1576781436.5187488,907,2454.0
1576781449.9700422,908,3289.0
1576781460.786074,909,2949.0
1576781473.1795034,910,3396.0
1576781500.7370894,912,4674.0
1576781540.7345734,915,4047.0
1576781557.1762378,916,4513.0
1576781570.6869226,917,3697.0
1576781617.5265534,920,4675.0
1576781635.0973868,921,4818.0
1576781653.7733927,922,5126.0
1576781665.7304366,923,3268.0
1576781795.2973406,931,3697.0
1576781809.787239,932,3986.0
1576781847.5189168,935,3864.0
1576781946.361821,942,4415.0
1576781985.6073666,945,4450.0
1576782072.0471823,953,3839.0
1576782083.859312,954,3244.0
1576782112.3614595,956,3727.0
1576782125.5825446,957,3629.0
1576782134.1058607,958,2329.0
1576782176.766209,961,4566.0
1576782189.0123043,962,3356.0
1576782207.437845,964,2710.0
