Wall time,Step,Value
1576769337.7174792,5,1235.0
1576769343.3523355,6,1177.0
1576769374.8115144,11,1431.0
1576769390.7407598,14,1133.0
1576769395.7335758,15,1030.0
1576769414.3415322,18,1396.0
1576769420.0345733,19,1170.0
1576769426.1789608,20,1274.0
1576769449.9880066,24,1271.0
1576769520.2247162,36,994.0
1576769543.872777,40,1132.0
1576769556.16553,42,1246.0
1576769569.2081754,44,1339.0
1576769575.225067,45,1216.0
1576769586.4428136,47,1001.0
1576769622.1940844,53,1160.0
1576769627.6993227,54,1111.0
1576769633.2087202,55,1097.0
1576769638.6985064,56,1088.0
1576769643.7974718,57,1012.0
1576769698.5302289,65,1282.0
1576769719.2682543,68,1560.0
1576769740.8874526,71,1149.0
1576769748.395262,72,1495.0
1576769754.5120738,73,1217.0
1576769760.7417977,74,1236.0
1576769789.9491787,79,1073.0
1576769839.2818737,87,1456.0
1576769846.5246367,88,1457.0
1576769890.4234273,94,1367.0
1576769953.3291872,102,1828.0
1576769971.357486,105,1271.0
1576769978.8700585,106,1501.0
1576770032.0092196,113,1532.0
1576770057.5586264,116,2021.0
1576770072.9432724,118,1589.0
1576770150.1462598,126,1840.0
1576770191.566422,129,2540.0
1576770201.6677384,130,1989.0
1576770296.4573972,139,1986.0
1576770319.934548,141,2888.0
1576770329.4714892,142,1874.0
1576770344.001371,143,2843.0
1576770450.359639,150,3293.0
1576770521.6889193,155,2061.0
1576770549.476311,157,2720.0
1576770565.6045728,158,3170.0
1576770618.3430023,162,3496.0
1576770677.3104458,167,1793.0
1576770686.6023426,168,1805.0
1576770725.2047756,171,2326.0
1576770792.425387,177,3042.0
1576770804.3769557,178,2316.0
1576770829.5803566,180,2555.0
1576770877.0147188,183,2941.0
1576770911.505381,185,2778.0
1576770927.302058,186,3101.0
1576770955.3701353,188,2554.0
1576770981.233066,190,3212.0
1576770999.7253566,191,3658.0
1576771104.9230826,198,2197.0
1576771237.4962707,206,3542.0
1576771259.864628,207,4447.0
1576771277.934194,208,3548.0
1576771349.0839481,212,3523.0
1576771493.9727824,222,2952.0
1576771507.970755,223,2773.0
1576771538.8443515,225,2458.0
1576771601.2394617,229,2553.0
1576771666.1051579,232,5364.0
1576771683.7262416,233,3504.0
1576771704.492278,234,4138.0
1576771741.5951648,237,3589.0
1576771962.9505343,249,3140.0
1576772062.5107036,255,3323.0
1576772112.2206728,258,3037.0
1576772145.8607879,260,3031.0
1576772162.979008,261,3396.0
1576772197.2787774,263,3206.0
1576772260.5808978,267,3612.0
1576772328.0313077,271,4182.0
1576772372.496033,273,4325.0
1576772442.6258025,278,2595.0
1576772675.508692,292,3991.0
1576772769.0806887,297,2890.0
1576772784.6608834,298,3102.0
1576772875.4611418,302,4717.0
1576772892.3014047,303,3356.0
1576772964.1008315,307,3620.0
1576772981.5576677,308,3468.0
1576773018.6416688,310,2731.0
1576773075.339708,313,4153.0
1576773153.1751127,318,2577.0
1576773172.104247,319,3765.0
1576773187.6968417,320,3110.0
1576773268.3450384,325,3308.0
1576773281.6591463,326,2639.0
1576773295.2068977,327,2698.0
