Wall time,Step,Value
1576614775.8694978,0,-21.0
1576614818.1812901,1,-19.0
1576614848.8453152,2,-21.0
1576614865.7074056,3,-20.0
1576614896.788268,4,-21.0
1576614928.118143,5,-21.0
1576614961.5815508,6,-20.0
1576614993.01261,7,-20.0
1576615025.4376168,8,-21.0
1576615056.7554247,9,-21.0
1576615073.9906974,10,-21.0
1576615104.8288023,11,-20.0
1576615137.6227534,12,-21.0
1576615168.6299388,13,-21.0
1576615185.971388,14,-19.0
1576615217.2521226,15,-20.0
1576615249.2607176,16,-18.0
1576615280.005183,17,-21.0
1576615313.752068,18,-20.0
1576615345.0180137,19,-21.0
1576615378.208849,20,-20.0
1576615395.2403965,21,-20.0
1576615426.6044965,22,-20.0
1576615457.7016695,23,-21.0
1576615474.5147936,24,-21.0
1576615521.553904,25,-19.0
1576615553.547424,26,-19.0
1576615571.0780854,27,-21.0
1576615602.7564697,28,-21.0
1576615633.830946,29,-21.0
1576615665.3869886,30,-20.0
1576615682.328893,31,-21.0
1576615713.7656748,32,-21.0
1576615745.7912796,33,-19.0
1576615777.120725,34,-21.0
1576615809.7989886,35,-21.0
1576615841.6360216,36,-20.0
1576615873.261092,37,-20.0
1576615905.3452992,38,-19.0
1576615936.5430017,39,-21.0
1576615967.8033776,40,-21.0
1576615985.5189242,41,-21.0
1576616016.6660903,42,-20.0
1576616048.8654797,43,-21.0
1576616065.776753,44,-21.0
1576616119.935862,45,-21.0
1576616152.234782,46,-21.0
1576616183.1086323,47,-21.0
1576616200.038188,48,-21.0
1576616230.9004261,49,-21.0
1576616247.7357652,50,-21.0
1576616279.7091537,51,-21.0
1576616311.5197878,52,-21.0
1576616342.2905507,53,-21.0
1576616374.1837573,54,-21.0
1576616405.7628229,55,-20.0
1576616422.8619661,56,-20.0
1576616459.765668,57,-21.0
1576616491.079417,58,-21.0
1576616522.621221,59,-20.0
1576616555.179491,60,-20.0
1576616587.4170032,61,-18.0
1576616618.5073154,62,-21.0
1576616650.834438,63,-20.0
1576616682.045552,64,-21.0
1576616699.109109,65,-20.0
1576616749.849341,66,-18.0
1576616806.4092975,67,-21.0
1576616854.4752061,68,-19.0
1576616894.4172835,69,-18.0
1576616943.5666504,70,-20.0
1576616998.4748924,71,-20.0
1576617030.2683797,72,-19.0
1576617063.0721161,73,-21.0
1576617095.791149,74,-20.0
1576617130.2383194,75,-19.0
1576617165.0621269,76,-20.0
1576617199.029358,77,-19.0
1576617235.3090804,78,-21.0
1576617283.6880245,79,-19.0
1576617316.062298,80,-21.0
1576617349.625772,81,-20.0
1576617383.1620986,82,-20.0
1576617418.0750613,83,-21.0
1576617511.4701507,84,-19.0
1576617545.214213,85,-21.0
1576617623.7914197,86,-21.0
1576617660.7207212,87,-21.0
1576617693.457738,88,-21.0
1576617711.4885204,89,-21.0
1576617763.8236103,90,-19.0
1576617812.0058901,91,-19.0
1576617880.1483932,92,-19.0
1576617932.230438,93,-20.0
1576617969.9599838,94,-19.0
1576618017.781179,95,-19.0
1576618053.8049312,96,-19.0
1576618117.3871596,97,-20.0
1576618187.3447638,98,-21.0
1576618244.0481617,99,-18.0
1576618321.6217575,100,-21.0
1576618371.8710837,101,-20.0
1576618432.5154898,102,-20.0
1576618560.3447585,103,-18.0
1576618594.6103172,104,-16.0
1576618630.6541982,105,-20.0
1576618757.111022,106,-16.0
1576618814.6170568,107,-20.0
1576618853.2026412,108,-18.0
1576619076.8678129,109,-20.0
1576619206.9908674,110,-17.0
1576619347.7675831,111,-19.0
1576619508.7251668,112,-19.0
1576619594.0671306,113,-21.0
1576619735.5944953,114,-18.0
1576620177.3135219,115,-16.0
1576620504.5895865,116,-15.0
1576620764.5946877,117,-19.0
1576620999.5842795,118,-20.0
1576621291.7138927,119,-16.0
1576621541.2166774,120,-20.0
1576621819.6001759,121,-16.0
1576622051.830723,122,-18.0
1576622482.7936993,123,-15.0
1576622807.5454605,124,-16.0
