Wall time,Step,Value
1576614785.870049,0,-21.0
1576614818.2790627,1,-21.0
1576614853.1684828,2,-18.0
1576614886.7383318,3,-21.0
1576614920.487674,4,-18.0
1576614954.6340127,5,-20.0
1576614988.1581223,6,-21.0
1576615021.2733667,7,-21.0
1576615039.3916538,8,-21.0
1576615073.332256,9,-21.0
1576615106.268331,10,-21.0
1576615125.6492574,11,-21.0
1576615158.7619555,12,-21.0
1576615217.280466,13,-21.0
1576615235.457363,14,-20.0
1576615270.0469613,15,-20.0
1576615305.9984205,16,-20.0
1576615339.9943252,17,-20.0
1576615374.7223604,18,-21.0
1576615426.283001,19,-20.0
1576615459.8191214,20,-21.0
1576615478.6007533,21,-21.0
1576615512.5088499,22,-21.0
1576615547.2836206,23,-21.0
1576615582.6348886,24,-19.0
1576615617.1980724,25,-20.0
1576615650.920273,26,-20.0
1576615688.026071,27,-20.0
1576615721.8420331,28,-20.0
1576615755.6014822,29,-20.0
1576615789.3714895,30,-21.0
1576615807.746005,31,-21.0
1576615857.3062983,32,-20.0
1576615875.734722,33,-21.0
1576615909.288664,34,-20.0
1576615943.3661327,35,-20.0
1576615976.7165568,36,-20.0
1576616010.4031987,37,-20.0
1576616044.175573,38,-21.0
1576616062.8258178,39,-20.0
1576616100.7709103,40,-21.0
1576616133.8935802,41,-21.0
1576616152.4484909,42,-20.0
1576616206.598951,43,-20.0
1576616241.625571,44,-20.0
1576616275.8979778,45,-18.0
1576616309.4756212,46,-20.0
1576616343.1860793,47,-19.0
1576616377.479327,48,-19.0
1576616410.7002304,49,-21.0
1576616444.6767716,50,-21.0
1576616477.6707125,51,-21.0
1576616495.9680154,52,-21.0
1576616529.110387,53,-21.0
1576616563.2140253,54,-20.0
1576616598.88597,55,-21.0
1576616636.9860756,56,-20.0
1576616746.3501043,57,-19.0
1576616764.7846944,58,-21.0
1576616798.85781,59,-21.0
1576616832.9174473,60,-21.0
1576616882.6648612,61,-19.0
1576616901.9992611,62,-21.0
1576616935.4862883,63,-19.0
1576616969.7071376,64,-20.0
1576617005.9466295,65,-19.0
1576617039.0714774,66,-20.0
1576617057.0540156,67,-21.0
1576617114.9044368,68,-20.0
1576617169.448557,69,-19.0
1576617190.3538163,70,-21.0
1576617247.4457703,71,-21.0
1576617281.3067975,72,-20.0
1576617315.1532657,73,-21.0
1576617363.0659559,74,-20.0
1576617398.0126233,75,-21.0
1576617433.09524,76,-20.0
1576617484.252311,77,-19.0
1576617519.5404203,78,-21.0
1576617554.0493207,79,-20.0
1576617587.8382077,80,-20.0
1576617605.972947,81,-21.0
1576617684.0237074,82,-20.0
1576617717.674293,83,-19.0
1576617787.7638128,84,-19.0
1576617852.376172,85,-19.0
1576617909.3288884,86,-21.0
1576617945.126961,87,-20.0
1576617997.3851392,88,-18.0
1576618032.290247,89,-21.0
1576618085.7226188,90,-21.0
1576618150.9143713,91,-19.0
1576618297.6351805,92,-18.0
1576618418.450856,93,-20.0
1576618491.3373883,94,-21.0
1576618648.8186827,95,-18.0
1576618748.8265252,96,-19.0
1576618801.986583,97,-17.0
1576618921.233946,98,-20.0
1576619005.4177945,99,-20.0
1576619120.9893506,100,-18.0
1576619256.7919917,101,-20.0
1576619345.3322213,102,-21.0
1576619386.807942,103,-20.0
1576619427.8190994,104,-21.0
1576619567.486182,105,-16.0
1576619619.4251459,106,-18.0
1576619755.9719176,107,-19.0
1576619843.9782612,108,-19.0
1576619951.1744525,109,-18.0
1576620179.1681776,110,-16.0
1576620383.624176,111,-18.0
1576620572.0634499,112,-19.0
1576620809.644167,113,-20.0
1576621068.0111547,114,-14.0
1576621334.07298,115,-17.0
1576621480.372315,116,-14.0
1576621698.6355195,117,-13.0
1576621983.2497756,118,-20.0
1576622386.8315225,119,-20.0
