Wall time,Step,Value
1576614812.1366677,0,-21.0
1576614846.520707,1,-20.0
1576614879.410419,2,-20.0
1576614913.342457,3,-21.0
1576614948.8397093,4,-21.0
1576614982.6005065,5,-20.0
1576615000.769736,6,-20.0
1576615033.4887161,7,-21.0
1576615065.471378,8,-21.0
1576615116.046759,9,-20.0
1576615148.3158774,10,-21.0
1576615182.5549786,11,-21.0
1576615219.380345,12,-19.0
1576615254.3563404,13,-19.0
1576615287.05354,14,-21.0
1576615327.1434734,15,-21.0
1576615360.5266247,16,-19.0
1576615393.0058844,17,-21.0
1576615426.2337737,18,-20.0
1576615444.4829261,19,-20.0
1576615477.419506,20,-21.0
1576615509.933537,21,-21.0
1576615542.7162664,22,-20.0
1576615561.3310869,23,-20.0
1576615594.597681,24,-21.0
1576615642.8673344,25,-19.0
1576615675.9488277,26,-20.0
1576615693.8496244,27,-21.0
1576615726.7383227,28,-21.0
1576615746.6298604,29,-21.0
1576615779.0612035,30,-21.0
1576615811.54188,31,-20.0
1576615829.6751828,32,-20.0
1576615862.2227693,33,-20.0
1576615894.5316513,34,-21.0
1576615927.4339526,35,-21.0
1576615960.6879134,36,-20.0
1576615993.9589553,37,-20.0
1576616028.1673572,38,-21.0
1576616049.6575234,39,-21.0
1576616082.9332485,40,-20.0
1576616115.3889067,41,-21.0
1576616150.1457396,42,-21.0
1576616184.1270857,43,-21.0
1576616227.391216,44,-21.0
1576616265.2548904,45,-21.0
1576616298.3981395,46,-20.0
1576616331.34823,47,-21.0
1576616349.598355,48,-20.0
1576616384.6436145,49,-19.0
1576616432.849306,50,-19.0
1576616465.5094905,51,-21.0
1576616484.3281934,52,-21.0
1576616517.2441924,53,-20.0
1576616551.7422597,54,-21.0
1576616584.0579813,55,-21.0
1576616639.8169608,56,-21.0
1576616680.5903924,57,-20.0
1576616755.9333959,58,-17.0
1576616788.3814273,59,-21.0
1576616822.2737334,60,-21.0
1576616855.9229627,61,-21.0
1576616875.9073553,62,-21.0
1576616909.0702903,63,-21.0
1576616957.7536507,64,-20.0
1576617018.018832,65,-19.0
1576617067.569658,66,-19.0
1576617125.7903464,67,-20.0
1576617192.7299159,68,-19.0
1576617261.4769876,69,-17.0
1576617284.5160615,70,-21.0
1576617318.872547,71,-19.0
1576617359.3264658,72,-21.0
1576617391.0728796,73,-21.0
1576617422.6947386,74,-21.0
1576617440.7654681,75,-21.0
1576617514.0380785,76,-21.0
1576617532.5225594,77,-21.0
1576617646.7056613,78,-20.0
1576617702.7181797,79,-19.0
1576617735.0574431,80,-21.0
1576617753.0056899,81,-21.0
1576617800.3528624,82,-21.0
1576617833.0107386,83,-21.0
1576617875.7942958,84,-21.0
1576617909.878921,85,-20.0
1576617947.0017393,86,-21.0
1576617987.511792,87,-21.0
1576618032.800623,88,-21.0
1576618065.1253123,89,-21.0
1576618098.1876142,90,-21.0
1576618186.2987196,91,-19.0
1576618219.26799,92,-19.0
1576618253.2557826,93,-20.0
1576618356.0070078,94,-16.0
1576618396.7137926,95,-20.0
1576618482.7101848,96,-21.0
1576618583.4393377,97,-19.0
1576618707.8912492,98,-20.0
1576618765.7340972,99,-18.0
1576618837.340391,100,-19.0
1576619011.9665372,101,-15.0
1576619104.139129,102,-20.0
1576619196.931056,103,-21.0
1576619307.5341995,104,-20.0
1576619359.7348585,105,-20.0
1576619472.2114496,106,-18.0
1576619656.7220902,107,-18.0
1576619792.6522036,108,-20.0
1576619967.027614,109,-19.0
1576620057.4966862,110,-20.0
1576620161.556367,111,-16.0
1576620524.5479217,112,-15.0
1576620864.7320366,113,-17.0
1576621205.6614096,114,-20.0
1576621549.9241211,115,-19.0
1576621879.5056512,116,-18.0
1576622136.3370593,117,-16.0
