Wall time,Step,Value
1576614834.387987,0,-21.0
1576614868.658157,1,-21.0
1576614927.9591918,2,-21.0
1576614947.7847185,3,-20.0
1576615000.476619,4,-20.0
1576615036.4482853,5,-19.0
1576615075.5347087,6,-18.0
1576615110.8097858,7,-20.0
1576615145.615357,8,-21.0
1576615181.4782321,9,-21.0
1576615218.2379663,10,-19.0
1576615254.725303,11,-19.0
1576615289.9306705,12,-21.0
1576615325.602187,13,-21.0
1576615360.438271,14,-21.0
1576615380.62958,15,-20.0
1576615415.3832428,16,-21.0
1576615451.1378214,17,-20.0
1576615486.7994344,18,-20.0
1576615525.2179618,19,-20.0
1576615562.071704,20,-21.0
1576615582.294525,21,-20.0
1576615620.5755126,22,-20.0
1576615655.370404,23,-21.0
1576615691.1873598,24,-21.0
1576615711.8468654,25,-21.0
1576615748.7167194,26,-20.0
1576615786.114918,27,-20.0
1576615838.653446,28,-20.0
1576615858.9116979,29,-21.0
1576615894.5480108,30,-21.0
1576615930.5329592,31,-20.0
1576615969.3438354,32,-20.0
1576616005.140138,33,-21.0
1576616040.7357788,34,-21.0
1576616077.134104,35,-20.0
1576616115.0109591,36,-19.0
1576616150.431037,37,-20.0
1576616186.7371507,38,-19.0
1576616223.7330825,39,-21.0
1576616260.2978787,40,-20.0
1576616296.8000674,41,-20.0
1576616338.2864256,42,-20.0
1576616375.882601,43,-20.0
1576616422.85493,44,-21.0
1576616454.1879034,45,-21.0
1576616491.5423274,46,-20.0
1576616526.794953,47,-21.0
1576616562.4701293,48,-21.0
1576616597.9218898,49,-21.0
1576616621.586374,50,-21.0
1576616658.2406638,51,-21.0
1576616677.8138998,52,-21.0
1576616730.4565594,53,-20.0
1576616769.0094786,54,-19.0
1576616805.5565073,55,-19.0
1576616825.5238638,56,-21.0
1576616872.4114985,57,-21.0
1576616932.9825609,58,-21.0
1576616970.9967694,59,-20.0
1576617023.8896923,60,-20.0
1576617059.5188868,61,-20.0
1576617080.2970054,62,-20.0
1576617118.9032671,63,-21.0
1576617154.2253494,64,-20.0
1576617206.0510805,65,-20.0
1576617242.7473826,66,-18.0
1576617287.7729537,67,-21.0
1576617348.6178262,68,-20.0
1576617426.4193227,69,-20.0
1576617464.137059,70,-20.0
1576617500.8400085,71,-19.0
1576617521.1860495,72,-21.0
1576617557.6929483,73,-21.0
1576617615.4484324,74,-18.0
1576617672.7987359,75,-20.0
1576617710.2260559,76,-20.0
1576617748.5470176,77,-21.0
1576617784.952631,78,-20.0
1576617841.1983957,79,-21.0
1576617882.8444574,80,-19.0
1576617939.342459,81,-19.0
1576617979.8755884,82,-21.0
1576618023.1435463,83,-21.0
1576618128.2469773,84,-18.0
1576618184.5869124,85,-17.0
1576618250.3975315,86,-20.0
1576618289.6155372,87,-21.0
1576618325.7252333,88,-20.0
1576618380.5156045,89,-19.0
1576618419.684128,90,-19.0
1576618484.8118746,91,-21.0
1576618561.2382517,92,-20.0
1576618660.7130015,93,-19.0
1576618729.3830588,94,-21.0
1576618858.9624536,95,-19.0
1576618938.8539317,96,-21.0
1576619051.548485,97,-19.0
1576619088.6643546,98,-21.0
1576619194.1910417,99,-17.0
1576619255.0244582,100,-21.0
1576619348.868527,101,-16.0
1576619432.9120977,102,-15.0
1576619510.378672,103,-20.0
1576619619.2954664,104,-20.0
1576619676.7648246,105,-21.0
1576619757.1138766,106,-18.0
1576619933.6275687,107,-18.0
1576620049.457571,108,-20.0
1576620157.9957294,109,-21.0
1576620245.828622,110,-21.0
1576620343.6008668,111,-20.0
1576620561.6521971,112,-16.0
1576620674.5647442,113,-19.0
1576620863.3237286,114,-18.0
1576621004.615239,115,-15.0
1576621266.0445795,116,-20.0
1576621555.5127027,117,-17.0
1576621981.1934178,118,-17.0
1576622431.9507933,119,-12.0
1576622710.9885962,120,-16.0
1576623094.4510236,121,-16.0
1576623485.0124605,122,-18.0
1576623748.5345974,123,-16.0
