Wall time,Step,Value
1574895349.7960663,5,-21.0
1574895355.1758635,6,-20.0
1574895387.6242483,11,-21.0
1574895407.2488801,14,-18.0
1574895412.3928049,15,-21.0
1574895428.273754,18,-21.0
1574895434.4206326,19,-20.0
1574895441.0323946,20,-21.0
1574895465.84145,24,-19.0
1574895536.8756251,36,-21.0
1574895557.6668098,40,-21.0
1574895568.616759,42,-20.0
1574895581.6271007,44,-21.0
1574895586.5960128,45,-21.0
1574895599.845262,47,-20.0
1574895612.1795664,49,-20.0
1574895636.1085298,53,-21.0
1574895642.762735,54,-20.0
1574895648.5536046,55,-21.0
1574895654.3316035,56,-19.0
1574895660.6863055,57,-21.0
1574895697.9640603,63,-21.0
1574895707.537189,65,-21.0
1574895713.4353883,66,-21.0
1574895720.897176,67,-21.0
1574895729.766541,68,-20.0
1574895748.121435,71,-21.0
1574895755.8024874,72,-18.0
1574895762.962597,73,-21.0
1574895769.5611715,74,-18.0
1574895808.170874,79,-20.0
1574895843.0038688,84,-19.0
1574895866.746351,87,-21.0
1574895875.5849276,88,-17.0
1574895918.9310014,94,-21.0
1574895979.659879,102,-19.0
1574896000.831212,105,-21.0
1574896010.631583,106,-18.0
1574896062.3937387,113,-20.0
1574896084.624819,116,-20.0
1574896103.2405272,118,-18.0
1574896171.0283692,125,-18.0
1574896179.480463,126,-21.0
1574896210.5753455,129,-19.0
1574896221.2047086,130,-18.0
1574896303.8083463,137,-18.0
1574896326.518986,139,-19.0
1574896356.0372627,141,-16.0
1574896370.3028228,142,-13.0
1574896386.5779042,143,-17.0
1574896514.0460088,150,-11.0
1574896628.3492162,155,-15.0
1574896677.4151852,157,-16.0
1574896699.9215875,158,-16.0
1574896793.2389977,162,-14.0
1574896853.8864846,165,-17.0
1574896897.7609239,167,-13.0
1574896921.7121048,168,-11.0
1574896984.3604007,171,-12.0
1574897132.8130836,177,-12.0
1574897155.4399292,178,-13.0
1574897191.5701737,180,-16.0
1574897240.2686968,183,-19.0
1574897278.95562,185,-15.0
1574897298.3891041,186,-13.0
1574897325.7261193,188,-17.0
1574897363.3232093,190,-13.0
1574897382.7894554,191,-15.0
1574897530.2986739,198,-17.0
1574897696.143661,206,-15.0
1574897711.5887012,207,-19.0
1574897736.978908,208,-13.0
1574897829.3907092,212,-13.0
1574898047.5783806,222,-18.0
1574898074.311808,223,-14.0
1574898124.440653,225,-13.0
1574898229.8139055,229,-16.0
1574898302.9224253,232,-14.0
1574898330.610243,233,-12.0
1574898355.6956458,234,-12.0
1574898449.331672,237,-6.0
1574898709.9428759,247,-8.0
1574898760.4203098,249,-12.0
1574898919.6655092,255,-8.0
1574899006.5589237,258,-3.0
1574899061.8929036,260,-8.0
1574899091.5877936,261,-4.0
1574899145.8862638,263,-8.0
1574899240.5060227,267,-15.0
1574899339.3482335,271,-7.0
1574899397.652186,273,-10.0
1574899557.0100627,278,-13.0
1574899726.4493155,284,-7.0
1574899913.3939862,291,-14.0
1574899936.131925,292,-15.0
1574900076.4994872,297,-17.0
