Wall time,Step,Value
1574895349.796089,5,356.0
1574895355.1758814,6,397.0
1574895387.624267,11,382.0
1574895407.2488997,14,519.0
1574895412.3928258,15,323.0
1574895428.273775,18,371.0
1574895434.4206524,19,405.0
1574895441.0324135,20,382.0
1574895465.8414707,24,501.0
1574895536.8756433,36,317.0
1574895557.6668286,40,301.0
1574895568.6167772,42,425.0
1574895581.6271276,44,405.0
1574895586.5960317,45,360.0
1574895599.8452804,47,507.0
1574895612.1795871,49,402.0
1574895636.1085486,53,349.0
1574895642.7627568,54,402.0
1574895648.553624,55,398.0
1574895654.3316221,56,427.0
1574895660.6863241,57,433.0
1574895697.9640815,63,417.0
1574895707.5372078,65,310.0
1574895713.4354072,66,311.0
1574895720.8971944,67,462.0
1574895729.766562,68,553.0
1574895748.121455,71,424.0
1574895755.802508,72,576.0
1574895762.9626153,73,425.0
1574895769.5611908,74,440.0
1574895808.1708944,79,503.0
1574895843.0038931,84,546.0
1574895866.74637,87,465.0
1574895875.5849462,88,452.0
1574895918.9310198,94,378.0
1574895979.6598978,102,398.0
1574896000.8312356,105,395.0
1574896010.6316013,106,503.0
1574896062.3937616,113,350.0
1574896084.6248393,116,442.0
1574896103.2405457,118,622.0
1574896171.0283868,125,625.0
1574896179.480484,126,406.0
1574896210.5753636,129,519.0
1574896221.2047276,130,614.0
1574896303.8083684,137,700.0
1574896326.5190043,139,603.0
1574896356.037284,141,745.0
1574896370.3028414,142,772.0
1574896386.5779216,143,806.0
1574896514.0460267,150,1295.0
1574896628.3492339,155,1098.0
1574896677.4152048,157,959.0
1574896699.9216053,158,1218.0
1574896793.2390187,162,1293.0
1574896853.8865063,165,885.0
1574896897.7609415,167,1399.0
1574896921.7121313,168,1537.0
1574896984.360422,171,1285.0
1574897132.8131018,177,1568.0
1574897155.4399502,178,1556.0
1574897191.5701911,180,1253.0
1574897240.268715,183,1079.0
1574897278.955641,185,1411.0
1574897298.3891273,186,1499.0
1574897325.7261372,188,1053.0
1574897363.3232267,190,1358.0
1574897382.7894735,191,1415.0
1574897530.2986913,198,988.0
1574897696.1436822,206,1335.0
1574897711.5887225,207,979.0
1574897736.9789262,208,1697.0
1574897829.39073,212,1368.0
1574898047.5783987,222,1400.0
1574898074.3118289,223,1621.0
1574898124.4406736,225,1274.0
1574898229.8139231,229,1468.0
1574898302.922447,232,1480.0
1574898330.6102607,233,1853.0
1574898355.6956642,234,1608.0
1574898449.3316932,237,2077.0
1574898709.942894,247,1814.0
1574898760.4203274,249,1460.0
1574898919.6655304,255,1479.0
1574899006.5589447,258,2185.0
1574899061.8929248,260,1867.0
1574899091.587811,261,1920.0
1574899145.8862808,263,1742.0
1574899240.5060406,267,1154.0
1574899339.3482506,271,2416.0
1574899397.6522038,273,2220.0
1574899557.0100813,278,2064.0
1574899726.4493372,284,2148.0
1574899913.394007,291,1693.0
1574899936.1319432,292,1903.0
1574900076.499506,297,1557.0
1574900099.391015,298,1763.0
1574900215.034768,302,1795.0
1574900239.2570534,303,1653.0
1574900317.796429,307,1931.0
1574900342.9398067,308,1891.0
1574900384.5272658,310,1111.0
1574900434.4571755,313,1047.0
1574900535.7339873,318,1622.0
1574900561.2528474,319,1894.0
1574900590.6267195,320,2202.0
1574900634.7005036,322,1351.0
1574900701.662157,325,1544.0
1574900725.311226,326,1677.0
1574900751.4193492,327,1881.0
1574900824.8602834,330,1748.0
1574901036.6569788,339,1869.0
1574901082.4368849,341,1666.0
1574901146.0368848,344,1681.0
1574901163.19706,345,1289.0
1574901207.663319,347,1243.0
1574901230.2381754,348,1636.0
1574901346.0081363,353,1704.0
1574901375.8108637,354,1663.0
1574901523.120032,360,1549.0
1574901597.407271,363,1464.0
1574901709.3273783,367,2102.0
1574901796.8353233,371,1715.0
1574901849.1459568,373,1670.0
1574901949.7712255,377,1482.0
1574901968.93351,378,1483.0
1574901983.3167512,379,975.0
1574902023.7822552,381,1435.0
1574902147.0306606,386,1992.0
1574902178.6484108,387,2246.0
1574902309.8370736,391,2220.0
1574902338.8222022,392,1981.0
1574902363.4912689,393,1611.0
1574902729.625688,408,1477.0
1574902873.7540815,415,1266.0
1574902895.8670287,416,1481.0
1574903035.2133443,421,1973.0
1574903063.0720625,422,1907.0
1574903099.3083978,424,1353.0
1574903143.854489,426,1617.0
1574903222.7462018,430,1973.0
1574903488.7668817,439,2630.0
1574903539.8766458,441,1225.0
1574903563.9932833,442,1773.0
1574903657.3844812,445,1588.0
1574903819.9883573,451,1965.0
1574904040.6555939,459,1567.0
1574904065.1946018,460,1484.0
1574904145.1371703,463,1742.0
1574904173.837797,464,1785.0
1574904264.4788222,467,2070.0
1574904292.145411,468,1735.0
1574904403.742906,473,1978.0
1574904427.0551596,474,1839.0
1574904725.633511,485,1397.0
1574904799.2001867,488,1430.0
1574904822.6862369,489,1497.0
1574904875.6025136,491,1794.0
1574904934.4977298,493,2054.0
1574905014.0465367,496,1485.0
1574905295.8893993,507,1962.0
1574905391.311076,511,2067.0
1574905417.8064265,512,2048.0
1574905469.5671635,514,2027.0
1574905564.552799,517,1482.0
1574905616.2509837,519,1361.0
1574905753.4424477,524,1819.0
1574905782.725563,525,2143.0
1574905952.6991308,531,1646.0
1574906008.015667,533,1732.0
1574906033.1822689,534,1532.0
1574906091.7926369,536,1996.0
1574906108.7569425,537,973.0
1574906139.472359,538,1977.0
1574906191.0795252,540,1591.0
1574906253.4208972,542,2145.0
1574906376.506997,547,1798.0
1574906401.6863737,548,1721.0
1574906421.5703795,549,1580.0
1574906467.3884594,551,1601.0
1574906629.66425,557,1979.0
1574906676.8169398,559,1192.0
1574906768.130601,563,1552.0
1574906788.8531206,564,1634.0
1574906816.792715,565,2057.0
1574906903.2585545,569,1229.0
1574907001.795625,573,1867.0
1574907024.4753623,574,1754.0
1574907095.5407774,577,1568.0
1574907140.5970123,579,1983.0
1574907158.0233934,580,1220.0
1574907179.8448594,581,1576.0
1574907203.3996916,582,1922.0
1574907226.677012,583,1847.0
1574907250.4969456,584,1906.0
1574907296.9464643,586,1729.0
1574907324.959149,587,1966.0
1574907457.8579946,592,2073.0
1574907480.889649,593,1748.0
1574907560.6989682,596,1928.0
1574907585.4178092,597,1593.0
1574907652.8595948,600,1300.0
1574907700.9515195,602,1547.0
1574907848.1578918,608,1522.0
1574907898.5028603,610,1738.0
1574908020.6397474,615,1357.0
1574908132.315717,619,2139.0
1574908155.2316365,620,1523.0
1574908208.2064197,622,1856.0
1574908287.5430582,625,1284.0
1574908561.3688536,634,2132.0
