Wall time,Step,Value
1574935207.862021,5,-21.0
1574935278.2611544,18,-20.0
1574935308.8025792,24,-21.0
1574935395.0033681,40,-21.0
1574935405.0355756,42,-20.0
1574935420.0749266,45,-21.0
1574935460.1790497,53,-20.0
1574935476.21814,56,-21.0
1574935554.1953716,71,-21.0
1574935571.252381,74,-19.0
1574935688.3626797,94,-17.0
1574935745.767138,102,-16.0
1574935773.1102571,105,-20.0
1574935781.28082,106,-19.0
1574935858.926701,113,-18.0
1574936054.2963889,126,-17.0
1574936262.3146975,139,-14.0
1574936442.1848059,150,-19.0
1574936523.2657535,155,-14.0
1574936582.643661,158,-13.0
1574936735.5912044,167,-9.0
1574936754.6383252,168,-16.0
1574936938.2221596,178,-12.0
1574937023.6452546,183,-14.0
1574937059.8382025,185,-10.0
1574937084.335169,186,-2.0
1574937194.8339198,190,-7.0
1574937402.0708272,198,-11.0
1574937616.011148,206,10.0
1574937646.4045136,207,1.0
1574937771.8829906,212,8.0
1574937983.5898135,223,15.0
1574938081.6013494,229,17.0
1574938160.1902657,234,14.0
1574938457.1864245,249,15.0
1574938554.9306593,255,20.0
1574938614.1418598,260,17.0
1574938732.3821783,267,14.0
1574938802.5702221,271,18.0
1574938821.3574052,273,21.0
1574939030.9709883,292,18.0
1574939086.1044867,297,20.0
1574939097.2748244,298,19.0
1574939151.6649833,303,20.0
1574939203.5212913,308,16.0
1574939222.6675184,310,20.0
1574939308.9950504,318,19.0
1574939319.1876595,319,18.0
1574939446.1078796,330,21.0
1574939540.6819613,339,19.0
1574939633.8243434,347,20.0
1574939809.4488943,363,20.0
1574939849.6303136,367,20.0
1574939948.2828233,377,21.0
1574940430.050886,421,20.0
1574940439.4400353,422,21.0
1574940519.627311,430,21.0
1574940605.5334013,439,20.0
1574940628.5975995,441,17.0
1574940638.5282025,442,20.0
1574940676.3437927,445,20.0
1574940744.4149427,451,21.0
1574940845.049014,460,20.0
1574940874.615311,463,21.0
1574940887.513738,464,17.0
1574941004.8601046,474,15.0
1574941267.28802,491,16.0
1574941291.940285,493,20.0
1574941501.9600375,512,18.0
1574941522.320905,514,20.0
1574941552.0743058,517,21.0
1574941637.533167,525,17.0
1574941702.4879222,531,18.0
