Wall time,Step,Value
1574935207.8620422,5,311.0
1574935278.2611728,18,315.0
1574935308.8025975,24,294.0
1574935395.0033867,40,224.0
1574935405.0355937,42,316.0
1574935420.0749445,45,336.0
1574935460.1790693,53,276.0
1574935476.218158,56,228.0
1574935554.1953897,71,252.0
1574935571.2523994,74,346.0
1574935688.3626978,94,453.0
1574935745.767156,102,436.0
1574935773.1102755,105,440.0
1574935781.2808387,106,435.0
1574935858.926722,113,648.0
1574936054.2964072,126,798.0
1574936262.3147159,139,813.0
1574936442.1848242,150,881.0
1574936523.2657776,155,1045.0
1574936582.6436791,158,1026.0
1574936735.591225,167,1183.0
1574936754.6383433,168,1101.0
1574936938.2221804,178,1089.0
1574937023.6452725,183,1084.0
1574937059.8382235,185,1170.0
1574937084.3351872,186,1575.0
1574937194.833938,190,1572.0
1574937402.0708456,198,1569.0
1574937616.0111659,206,981.0
1574937646.404535,207,1531.0
1574937771.883009,212,1329.0
1574937983.5898314,223,1256.0
1574938081.6013677,229,876.0
1574938160.1902835,234,1323.0
1574938457.1864455,249,990.0
1574938554.93068,255,793.0
1574938614.1418817,260,638.0
1574938732.3821964,267,938.0
1574938802.5702395,271,703.0
1574938821.3574233,273,586.0
1574939030.9710057,292,728.0
1574939086.1045046,297,599.0
1574939097.2748456,298,690.0
1574939151.6650045,303,496.0
1574939203.5213122,308,622.0
1574939222.6675365,310,587.0
1574939308.9950714,318,518.0
1574939319.187678,319,535.0
1574939446.1078973,330,574.0
1574939540.681979,339,975.0
1574939633.8243642,347,817.0
1574939809.4489124,363,902.0
1574939849.6303353,367,685.0
1574939948.2828412,377,808.0
1574940430.0509036,421,774.0
1574940439.440057,422,809.0
1574940519.6273293,430,632.0
1574940605.5334218,439,623.0
1574940628.5976174,441,822.0
1574940638.52822,442,660.0
1574940676.3438118,445,667.0
1574940744.4149604,451,699.0
1574940845.0490317,460,918.0
1574940874.6153321,463,698.0
1574940887.5137556,464,958.0
1574941004.8601224,474,801.0
1574941267.2880387,491,1007.0
1574941291.9403026,493,659.0
1574941501.9600549,512,639.0
1574941522.3209264,514,557.0
1574941552.0743237,517,680.0
1574941637.533185,525,757.0
1574941702.48794,531,737.0
1574941733.5292666,533,1281.0
1574941769.9896588,536,646.0
1574941829.440498,542,496.0
1574941881.7050035,547,489.0
1574941992.2406504,557,673.0
1574942051.7335465,563,764.0
1574942118.3802347,569,913.0
1574942157.6515281,573,820.0
1574942220.2580535,579,960.0
1574942241.1080494,581,886.0
1574942273.1404946,584,1053.0
1574942294.6603165,586,1013.0
1574942304.0790923,587,828.0
1574942357.9862165,592,919.0
1574942370.7972686,593,1188.0
1574942470.6907942,602,1011.0
1574942556.2799761,610,1098.0
1574942607.2094915,615,731.0
1574942659.0742738,620,741.0
1574942678.0206335,622,644.0
1574942817.1870759,634,1063.0
1574942889.1295445,641,790.0
1574942899.3816936,642,882.0
1574942919.209198,644,721.0
1574942948.3080237,647,632.0
1574942973.0534976,649,766.0
1574943096.5889635,661,782.0
1574943132.2110424,664,1034.0
1574943170.1796603,668,625.0
1574943199.310583,671,632.0
1574943230.1592643,674,591.0
1574943270.7769947,678,525.0
1574943280.874021,679,473.0
1574943320.1589537,683,723.0
1574943369.2645965,688,983.0
1574943482.7551377,699,786.0
1574943550.7610447,706,764.0
1574943643.268992,714,895.0
1574943688.7899928,718,1077.0
1574943724.9739454,721,773.0
1574943735.2239306,722,755.0
1574943745.0650446,723,741.0
1574943822.9362528,730,671.0
1574943938.2145813,739,1052.0
1574943979.2506158,743,986.0
1574944020.5070963,747,950.0
1574944067.0482488,751,982.0
1574944079.1106534,752,926.0
1574944126.3564441,756,965.0
1574944231.5690427,765,921.0
1574944272.012669,769,796.0
1574944281.9301114,770,763.0
1574944291.9829452,771,843.0
1574944316.31624,773,816.0
1574944325.7196474,774,808.0
1574944388.6072829,780,758.0
1574944426.8731823,784,783.0
1574944436.7854316,785,920.0
1574944459.169376,787,826.0
1574944515.5406883,792,907.0
1574944525.614424,793,913.0
1574944535.0049124,794,947.0
1574944580.4041295,798,939.0
1574944619.3914843,802,751.0
1574944671.3560169,807,968.0
1574944681.3190484,808,953.0
1574944692.5412412,809,957.0
1574944930.9124303,832,774.0
1574944970.495391,836,469.0
1574944991.032278,838,630.0
1574945039.655311,843,663.0
1574945303.139876,867,721.0
1574945323.623527,869,588.0
1574945377.811882,874,766.0
1574945396.6256216,876,822.0
1574945434.7799025,880,833.0
1574945457.3059099,882,936.0
1574945545.1213732,890,993.0
1574945620.811373,896,858.0
1574945661.4176886,900,762.0
1574945732.8681562,907,795.0
1574945752.3963625,909,819.0
1574945814.7363298,915,734.0
1574945837.1609826,917,896.0
1574945874.3814626,920,944.0
1574945914.082927,923,1108.0
1574945999.8893251,931,822.0
1574946013.8253489,932,830.0
1574946050.4469244,935,969.0
1574946133.9644165,942,835.0
1574946167.9642239,945,770.0
1574946260.1385107,954,476.0
1574946302.4556935,958,475.0
1574946332.8759065,961,616.0
1574946343.7385836,962,691.0
1574946449.5592508,971,588.0
1574946459.2863116,972,607.0
1574946501.985425,976,612.0
1574946523.9421055,978,705.0
1574946533.3997164,979,446.0
1574946572.4481244,983,677.0
1574946581.8861058,984,671.0
1574946612.5071917,987,711.0
1574946622.898707,988,716.0
1574946708.3492405,996,756.0
1574946757.080203,1000,820.0
1574946779.89019,1002,921.0
1574946799.375163,1004,849.0
1574946808.7732964,1005,798.0
1574946902.3369813,1014,684.0
1574946932.37325,1017,670.0
1574947020.599899,1025,792.0
1574947044.140033,1027,773.0
1574947146.6878283,1037,710.0
1574947219.5819323,1044,869.0
1574947362.0104966,1057,1087.0
1574947422.6910393,1063,813.0
1574947455.1752527,1066,845.0
1574947477.881345,1068,1051.0
1574947522.094573,1072,940.0
1574947565.3036528,1076,975.0
1574947584.4540374,1078,843.0
1574947634.945396,1083,654.0
1574947646.447108,1084,862.0
1574947740.516971,1093,1129.0
1574947804.8359497,1099,870.0
1574947845.7218578,1103,753.0
1574947855.6670542,1104,691.0
1574947955.5992136,1114,705.0
1574948006.0844955,1119,493.0
1574948153.1551378,1133,972.0
1574948174.1928418,1135,825.0
1574948375.008763,1155,662.0
1574948385.547397,1156,705.0
1574948427.3321545,1160,1008.0
1574948436.7600548,1161,832.0
1574948447.474993,1162,908.0
1574948629.8291662,1180,1128.0
1574948757.871987,1192,1146.0
1574948767.2252676,1193,827.0
1574948830.05667,1199,1013.0
1574948850.184468,1201,937.0
1574948904.7209759,1206,937.0
1574948927.9247134,1208,844.0
1574949173.0738266,1232,689.0
1574949191.9126246,1234,597.0
1574949294.7089005,1244,672.0
1574949410.98793,1255,765.0
1574949440.6032279,1258,800.0
1574949476.071673,1261,1042.0
1574949631.6444557,1274,984.0
1574949709.7228289,1281,907.0
1574949775.120926,1287,734.0
1574949849.196847,1294,728.0
1574949915.6538763,1300,640.0
1574950016.1305013,1310,840.0
1574950066.5739403,1315,902.0
1574950077.9186518,1316,1099.0
1574950109.3734066,1319,926.0
1574950173.2927241,1325,871.0
1574950193.204203,1327,922.0
1574950225.1097517,1330,777.0
1574950254.8031008,1333,820.0
1574950286.4937959,1336,826.0
1574950298.320678,1337,982.0
1574950495.4609115,1355,661.0
1574950651.7408118,1370,584.0
1574950804.0946996,1385,451.0
1574950835.857831,1388,690.0
1574950845.209662,1389,646.0
1574950868.088002,1391,866.0
1574950879.408349,1392,730.0
1574951110.6345649,1413,809.0
1574951121.7815237,1414,888.0
1574951175.5333815,1419,887.0
1574951206.1213691,1422,773.0
1574951248.6048934,1426,658.0
1574951267.933056,1428,545.0
1574951310.3713226,1432,986.0
1574951353.4885452,1436,876.0
1574951397.5563223,1440,896.0
1574951671.3917077,1465,555.0
1574951681.6610672,1466,533.0
1574951797.1407347,1477,792.0
1574951880.5963237,1485,562.0
1574951889.9678361,1486,591.0
1574951921.7072182,1489,713.0
1574951940.9201326,1491,625.0
1574951954.135156,1492,843.0
1574952061.088604,1501,642.0
1574952132.8432658,1508,753.0
1574952297.717921,1523,704.0
1574952309.5806978,1524,599.0
1574952339.9677393,1527,629.0
1574952548.1209214,1546,900.0
1574952597.9369607,1551,811.0
1574952607.2884908,1552,882.0
1574952629.3368735,1554,950.0
1574952704.942232,1561,682.0
1574952790.4285843,1568,1005.0
1574952802.0544682,1569,754.0
1574952894.9316194,1578,500.0
1574952938.0468838,1582,634.0
1574952959.6809506,1584,708.0
1574953000.9319701,1588,549.0
1574953092.627076,1597,802.0
1574953179.0736117,1604,754.0
1574953194.103893,1605,1015.0
1574953261.6540687,1610,831.0
1574953349.1721332,1618,937.0
1574953442.7855647,1627,829.0
1574953452.1631951,1628,861.0
1574953496.988098,1632,843.0
1574953550.334419,1637,796.0
1574953578.4943151,1640,729.0
1574953597.793152,1642,691.0
1574953628.0621865,1645,741.0
1574953662.1133993,1648,1101.0
1574953708.220888,1652,886.0
1574953791.8464084,1660,618.0
1574953877.9918454,1668,989.0
1574953924.350848,1672,810.0
1574953967.2914836,1675,1209.0
1574953978.1870282,1676,641.0
1574954041.6217191,1682,761.0
1574954137.3978913,1691,1019.0
1574954180.0895534,1695,633.0
1574954189.7630465,1696,652.0
1574954199.1023245,1697,749.0
1574954220.2893322,1699,679.0
1574954250.7602186,1702,726.0
1574954321.4156246,1709,781.0
1574954414.590019,1718,784.0
1574954537.3262084,1728,757.0
1574954582.455627,1732,613.0
1574954606.1038172,1734,980.0
1574954638.9059842,1737,846.0
1574954690.114559,1742,804.0
1574954720.408212,1745,829.0
1574954729.831047,1746,838.0
1574954740.176001,1747,961.0
1574954792.6699576,1752,763.0
1574954956.5384333,1766,644.0
1574955055.484376,1775,595.0
1574955113.5639303,1781,601.0
1574955187.6588926,1788,509.0
1574955197.049154,1789,439.0
1574955292.295607,1798,538.0
1574955368.6723049,1805,976.0
1574955490.2821667,1817,605.0
1574955561.4477954,1824,1056.0
1574955585.3749795,1826,832.0
1574955629.5627613,1830,1037.0
1574955744.2451613,1840,950.0
1574955757.3361952,1841,1038.0
1574955791.2159085,1844,994.0
1574955840.0649242,1849,1048.0
1574955881.8014386,1853,1108.0
1574956015.9927592,1866,751.0
1574956045.6024737,1869,676.0
1574956104.2756374,1875,725.0
1574956114.0668397,1876,633.0
1574956123.4619226,1877,573.0
1574956300.0789788,1893,943.0
1574956492.3098435,1911,652.0
1574956562.2676208,1917,873.0
1574956639.4080772,1924,701.0
1574956705.0384939,1930,823.0
1574956745.777789,1934,675.0
1574956767.7638488,1936,623.0
1574956788.3106186,1938,583.0
1574956847.8526454,1944,806.0
1574956879.4756384,1947,730.0
1574956902.2144485,1949,797.0
1574956932.6662319,1952,697.0
1574956968.0476701,1955,575.0
1574957007.943038,1958,485.0
1574957104.0653133,1967,831.0
1574957127.744903,1969,665.0
1574957250.2870512,1981,707.0
1574957260.3744268,1982,668.0
1574957271.7292316,1983,890.0
1574957408.9055114,1997,854.0
1574957448.22799,2001,706.0
1574957490.092191,2005,640.0
1574957534.1109016,2009,595.0
1574957543.4445994,2010,432.0
1574957573.6983984,2013,368.0
1574957594.4428709,2015,658.0
1574957614.5126076,2017,641.0
1574957696.9924169,2025,659.0
1574957719.2124803,2027,517.0
1574957752.6123993,2030,938.0
1574957781.4058545,2033,517.0
1574957813.057374,2036,872.0
1574957833.7718256,2038,728.0
1574957863.150129,2041,821.0
1574958060.8879805,2060,647.0
1574958184.8078275,2072,918.0
1574958198.3326447,2073,907.0
1574958209.0447147,2074,745.0
1574958232.6596408,2076,702.0
1574958248.2149456,2077,771.0
1574958267.942592,2079,647.0
1574958286.6593971,2081,717.0
1574958325.3095188,2085,691.0
1574958366.0321522,2089,757.0
1574958425.9598825,2094,912.0
1574958447.4280992,2096,603.0
1574958518.6641662,2103,714.0
1574958548.3388846,2106,785.0
1574958598.131242,2111,873.0
1574958639.925204,2115,765.0
1574958695.0238833,2120,858.0
1574958716.7792974,2122,660.0
1574958726.5897262,2123,698.0
1574958882.655925,2138,704.0
1574958913.5740328,2141,589.0
1574958946.153,2144,976.0
1574958955.9993694,2145,837.0
1574958998.450053,2149,665.0
1574959020.4257607,2151,902.0
1574959072.3033051,2156,770.0
1574959081.6213048,2157,691.0
1574959157.3048246,2164,910.0
1574959168.3496692,2165,713.0
1574959217.0601928,2169,652.0
1574959236.7031758,2171,511.0
1574959256.8744946,2173,649.0
1574959300.2493062,2177,648.0
1574959415.498139,2187,706.0
1574959436.3903992,2189,951.0
1574959455.0522387,2191,876.0
1574959465.1175451,2192,1107.0
1574959504.4462729,2196,723.0
1574959536.3722758,2199,819.0
1574959620.0301526,2207,883.0
1574959660.6057844,2211,803.0
1574959808.0997083,2225,714.0
1574959847.5056102,2229,749.0
1574959866.2138774,2231,695.0
1574959917.673276,2236,904.0
1574959930.1436694,2237,1044.0
1574959950.7998493,2239,832.0
1574959969.9291213,2241,695.0
1574959979.329176,2242,720.0
1574960001.0050886,2244,502.0
