Wall time,Step,Value
1575108567.2910903,5,1.387190818786621
1575108575.404888,6,1.4917800426483154
1575108610.60876,11,1.5153661966323853
1575108632.1508892,14,1.3908300399780273
1575108639.6507347,15,1.6345555782318115
1575108662.688433,18,1.4086041450500488
1575108669.931931,19,1.7784554958343506
1575108677.4298692,20,1.4059712886810303
1575108713.5278032,24,1.932114601135254
1575108838.904049,36,1.9578680992126465
1575108887.5120337,40,2.3514461517333984
1575108915.8493476,42,3.191878080368042
1575108943.4880588,44,2.4444894790649414
1575108954.9025576,45,1.7766947746276855
1575108982.9635265,47,2.6494531631469727
1575109078.8282554,53,3.5352301597595215
1575109094.8713064,54,2.4584765434265137
1575109112.0823123,55,2.4609997272491455
1575109127.9334579,56,2.3761658668518066
1575109141.7524276,57,2.039292097091675
1575109288.8520195,65,2.7212464809417725
1575109353.1249523,68,3.732606887817383
1575109407.7124696,71,2.0793678760528564
1575109429.2684884,72,3.484405040740967
1575109450.5598152,73,2.905963897705078
1575109471.2697356,74,2.6612582206726074
1575109596.8045845,79,3.2405338287353516
1575109798.1257286,87,4.042155742645264
1575109820.5811815,88,4.863862037658691
1575109979.2908273,94,3.8079609870910645
1575110182.820255,102,2.2673380374908447
1575110242.1441882,105,1.8153375387191772
1575110274.4109097,106,3.7817952632904053
1575110446.0773602,113,1.7198303937911987
1575110504.9230714,116,1.842602252960205
1575110543.5267563,118,1.595286250114441
1575110709.9730575,126,1.9788424968719482
1575110763.5462184,129,1.8536264896392822
1575110779.4836817,130,1.2507485151290894
1575110944.2325895,139,0.8431604504585266
1575110980.797985,141,1.155802607536316
1575110996.0567331,142,1.295638084411621
1575111019.0926638,143,1.563358187675476
1575111140.1298044,150,1.2711364030838013
1575111218.56569,155,0.788556694984436
1575111250.224259,157,1.1258291006088257
1575111266.8090422,158,0.9031910300254822
1575111340.0882761,162,1.164082407951355
1575111422.2609406,167,0.8207563757896423
1575111442.1863675,168,1.139812707901001
1575111491.3188455,171,1.1573913097381592
1575111587.29414,177,0.9827761054039001
1575111601.6568565,178,0.8510717153549194
1575111637.7700806,180,0.7917748093605042
1575111684.1577735,183,0.9266723394393921
1575111715.8177059,185,1.1570197343826294
1575111729.5622334,186,0.6408542394638062
1575111762.0101376,188,0.8695796132087708
1575111794.4623194,190,0.994353711605072
1575111808.531513,191,0.8086153268814087
1575111933.8889058,198,1.2391819953918457
1575112055.6140978,206,0.9258149266242981
1575112069.313618,207,0.7292295098304749
