Wall time,Step,Value
1574976985.0798807,5,-21.0
1574977059.041515,15,-20.0
1574977122.6335225,18,-19.0
1574977249.7804115,24,-20.0
1574977690.2900891,40,-16.0
1574977750.9727435,42,-18.0
1574977805.083135,44,-20.0
1574977835.7575061,45,-18.0
1574977905.3767533,47,-18.0
1574978063.6386878,53,-17.0
1574978098.6582298,56,-14.0
1574978499.511568,65,-9.0
1574978809.05122,71,-14.0
1574978868.7482698,72,-10.0
1574978920.0282264,73,-6.0
1574978965.8845103,74,-14.0
1574979148.2286406,79,-11.0
1574979559.4942002,87,-3.0
1574979982.4102561,94,-3.0
1574980237.1181166,102,11.0
1574980349.0570877,105,16.0
1574980387.5936596,106,17.0
1574980718.4059038,113,16.0
1574980969.0773666,118,13.0
1574981290.9803796,126,16.0
1574981396.2376478,130,12.0
1574981765.193192,139,16.0
1574982189.226972,150,18.0
1574982357.431307,155,15.0
1574982391.834481,158,16.0
1574982701.6912382,167,20.0
1574982747.1430702,168,18.0
1574983140.761825,178,14.0
1574983330.599123,183,17.0
1574983411.6656256,185,17.0
1574983422.643805,186,19.0
1574983464.8116977,190,20.0
1574983762.8465724,198,20.0
1574984066.694667,206,21.0
1574984105.3262546,207,17.0
1574984139.3269463,208,18.0
1574984277.0456738,212,18.0
1574984533.0127692,223,21.0
1574984757.9167855,229,19.0
1574984930.848368,234,12.0
1574985053.4751437,237,20.0
1574985469.3238199,249,18.0
1574985581.1967354,255,21.0
1574985699.9006839,260,14.0
1574985802.5351994,263,21.0
1574985933.020157,267,21.0
1574986080.3849554,271,20.0
1574986168.5763364,273,18.0
1574986680.4528954,292,20.0
1574986734.4631066,297,13.0
1574986745.3960931,298,-19.0
1574986904.032587,303,21.0
1574987074.4926245,308,11.0
1574987140.8626184,310,20.0
1574987447.6467562,318,18.0
1574987483.4619899,319,20.0
1574987692.0130203,325,21.0
1574987728.4493148,326,17.0
1574987752.5111792,327,20.0
1574987784.763967,330,21.0
1574988030.4633844,339,21.0
1574988312.936878,347,14.0
1574988841.753218,363,21.0
1574988885.609278,367,21.0
1574989081.2138457,373,19.0
1574989209.834665,377,15.0
1574989274.9012518,379,21.0
1574989688.9042857,391,20.0
1574989726.2277236,392,19.0
1574990027.3963704,408,19.0
1574990455.1760535,421,21.0
1574990489.155611,422,19.0
1574990560.809117,424,20.0
1574990771.095616,430,20.0
1574991036.9089324,439,19.0
1574991056.874062,441,20.0
1574991066.4680858,442,21.0
1574991140.409774,445,19.0
1574991356.5575976,451,20.0
1574991651.4955344,460,20.0
1574991754.7343068,463,20.0
1574991793.1284294,464,19.0
1574992096.082241,473,19.0
1574992106.7859423,474,19.0
1574992432.743602,489,21.0
1574992503.84881,491,19.0
1574992566.1994355,493,21.0
1574993061.732278,507,13.0
1574993208.247172,512,21.0
1574993228.6928966,514,21.0
1574993265.7327917,517,20.0
1574993531.0096273,525,19.0
1574993738.6265173,531,18.0
1574993818.5890696,533,21.0
1574993922.6362364,536,19.0
1574994124.4336486,542,21.0
1574994270.3939512,547,19.0
1574994477.6068344,557,17.0
1574994554.411287,559,17.0
1574994691.5799599,563,20.0
1574994945.3560514,569,19.0
1574995081.4220662,573,13.0
1574995115.1341817,574,21.0
1574995308.3665686,579,9.0
1574995353.512578,581,15.0
1574995363.1669042,582,21.0
1574995383.2454875,584,19.0
1574995402.854724,586,21.0
1574995416.6265137,587,19.0
1574995611.142101,592,21.0
1574995643.9728005,593,20.0
1574995968.0887477,602,17.0
1574996192.042918,608,9.0
1574996258.2574832,610,19.0
1574996421.9332006,615,12.0
1574996475.6100373,620,21.0
1574996539.6965861,622,19.0
1574996941.8901145,634,21.0
1574997223.7661052,641,15.0
1574997255.4838939,642,21.0
1574997322.9503,644,19.0
1574997357.5790088,645,18.0
1574997391.949049,646,19.0
1574997429.6554465,647,18.0
1574997490.3718815,649,16.0
1574997520.0388975,652,20.0
1574997599.163445,656,21.0
1574997803.6104856,661,21.0
1574997903.8385065,664,19.0
1574998045.1576018,668,17.0
1574998145.4659173,671,21.0
1574998259.5999222,674,12.0
1574998401.6917098,678,-2.0
1574998434.2283847,679,20.0
1574998563.4683821,683,9.0
1574998612.87602,688,20.0
1574998622.653016,689,21.0
1574998778.110448,696,20.0
1574998868.4839988,699,21.0
1574999035.4813988,703,21.0
1574999149.2483056,706,19.0
1574999322.8095536,710,21.0
1574999467.3210175,714,19.0
1574999609.9762213,718,20.0
1574999673.5932825,721,21.0
1574999684.2643154,722,19.0
1574999694.231944,723,20.0
1574999878.524558,730,20.0
1575000067.8825629,736,21.0
1575000153.6582172,738,17.0
1575000187.0490596,739,21.0
1575000350.2807584,743,21.0
1575000503.1074753,747,19.0
1575000613.1471105,750,21.0
1575000648.0385056,751,20.0
1575000688.2572272,752,14.0
1575000756.6364586,756,19.0
1575000980.027172,765,19.0
1575001146.366279,769,17.0
1575001193.1321814,770,17.0
1575001225.6367316,771,19.0
1575001288.964672,773,20.0
1575001321.2484984,774,21.0
1575001546.7876425,780,20.0
1575001681.0656314,784,21.0
1575001715.5548813,785,21.0
1575001783.9289973,787,17.0
1575001824.930582,789,19.0
1575001859.5639236,792,21.0
1575001871.2238889,793,19.0
1575001898.9218102,794,20.0
1575001934.1723282,795,20.0
1575002039.0209436,798,15.0
1575002184.2910707,802,19.0
1575002355.6626828,807,19.0
1575002393.255098,808,20.0
1575002423.4436946,809,21.0
1575002635.7935143,815,20.0
1575002860.5964222,821,21.0
1575002913.9327734,825,20.0
1575002953.0832334,828,10.0
1575003108.5067215,832,21.0
1575003249.734815,836,20.0
1575003328.6970298,838,18.0
1575003508.3939862,843,20.0
1575004214.2854612,867,20.0
1575004284.3053424,869,21.0
1575004318.2019284,870,19.0
1575004460.469312,874,20.0
1575004534.9116974,876,20.0
1575004668.5122957,880,21.0
1575004741.4845657,882,17.0
1575005027.4315639,890,19.0
1575005089.5084927,896,20.0
1575005207.1786177,900,20.0
1575005456.5550303,907,21.0
1575005493.9925828,908,20.0
1575005526.876923,909,20.0
1575005566.3382795,910,17.0
1575005747.638532,915,18.0
1575005821.8325145,917,20.0
1575005931.7285671,920,21.0
1575005962.868458,921,21.0
1575006030.7617528,923,21.0
1575006155.8873725,931,19.0
1575006177.4804647,932,21.0
1575006275.1104693,935,20.0
1575006531.971476,942,19.0
1575006653.1199799,945,20.0
1575006980.5589998,954,14.0
1575007048.8700101,956,21.0
1575007121.7380657,958,16.0
1575007186.6592593,961,19.0
1575007196.7993731,962,20.0
1575007248.3685484,966,20.0
1575007410.270073,971,20.0
1575007443.3353949,972,21.0
1575007595.3310587,976,12.0
1575007635.6570444,977,18.0
1575007678.2500055,978,19.0
1575007712.7081025,979,21.0
1575007863.5651789,983,21.0
1575007899.2446764,984,18.0
1575008004.9354787,987,19.0
1575008041.7141001,988,18.0
1575008264.671609,996,21.0
1575008316.6648245,1000,15.0
1575008385.314652,1002,21.0
1575008459.4596987,1004,18.0
1575008495.3371496,1005,20.0
1575008783.9029489,1013,20.0
1575008826.4510837,1014,19.0
1575008939.037396,1017,19.0
1575009237.9026928,1025,18.0
1575009303.741336,1027,19.0
1575009345.5070574,1031,21.0
1575009357.1874816,1032,16.0
1575009533.0840507,1037,19.0
1575009802.4333727,1044,20.0
1575010202.407773,1055,18.0
1575010285.058966,1057,14.0
1575010403.7636223,1063,18.0
1575010436.0574312,1064,21.0
1575010507.436328,1066,18.0
1575010595.8364482,1068,19.0
1575010752.5872674,1072,21.0
1575010905.205533,1076,17.0
1575010978.397298,1078,18.0
1575011145.057296,1083,18.0
1575011180.663915,1084,19.0
1575011229.2854702,1085,17.0
1575011450.5180447,1093,6.0
1575011606.8608284,1099,20.0
1575011768.0213575,1103,17.0
1575011801.4004505,1104,21.0
1575011843.911184,1105,18.0
1575012189.5981953,1114,21.0
1575012373.7046304,1119,16.0
1575012500.2906668,1125,19.0
1575012729.3714862,1133,21.0
1575012808.0158675,1135,18.0
1575013523.8538964,1155,20.0
1575013534.663486,1156,19.0
1575013574.1214333,1160,21.0
1575013597.4914746,1161,20.0
1575013633.1269505,1162,21.0
1575014243.6919878,1180,21.0
1575014452.5819838,1185,-15.0
1575014608.418101,1192,19.0
1575014618.0369895,1193,21.0
1575014743.1062777,1199,20.0
1575014814.3821788,1201,21.0
1575014984.0478263,1206,20.0
1575015047.8869452,1208,21.0
1575015111.5459425,1210,21.0
1575015281.4321883,1214,14.0
1575015791.3034844,1232,20.0
1575015867.399733,1234,17.0
1575015946.0188081,1236,21.0
1575016223.2403724,1244,20.0
1575016349.9092224,1247,15.0
1575016590.4139915,1253,14.0
1575016664.565515,1255,19.0
1575016727.2072566,1257,11.0
1575016738.9901485,1258,16.0
1575016773.6442297,1261,21.0
1575016795.1253726,1263,21.0
1575016827.9213552,1266,10.0
1575016906.4850998,1274,21.0
1575016980.0578775,1281,21.0
1575017044.6817539,1287,17.0
1575017087.435725,1291,19.0
1575017097.9251242,1292,20.0
1575017110.5570543,1293,18.0
1575017124.2951453,1294,15.0
1575017193.0261717,1300,16.0
1575017291.7309844,1310,19.0
1575017313.3418596,1312,17.0
1575017343.4522965,1315,20.0
1575017352.747966,1316,21.0
1575017382.4799266,1319,19.0
1575017442.860697,1325,18.0
1575017462.3128226,1327,20.0
1575017494.501906,1330,17.0
1575017525.1701875,1333,17.0
1575017553.8183312,1336,19.0
1575017564.3456228,1337,18.0
1575017751.9978898,1355,20.0
1575017870.199422,1366,15.0
1575017910.012808,1370,21.0
1575018051.5270662,1384,20.0
1575018064.7197173,1385,6.0
1575018098.5226383,1388,10.0
1575018108.9585788,1389,19.0
1575018131.8874652,1391,16.0
1575018146.6988342,1392,4.0
1575018372.5364408,1412,9.0
1575018382.482306,1413,19.0
1575018393.4811323,1414,17.0
1575018449.0400388,1419,19.0
1575018479.2875078,1422,19.0
1575018523.6286335,1426,20.0
1575018542.8448772,1428,21.0
1575018582.2321038,1432,19.0
1575018620.7895017,1436,21.0
1575018663.9957416,1440,14.0
1575018828.237334,1456,19.0
1575018926.00424,1465,16.0
1575018935.8488028,1466,20.0
1575019043.096713,1477,21.0
1575019124.7310436,1485,19.0
1575019133.9996805,1486,21.0
1575019167.7121701,1489,19.0
1575019188.299366,1491,18.0
1575019197.9028156,1492,20.0
1575019278.4680002,1500,19.0
1575019288.772566,1501,19.0
1575019364.125644,1508,9.0
1575019384.4265454,1510,21.0
1575019469.1276705,1518,8.0
1575019521.4853253,1523,17.0
1575019531.1497245,1524,20.0
1575019561.511512,1527,18.0
1575019633.6485157,1534,21.0
1575019765.0228577,1546,14.0
1575019822.5910535,1551,20.0
1575019834.9707727,1552,15.0
1575019854.9427643,1554,21.0
1575019864.397065,1555,21.0
1575019925.1384633,1561,20.0
1575019999.9261286,1568,19.0
1575020009.406735,1569,21.0
1575020103.7824204,1578,20.0
1575020144.632176,1582,20.0
1575020165.9870136,1584,18.0
1575020208.7291782,1588,21.0
1575020309.3442194,1597,17.0
1575020380.5134344,1604,20.0
1575020392.12761,1605,16.0
1575020454.606919,1610,-2.0
1575020543.1363175,1618,21.0
1575020564.7354462,1620,19.0
1575020637.0999844,1627,20.0
1575020648.7909787,1628,17.0
1575020689.5939646,1632,20.0
1575020745.8003209,1637,20.0
1575020781.1819656,1640,20.0
1575020800.574243,1642,20.0
1575020830.7255883,1645,20.0
1575020862.6509478,1648,18.0
1575020902.3290098,1652,21.0
1575020984.7418568,1660,21.0
1575021073.8990943,1668,18.0
1575021095.833688,1670,13.0
1575021116.4725654,1672,15.0
1575021154.2776482,1675,20.0
1575021164.4487362,1676,20.0
1575021231.7279303,1682,21.0
1575021241.9283006,1683,20.0
1575021322.8461747,1691,20.0
1575021353.3896983,1694,21.0
1575021363.367032,1695,19.0
1575021372.8154793,1696,21.0
1575021382.257341,1697,21.0
1575021401.8597581,1699,20.0
1575021432.117201,1702,21.0
1575021509.1820412,1709,21.0
1575021518.4584775,1710,21.0
1575021591.1077557,1717,20.0
1575021603.1141949,1718,17.0
1575021612.575411,1719,21.0
1575021707.661863,1728,21.0
1575021755.7461069,1732,17.0
1575021776.9546602,1734,20.0
1575021786.3883607,1735,21.0
1575021809.9399374,1737,17.0
1575021861.9193504,1742,10.0
1575021873.7891178,1743,14.0
1575021893.9657242,1745,18.0
1575021904.3510218,1746,19.0
1575021918.1973007,1747,12.0
1575021967.1273816,1752,20.0
1575022111.948007,1766,14.0
1575022209.5005257,1775,10.0
1575022281.5414805,1781,18.0
1575022352.025645,1788,21.0
1575022362.621383,1789,18.0
1575022452.4958878,1798,21.0
1575022535.1226168,1805,18.0
1575022625.8480132,1814,21.0
1575022656.6023037,1817,20.0
1575022727.2496312,1824,18.0
1575022746.514232,1826,21.0
1575022787.497617,1830,20.0
1575022883.4271705,1840,21.0
1575022895.2881715,1841,17.0
1575022927.6417756,1844,20.0
1575022975.8156533,1849,21.0
1575023016.6849022,1853,16.0
1575023148.8399062,1866,20.0
1575023168.968712,1868,20.0
1575023178.9644837,1869,20.0
1575023240.155154,1875,21.0
1575023250.676932,1876,18.0
1575023260.342741,1877,20.0
1575023279.078745,1879,21.0
1575023301.781266,1881,15.0
1575023421.870957,1893,21.0
1575023603.7125735,1911,21.0
1575023662.1850946,1917,19.0
1575023727.5730264,1923,21.0
1575023736.924012,1924,21.0
1575023798.7057254,1930,19.0
1575023841.418794,1934,17.0
1575023863.3299627,1936,17.0
1575023882.8006375,1938,21.0
1575023944.470208,1944,19.0
1575023974.7030666,1947,21.0
1575023994.5590255,1949,21.0
1575024023.0380392,1952,21.0
1575024053.20012,1955,21.0
1575024084.8886042,1958,21.0
1575024185.3476162,1967,18.0
1575024205.9726753,1969,18.0
1575024324.9723423,1981,20.0
1575024336.2283936,1982,17.0
1575024345.5602586,1983,21.0
