Wall time,Step,Value
1574976985.0799427,5,326.0
1574977059.0415797,15,386.0
1574977122.6335952,18,505.0
1574977249.7804902,24,308.0
1574977690.29017,40,772.0
1574977750.972825,42,657.0
1574977805.0832138,44,463.0
1574977835.7575662,45,549.0
1574977905.3768399,47,662.0
1574978063.6387503,53,672.0
1574978098.65829,56,647.0
1574978499.5116372,65,943.0
1574978809.0512984,71,1004.0
1574978868.7483454,72,1142.0
1574978920.028301,73,958.0
1574978965.8845778,74,851.0
1574979148.228702,79,978.0
1574979559.4942696,87,819.0
1574979982.4103298,94,761.0
1574980237.1181748,102,589.0
1574980349.0571663,105,548.0
1574980387.5937366,106,413.0
1574980718.4059668,113,488.0
1574980969.0774415,118,502.0
1574981290.9804382,126,561.0
1574981396.2377234,130,900.0
1574981765.193254,139,488.0
1574982189.2270505,150,434.0
1574982357.431382,155,729.0
1574982391.8345444,158,518.0
1574982701.691314,167,443.0
1574982747.1431353,168,619.0
1574983140.7619035,178,797.0
1574983330.5991814,183,502.0
1574983411.6657062,185,486.0
1574983422.6438682,186,343.0
1574983464.81176,190,327.0
1574983762.8466432,198,502.0
1574984066.694734,206,335.0
1574984105.3263352,207,479.0
1574984139.3270087,208,467.0
1574984277.0457492,212,429.0
1574984533.0128393,223,273.0
1574984757.9168663,229,360.0
1574984930.8484461,234,367.0
1574985053.4752092,237,215.0
1574985469.3239002,249,352.0
1574985581.1968083,255,172.0
1574985699.90075,260,351.0
1574985802.5352666,263,133.0
1574985933.0202188,267,139.0
1574986080.385035,271,191.0
1574986168.576397,273,237.0
1574986680.452959,292,279.0
1574986734.4631681,297,461.0
1574986745.3961515,298,463.0
1574986904.0326672,303,125.0
1574987074.4927034,308,260.0
1574987140.8626845,310,180.0
1574987447.6468244,318,157.0
1574987483.462059,319,143.0
1574987692.0130994,325,152.0
1574987728.449376,326,191.0
1574987752.5112696,327,137.0
1574987784.764038,330,118.0
1574988030.463446,339,130.0
1574988312.9369376,347,255.0
1574988841.7532802,363,170.0
1574988885.6093364,367,136.0
1574989081.213911,373,430.0
1574989209.8347464,377,362.0
1574989274.9013205,379,224.0
1574989688.9043643,391,176.0
1574989726.2278085,392,211.0
1574990027.3964498,408,241.0
1574990455.1761115,421,191.0
1574990489.1556911,422,162.0
1574990560.8091931,424,208.0
1574990771.0956938,430,223.0
1574991036.9089937,439,315.0
1574991056.8741374,441,319.0
1574991066.4681456,442,129.0
1574991140.4098582,445,216.0
1574991356.5576751,451,331.0
1574991651.4956095,460,231.0
1574991754.734386,463,217.0
1574991793.1284904,464,270.0
1574992096.0823011,473,355.0
1574992106.786018,474,378.0
1574992432.7436614,489,338.0
1574992503.8488722,491,270.0
1574992566.1995106,493,226.0
1574993061.7323554,507,359.0
1574993208.247251,512,132.0
1574993228.6929576,514,134.0
1574993265.7328777,517,145.0
1574993531.0096893,525,169.0
1574993738.6265924,531,240.0
1574993818.5891287,533,183.0
1574993922.6363113,536,190.0
1574994124.4337077,542,107.0
1574994270.3940096,547,196.0
1574994477.6068976,557,246.0
1574994554.4113574,559,198.0
1574994691.580021,563,184.0
1574994945.3561254,569,145.0
1574995081.4221458,573,216.0
1574995115.1342442,574,121.0
1574995308.3666463,579,935.0
1574995353.5126574,581,261.0
1574995363.166964,582,86.0
1574995383.2455502,584,272.0
1574995402.854783,586,234.0
1574995416.6265905,587,947.0
1574995611.142179,592,428.0
1574995643.972881,593,476.0
1574995968.0888317,602,861.0
1574996192.0429962,608,614.0
1574996258.2575452,610,111.0
1574996421.9332795,615,929.0
1574996475.610098,620,179.0
1574996539.6966634,622,137.0
1574996941.8901885,634,139.0
1574997223.7661788,641,899.0
1574997255.4840636,642,334.0
1574997322.9503794,644,292.0
1574997357.5790708,645,271.0
1574997391.9491236,646,502.0
1574997429.655507,647,715.0
1574997490.3719413,649,268.0
1574997520.038955,652,828.0
1574997599.1635065,656,438.0
1574997803.6105554,661,278.0
1574997903.8385808,664,175.0
1574998045.1576688,668,360.0
1574998145.465994,671,139.0
1574998259.599999,674,472.0
1574998401.691777,678,323.0
1574998434.228463,679,83.0
1574998563.4684582,683,455.0
1574998612.8760815,688,92.0
1574998622.6530757,689,90.0
1574998778.1105242,696,151.0
1574998868.4840572,699,252.0
1574999035.4814742,703,106.0
1574999149.2483835,706,454.0
1574999322.8096309,710,77.0
1574999467.3210952,714,358.0
1574999609.9762893,718,131.0
1574999673.5933428,721,155.0
1574999684.264374,722,186.0
1574999694.232006,723,91.0
1574999878.5246315,730,145.0
1575000067.8826365,736,69.0
1575000153.658276,738,295.0
1575000187.049138,739,83.0
1575000350.280857,743,73.0
1575000503.1075356,747,105.0
1575000613.1471708,750,77.0
1575000648.0385807,751,84.0
1575000688.2573023,752,189.0
1575000756.6365206,756,211.0
1575000980.0272458,765,295.0
1575001146.3663406,769,884.0
1575001193.132248,770,693.0
1575001225.6368124,771,306.0
1575001288.9647393,773,176.0
1575001321.2485738,774,231.0
1575001546.7877023,780,227.0
1575001681.0657103,784,120.0
1575001715.5549445,785,112.0
1575001783.9290562,787,226.0
1575001824.9306414,789,746.0
1575001859.563987,792,715.0
1575001871.223951,793,665.0
1575001898.921891,794,550.0
1575001934.172402,795,1060.0
1575002039.021018,798,452.0
1575002184.2911303,802,146.0
1575002355.662742,807,226.0
1575002393.2551718,808,323.0
1575002423.4437716,809,162.0
1575002635.7935917,815,140.0
1575002860.5964918,821,104.0
1575002913.932841,825,101.0
1575002953.0832999,828,552.0
1575003108.5067804,832,94.0
1575003249.7348897,836,117.0
1575003328.6970875,838,150.0
1575003508.3940456,843,331.0
1575004214.2855222,867,113.0
1575004284.3054152,869,86.0
1575004318.201987,870,105.0
1575004460.4693885,874,98.0
1575004534.9117634,876,88.0
1575004668.5123568,880,73.0
1575004741.4846392,882,322.0
1575005027.4316227,890,102.0
1575005089.5085545,896,103.0
1575005207.1786966,900,85.0
1575005456.5551038,907,71.0
1575005493.9926436,908,89.0
1575005526.8769975,909,139.0
1575005566.338356,910,122.0
1575005747.6386058,915,111.0
1575005821.8325884,917,85.0
1575005931.7286453,920,81.0
1575005962.868536,921,87.0
1575006030.7618327,923,75.0
1575006155.8874347,931,87.0
1575006177.4805255,932,53.0
1575006275.1105433,935,72.0
1575006531.9715376,942,417.0
1575006653.1200428,945,66.0
1575006980.5590782,954,1010.0
1575007048.8700726,956,329.0
1575007121.7381399,958,1032.0
1575007186.6593177,961,646.0
1575007196.7994359,962,860.0
1575007248.3686233,966,408.0
1575007410.2701466,971,537.0
1575007443.3354535,972,788.0
1575007595.3311353,976,715.0
1575007635.657103,977,446.0
1575007678.2500837,978,155.0
1575007712.7081766,979,564.0
1575007863.5652368,983,91.0
1575007899.2447436,984,177.0
1575008004.9355447,987,510.0
1575008041.7141623,988,626.0
1575008264.6716678,996,563.0
1575008316.6648872,1000,718.0
1575008385.3147092,1002,103.0
1575008459.4597738,1004,271.0
1575008495.337208,1005,856.0
1575008783.9030116,1013,643.0
1575008826.4511576,1014,861.0
1575008939.037472,1017,195.0
1575009237.902771,1025,726.0
1575009303.7413976,1027,533.0
1575009345.50712,1031,561.0
1575009357.1875408,1032,631.0
1575009533.084115,1037,357.0
1575009802.4334393,1044,89.0
1575010202.4078534,1055,210.0
1575010285.0590339,1057,209.0
1575010403.7636855,1063,124.0
1575010436.0575051,1064,88.0
1575010507.4364014,1066,216.0
1575010595.8365228,1068,118.0
1575010752.5873272,1072,84.0
1575010905.2056093,1076,281.0
1575010978.3973715,1078,156.0
1575011145.0573704,1083,143.0
1575011180.6639922,1084,157.0
1575011229.2855294,1085,419.0
1575011450.5181062,1093,166.0
1575011606.8608985,1099,233.0
1575011768.0214307,1103,826.0
1575011801.4005117,1104,782.0
1575011843.9112496,1105,877.0
1575012189.5982728,1114,245.0
1575012373.7046912,1119,346.0
1575012500.290727,1125,723.0
1575012729.3715484,1133,278.0
1575012808.015945,1135,701.0
1575013523.8539546,1155,917.0
1575013534.663545,1156,1270.0
1575013574.121493,1160,534.0
1575013597.4915328,1161,991.0
1575013633.1270165,1162,941.0
1575014243.6920497,1180,312.0
1575014452.582059,1185,1295.0
1575014608.41816,1192,184.0
1575014618.0370476,1193,173.0
1575014743.1063433,1199,466.0
1575014814.3822393,1201,120.0
1575014984.0478857,1206,492.0
1575015047.8870065,1208,153.0
1575015111.5460172,1210,689.0
1575015281.4322503,1214,883.0
1575015791.303543,1232,288.0
1575015867.3997905,1234,1064.0
1575015946.0189016,1236,477.0
1575016223.2404451,1244,107.0
1575016349.9092982,1247,1343.0
1575016590.414069,1253,1342.0
1575016664.5655744,1255,246.0
1575016727.2073162,1257,1386.0
1575016738.990223,1258,756.0
1575016773.64429,1261,693.0
1575016795.1254313,1263,94.0
1575016827.9214134,1266,180.0
1575016906.485159,1274,1264.0
1575016980.0579512,1281,211.0
1575017044.6818192,1287,1053.0
1575017087.435785,1291,813.0
1575017097.9251974,1292,855.0
1575017110.5571132,1293,1387.0
1575017124.295204,1294,795.0
1575017193.026231,1300,302.0
1575017291.731043,1310,142.0
1575017313.3419206,1312,149.0
1575017343.4523556,1315,91.0
1575017352.7480254,1316,96.0
1575017382.4800007,1319,158.0
1575017442.8607697,1325,126.0
1575017462.3128815,1327,79.0
1575017494.5019646,1330,178.0
1575017525.17025,1333,170.0
1575017553.8183906,1336,87.0
1575017564.3456962,1337,107.0
1575017751.9979582,1355,293.0
1575017870.1994796,1366,1024.0
1575017910.012884,1370,709.0
1575018051.5271246,1384,139.0
1575018064.7197769,1385,404.0
1575018098.522698,1388,200.0
1575018108.9586387,1389,102.0
1575018131.8875248,1391,139.0
1575018146.6989083,1392,206.0
1575018372.5365,1412,876.0
1575018382.4823804,1413,197.0
1575018393.4811914,1414,411.0
1575018449.0400977,1419,186.0
1575018479.2875671,1422,499.0
1575018523.6286924,1426,385.0
1575018542.8449354,1428,628.0
1575018582.2321632,1432,1099.0
1575018620.789561,1436,985.0
1575018663.9958084,1440,603.0
1575018828.2373953,1456,104.0
1575018926.0042999,1465,233.0
1575018935.848864,1466,109.0
1575019043.0967708,1477,80.0
1575019124.7311034,1485,130.0
1575019133.999739,1486,113.0
1575019167.71223,1489,173.0
1575019188.2994254,1491,159.0
1575019197.9028912,1492,97.0
1575019278.46806,1500,114.0
1575019288.7726252,1501,114.0
1575019364.125703,1508,730.0
1575019384.4266043,1510,126.0
1575019469.1277304,1518,987.0
1575019521.4853852,1523,139.0
1575019531.1497836,1524,86.0
1575019561.511572,1527,169.0
1575019633.6485753,1534,102.0
1575019765.022916,1546,1514.0
1575019822.5911152,1551,189.0
1575019834.9708393,1552,290.0
1575019854.9428298,1554,91.0
1575019864.397125,1555,88.0
1575019925.1385224,1561,169.0
1575019999.9261878,1568,114.0
1575020009.4067934,1569,118.0
1575020103.7824802,1578,214.0
1575020144.6322346,1582,284.0
1575020165.9870727,1584,800.0
1575020208.7292376,1588,111.0
1575020309.3442929,1597,116.0
1575020380.5134938,1604,92.0
1575020392.127671,1605,322.0
1575020454.6069775,1610,575.0
1575020543.1363907,1618,362.0
1575020564.7355058,1620,186.0
1575020637.100044,1627,168.0
1575020648.7910383,1628,262.0
1575020689.5940216,1632,341.0
1575020745.8003805,1637,182.0
1575020781.1820395,1640,316.0
1575020800.574302,1642,110.0
1575020830.7256467,1645,115.0
1575020862.6510057,1648,138.0
1575020902.329082,1652,85.0
1575020984.7419198,1660,96.0
1575021073.8991628,1668,237.0
1575021095.8337474,1670,432.0
1575021116.4726262,1672,326.0
1575021154.277707,1675,87.0
1575021164.4488044,1676,147.0
1575021231.7279904,1682,158.0
1575021241.9283593,1683,211.0
1575021322.8462358,1691,108.0
1575021353.3897572,1694,86.0
1575021363.3671055,1695,101.0
1575021372.8155384,1696,87.0
1575021382.2573998,1697,83.0
1575021401.8598235,1699,76.0
1575021432.11726,1702,81.0
1575021509.1821008,1709,78.0
1575021518.458537,1710,84.0
1575021591.1078205,1717,104.0
1575021603.1142704,1718,230.0
1575021612.5754704,1719,67.0
1575021707.6619256,1728,77.0
1575021755.7461681,1732,768.0
1575021776.9547343,1734,119.0
1575021786.3884213,1735,72.0
1575021809.9399965,1737,313.0
1575021861.9194105,1742,170.0
1575021873.7891765,1743,483.0
1575021893.9658024,1745,149.0
1575021904.351081,1746,149.0
1575021918.1973612,1747,581.0
1575021967.12744,1752,97.0
1575022111.9480674,1766,217.0
1575022209.5005856,1775,173.0
1575022281.5415394,1781,115.0
1575022352.0257041,1788,94.0
1575022362.6214564,1789,113.0
1575022452.4959464,1798,63.0
1575022535.1226923,1805,87.0
1575022625.8480725,1814,49.0
1575022656.6023781,1817,75.0
1575022727.2496898,1824,112.0
1575022746.5142913,1826,64.0
1575022787.4976764,1830,80.0
1575022883.4272296,1840,96.0
1575022895.288246,1841,258.0
1575022927.6418402,1844,103.0
1575022975.8157125,1849,92.0
1575023016.684961,1853,192.0
1575023148.8399665,1866,84.0
1575023168.968772,1868,77.0
1575023178.964559,1869,78.0
1575023240.1552272,1875,80.0
1575023250.6769907,1876,111.0
1575023260.3428059,1877,97.0
1575023279.0788107,1879,100.0
1575023301.7813444,1881,175.0
1575023421.871016,1893,80.0
1575023603.712633,1911,96.0
1575023662.1851537,1917,147.0
1575023727.573085,1923,96.0
1575023736.92407,1924,87.0
1575023798.705784,1930,111.0
1575023841.4188616,1934,159.0
1575023863.3300226,1936,238.0
1575023882.8007123,1938,75.0
1575023944.4702806,1944,99.0
1575023974.7031262,1947,80.0
1575023994.559085,1949,65.0
1575024023.0380995,1952,61.0
1575024053.200179,1955,116.0
1575024084.8886647,1958,90.0
1575024185.3476756,1967,170.0
1575024205.9727345,1969,135.0
1575024324.9724035,1981,148.0
1575024336.2284534,1982,134.0
1575024345.560318,1983,71.0
1575024494.3792927,1997,134.0
1575024533.2042484,2001,68.0
1575024573.1176665,2005,81.0
1575024617.5954955,2009,142.0
1575024626.9105573,2010,79.0
1575024658.1207771,2013,98.0
1575024679.994662,2015,80.0
1575024699.17293,2017,82.0
1575024781.6833332,2025,82.0
1575024800.658042,2027,88.0
1575024836.2758095,2030,657.0
1575024865.8419356,2033,76.0
1575024898.4097204,2036,129.0
1575024919.330012,2038,73.0
1575024949.5959136,2041,52.0
1575024978.532948,2044,62.0
1575025141.0297723,2060,272.0
1575025208.2709973,2067,88.0
1575025254.6475213,2072,116.0
1575025264.0629146,2073,65.0
1575025274.3031232,2074,83.0
1575025296.7813494,2076,114.0
1575025307.5874944,2077,83.0
1575025327.548803,2079,83.0
1575025351.3588033,2081,350.0
1575025393.4672327,2085,123.0
1575025438.3830192,2089,337.0
1575025493.5277488,2094,108.0
1575025513.8392866,2096,47.0
1575025588.971589,2103,54.0
1575025612.4143736,2105,47.0
1575025622.4226573,2106,79.0
1575025652.0753663,2109,83.0
1575025671.1582832,2111,78.0
1575025712.5337875,2115,322.0
1575025743.3325195,2118,203.0
1575025764.7202523,2120,91.0
1575025783.8401222,2122,73.0
1575025793.118098,2123,77.0
1575025895.8771472,2133,362.0
1575025905.2543807,2134,85.0
1575025949.2874892,2138,603.0
1575025980.7735035,2141,89.0
1575026009.269564,2144,66.0
1575026018.6901994,2145,59.0
1575026047.3829012,2148,110.0
1575026057.4872942,2149,173.0
1575026078.2008574,2151,142.0
1575026131.6581306,2156,66.0
1575026141.6812327,2157,173.0
1575026212.4995213,2164,143.0
1575026221.956364,2165,175.0
1575026267.076871,2169,112.0
1575026286.415355,2171,91.0
1575026305.1654046,2173,120.0
1575026346.7274501,2177,371.0
1575026447.8300047,2187,85.0
1575026468.799976,2189,64.0
1575026495.1336486,2191,265.0
1575026507.298507,2192,345.0
1575026546.556813,2196,97.0
1575026577.5615342,2199,130.0
1575026658.1144443,2207,98.0
1575026697.793675,2211,132.0
1575026727.603855,2214,112.0
1575026843.0486565,2225,288.0
1575026883.0797873,2229,57.0
1575026904.6866064,2231,107.0
1575026933.5980785,2234,59.0
1575026952.378805,2236,71.0
1575026962.8659573,2237,131.0
1575026982.6860843,2239,337.0
1575027001.995372,2241,192.0
